,PLC2FF~1,
Raman shift [1/cm],Intensity,
1579.252,5080.7397,
1576.341,5003.8708,
1573.431,4929.5528,
1570.520,4918.1969,
1567.610,4932.787,
1564.699,4858.3468,
1561.788,4819.9244,
1558.878,4746.7332,
1555.967,4611.3113,
1553.057,4526.4788,
1550.146,4445.6915,
1547.235,4396.9298,
1544.325,4328.1665,
1541.414,4253.9122,
1538.504,4181.5362,
1535.593,4101.7517,
1532.683,4017.7604,
1529.772,3942.5565,
1526.861,3911.9261,
1523.951,3871.7937,
1521.040,3805.5059,
1518.130,3748.3682,
1515.219,3685.6565,
1512.309,3641.5417,
1509.398,3661.2116,
1506.487,3623.7691,
1503.577,3599.2209,
1500.666,3648.0926,
1497.756,3572.8399,
1494.845,3457.2149,
1491.934,3453.2459,
1489.024,3413.7837,
1486.113,3431.8465,
1483.203,3378.3086,
1480.292,3384.1027,
1477.382,3288.577,
1474.471,3220.867,
1471.560,3220.437,
1468.650,3189.8448,
1465.739,3133.0241,
1462.829,3113.9559,
1459.918,3126.3198,
1457.008,3151.6368,
1454.097,3130.9402,
1451.186,3096.5239,
1448.276,3111.5888,
1445.365,3116.3395,
1442.455,3117.555,
1439.544,3107.523,
1436.633,3082.8219,
1433.723,3095.1227,
1430.812,3094.7599,
1427.902,3022.5485,
1424.991,2945.7797,
1422.081,2915.8507,
1419.170,2945.3452,
1416.259,2866.9385,
1413.349,2838.3121,
1410.438,2873.1631,
1407.528,2870.0627,
1404.617,2890.4928,
1401.707,2899.6564,
1398.796,2903.0078,
1395.885,2925.9892,
1392.975,2935.7292,
1390.064,2939.9067,
1387.154,2946.0384,
1384.243,2936.6505,
1381.332,2934.2403,
1378.422,2987.8479,
1375.511,3113.3765,
1372.601,3184.4928,
1369.690,3320.6728,
1366.780,3443.7555,
1363.869,3511.0577,
1360.958,3541.56,
1358.048,3614.6393,
1355.137,3709.315,
1352.227,3793.2641,
1349.316,3879.4244,
1346.406,3955.1475,
1343.495,3994.8315,
1340.584,4053.8021,
1337.674,4160.5223,
1334.763,4228.9396,
1331.853,4243.7753,
1328.942,4319.09,
1326.032,4365.0779,
1323.121,4462.2907,
1320.210,4551.976,
1317.300,4636.8568,
1314.389,4738.0707,
1311.479,4823.5884,
