,PLD376~1,
Raman shift [1/cm],Intensity,
185.085,2242.9106,
182.174,2280.1502,
179.264,2223.0517,
176.353,2244.1785,
173.442,2239.3218,
170.532,2199.2566,
167.621,2161.7659,
164.711,2140.0625,
161.800,2091.2857,
158.890,1979.0082,
155.979,1901.7303,
153.068,1768.1269,
150.158,1583.7137,
147.247,1372.6357,
144.337,1175.62,
141.426,956.85176,
138.516,696.62024,
135.605,475.57874,
132.694,308.91445,
129.784,192.77857,
126.873,131.99254,
123.963,89.464283,
121.052,60.675926,
118.141,45.683984,
115.231,33.545304,
112.320,27.777728,
109.410,24.852382,
106.499,15.594364,
103.589,20.348054,
100.678,22.093918,
97.767,12.851729,
94.857,14.703967,
91.946,14.818778,
89.036,13.286306,
86.125,11.15869,
83.215,11.686841,
80.304,12.864433,
77.393,13.572603,
74.483,9.6941903,
71.572,9.7991127,
68.662,13.140128,
65.751,8.19497,
62.840,6.625,
59.930,7.9360034,
57.019,12.871577,
54.109,12.430678,
51.198,9.8153443,
48.288,5.6193376,
45.377,4.9159595,
42.466,8.7471934,
39.556,14.164526,
36.645,11.355765,
33.735,6.4710123,
30.824,3.2876609,
27.914,5.3911867,
25.003,8.1155499,
22.092,7.3646681,
19.182,3.4259002,
16.271,27.908055,
13.361,100.42224,
10.450,208.73992,
7.539,337.22994,
4.629,311.24763,
1.718,146.79212,
-1.192,-208.05445,
-4.103,-254.59034,
-7.013,-178.15332,
-9.924,-1.375,
