,PL1F6B~1,
Raman shift [1/cm],Intensity,
706.078,1224.1193,
703.168,1206.5862,
700.257,1185.9241,
697.347,1189.0913,
694.436,1224.522,
691.525,1174.6861,
688.615,1171.4219,
685.704,1197.4597,
682.794,1224.4708,
679.883,1221.497,
676.973,1257.5586,
674.062,1213.8284,
671.151,1208.9832,
668.241,1237.7308,
665.330,1230.6481,
662.420,1225.8557,
659.509,1207.0969,
656.598,1233.226,
653.688,1277.8844,
650.777,1268.9011,
647.867,1299.1616,
644.956,1265.6302,
642.046,1252.4837,
639.135,1266.7789,
636.224,1258.7835,
633.314,1240.5229,
630.403,1229.3717,
627.493,1228.3317,
624.582,1228.0481,
621.672,1201.9123,
618.761,1213.034,
615.850,1224.0378,
612.940,1232.2657,
610.029,1237.6641,
607.119,1242.4019,
604.208,1237.9049,
601.297,1221.9165,
598.387,1211.028,
595.476,1214.5668,
592.566,1168.9168,
589.655,1191.9737,
586.745,1192.3842,
583.834,1161.6525,
580.923,1128.7518,
578.013,1108.3487,
575.102,1161.9546,
572.192,1214.0925,
569.281,1229.2968,
566.371,1231.6447,
563.460,1227.6422,
560.549,1221.0022,
557.639,1236.2858,
554.728,1290.791,
551.818,1273.6241,
548.907,1292.4233,
545.996,1295.9889,
543.086,1288.773,
540.175,1334.7131,
537.265,1312.5252,
534.354,1290.3327,
531.444,1282.3335,
528.533,1292.2195,
525.622,1268.9411,
522.712,1301.4937,
519.801,1320.5287,
516.891,1306.7103,
513.980,1281.1586,
511.070,1278.875,
508.159,1300.3655,
505.248,1323.6246,
502.338,1322.9654,
499.427,1326.0527,
496.517,1330.8346,
493.606,1340.2683,
490.695,1353.5169,
487.785,1358.1357,
484.874,1343.3656,
481.964,1334.875,
479.053,1330.0947,
476.143,1310.1277,
473.232,1316.7884,
470.321,1333.0126,
467.411,1337.5044,
464.500,1309.7586,
461.590,1305.1642,
458.679,1331.3897,
455.769,1345.3683,
452.858,1327.9885,
449.947,1338.6835,
447.037,1337.2344,
444.126,1331.178,
441.216,1330.5634,
438.305,1363.3265,
435.395,1344.2721,
432.484,1318.5389,
429.573,1303.2475,
426.663,1317.6902,
423.752,1352.3511,
420.842,1384.2291,
417.931,1386.1292,
415.020,1320.1521,
412.110,1360.3086,
409.199,1356.3151,
406.289,1335.383,
403.378,1333.875,
400.468,1333.875,
397.557,1322.5637,
394.646,1287.6339,
391.736,1220.6436,
388.825,1182.1778,
385.915,1164.4887,
383.004,1159.4461,
380.094,1161.7963,
377.183,1179.8558,
374.272,1264.1209,
371.362,1334.4069,
368.451,1343.9692,
365.541,1361.9821,
362.630,1386.5397,
359.719,1414.4177,
356.809,1439.6095,
353.898,1402.1696,
350.988,1392.4175,
348.077,1388.5189,
345.167,1378.7454,
342.256,1395.9279,
339.345,1396.6235,
336.435,1396.4837,
333.524,1406.4857,
330.614,1425.8597,
327.703,1414.9326,
324.793,1405.062,
321.882,1422.8786,
318.971,1424.3655,
316.061,1438.5478,
313.150,1434.3989,
310.240,1375.0296,
307.329,1433.6191,
304.418,1429.1499,
301.508,1376.1673,
298.597,1305.8277,
295.687,1238.9234,
292.776,1221.1251,
289.866,1274.085,
286.955,1450.6404,
284.044,1591.6224,
281.134,1686.6466,
278.223,1741.8508,
275.313,1796.3781,
272.402,1850.8618,
269.492,1896.7671,
266.581,1932.8163,
263.670,1987.9548,
260.760,2004.3974,
257.849,2015.91,
254.939,2047.4669,
252.028,2061.6281,
249.117,2031.2425,
246.207,1977.3209,
243.296,1932.6667,
240.386,1955.3007,
237.475,1949.8973,
234.565,1914.1939,
231.654,1890.8216,
228.743,1910.0405,
225.833,1905.0078,
222.922,1853.6224,
220.012,1869.6506,
217.101,1847.8856,
214.191,1825.339,
211.280,1843.5256,
208.369,1814.5984,
205.459,1757.9537,
202.548,1697.382,
199.638,1711.895,
196.727,1728.7042,
193.816,1738.574,
190.906,1738.5861,
187.995,1758.8587,
185.085,1761.6193,
182.174,1761.1844,
179.264,1777.0853,
176.353,1755.807,
173.442,1734.8987,
170.532,1714.3224,
167.621,1658.0864,
164.711,1609.2387,
161.800,1560.1969,
158.890,1505.4976,
155.979,1400.8529,
153.068,1305.8458,
150.158,1196.5207,
147.247,971.08369,
144.337,794.84852,
141.426,636.05551,
138.516,482.64079,
135.605,335.74681,
132.694,232.64585,
129.784,161.61046,
126.873,98.679037,
123.963,65.388475,
121.052,48.458554,
118.141,44.889044,
115.231,30.663593,
112.320,26.99318,
109.410,28.102382,
106.499,18.844364,
103.589,15.754491,
100.678,14.060135,
97.767,11.927322,
94.857,13.953967,
91.946,13.262557,
89.036,10.084715,
86.125,5.1202777,
83.215,6.5296018,
80.304,8.1567019,
77.393,6.0321921,
74.483,11.11608,
71.572,10.976183,
68.662,6.2213375,
65.751,9.7535929,
62.840,3.6494702,
59.930,-1.1284209,
57.019,10.152891,
54.109,5.9033915,
51.198,1.875,
48.288,1.9146371,
45.377,6.8382836,
42.466,11.760535,
39.556,15.875,
36.645,15.875,
33.735,13.798006,
30.824,12.537661,
27.914,14.641187,
25.003,11.139175,
22.092,15.655996,
19.182,30.561486,
16.271,51.54619,
13.361,186.31239,
10.450,474.05527,
7.539,1137.4549,
4.629,1857.1795,
1.718,2260.8283,
-1.192,1905.2846,
-4.103,1190.8309,
-7.013,527.51398,
-9.924,-2.125,
