,PLACEA~1,
Raman shift [1/cm],Intensity,
700.257,3622.2341,
697.347,3593.9729,
694.436,3591.254,
691.525,3577.5893,
688.615,3604.1838,
685.704,3595.7234,
682.794,3565.6037,
679.883,3580.9678,
676.973,3633.0569,
674.062,3612.9971,
671.151,3604.8299,
668.241,3612.3365,
665.330,3600.5914,
662.420,3642.1255,
659.509,3632.212,
656.598,3607.3443,
653.688,3608.1786,
650.777,3674.084,
647.867,3687.6216,
644.956,3693.7208,
642.046,3676.9681,
639.135,3646.2232,
636.224,3629.812,
633.314,3667.1271,
630.403,3694.3613,
627.493,3698.5594,
624.582,3700.2804,
621.672,3766.0159,
618.761,3757.2259,
615.850,3775.1135,
612.940,3795.3573,
610.029,3795.3641,
607.119,3763.7789,
604.208,3752.1048,
601.297,3761.5865,
598.387,3789.8165,
595.476,3824.6538,
592.566,3793.1711,
589.655,3806.4138,
586.745,3807.0777,
583.834,3781.0108,
580.923,3732.4591,
578.013,3704.9934,
575.102,3667.7984,
572.192,3678.1379,
569.281,3740.5618,
566.371,3762.4753,
563.460,3790.7273,
560.549,3811.8579,
557.639,3814.2995,
554.728,3794.0393,
551.818,3832.2748,
548.907,3868.0486,
545.996,3908.5636,
543.086,3941.6053,
540.175,3927.5896,
537.265,3888.9625,
534.354,3897.7028,
531.444,3920.0677,
528.533,3919.3976,
525.622,3930.2608,
522.712,3939.2993,
519.801,3978.758,
516.891,4047.8324,
513.980,4108.2275,
511.070,4127.7119,
508.159,4140.7885,
505.248,4171.1576,
502.338,4240.3872,
499.427,4300.5901,
496.517,4327.9381,
493.606,4337.971,
490.695,4345.6533,
487.785,4381.8334,
484.874,4400.5495,
481.964,4379.8014,
479.053,4336.2124,
476.143,4317.7813,
473.232,4350.437,
470.321,4342.7022,
467.411,4331.5152,
464.500,4363.2953,
461.590,4350.2777,
458.679,4347.7256,
455.769,4332.2417,
452.858,4299.1701,
449.947,4323.6159,
447.037,4358.963,
444.126,4377.5159,
441.216,4378.4031,
438.305,4394.4036,
435.395,4425.473,
432.484,4405.6178,
429.573,4360.7075,
426.663,4378.1908,
423.752,4358.005,
420.842,4296.5628,
417.931,4248.8459,
415.020,4298.8976,
412.110,4394.2715,
409.199,4464.3218,
406.289,4503.3469,
403.378,4508.689,
400.468,4527.5889,
397.557,4504.8326,
394.646,4459.3095,
391.736,4407.8624,
388.825,4352.8035,
385.915,4312.1441,
383.004,4318.8938,
380.094,4397.4564,
377.183,4550.9615,
374.272,4616.4218,
371.362,4641.5115,
368.451,4658.0413,
365.541,4697.8197,
362.630,4708.0788,
359.719,4718.8718,
356.809,4748.0264,
353.898,4787.7127,
350.988,4790.4877,
348.077,4781.3017,
345.167,4776.571,
342.256,4795.2477,
339.345,4811.7851,
336.435,4830.2304,
333.524,4852.2022,
330.614,4838.7894,
327.703,4863.8891,
324.793,4892.6562,
321.882,4895.7314,
318.971,4939.5945,
316.061,4961.9497,
313.150,4971.7036,
310.240,4978.3826,
307.329,5050.8033,
304.418,5085.5524,
301.508,5084.945,
298.597,5056.0687,
295.687,5048.2071,
292.776,5140.2088,
289.866,5304.5416,
286.955,5455.9803,
284.044,5641.4423,
281.134,5831.789,
278.223,6021.648,
275.313,6213.2304,
272.402,6310.5535,
269.492,6400.7372,
266.581,6512.8785,
263.670,6600.365,
260.760,6697.7139,
257.849,6806.4817,
254.939,6929.0401,
252.028,6962.4742,
249.117,6942.1902,
246.207,6908.5497,
243.296,6927.5826,
240.386,6879.3446,
237.475,6817.2798,
234.565,6751.4223,
231.654,6692.9916,
228.743,6617.3345,
225.833,6538.0011,
222.922,6461.1789,
220.012,6408.7229,
217.101,6299.8612,
214.191,6217.9572,
211.280,6262.3324,
208.369,6179.5049,
205.459,6106.0842,
202.548,6055.742,
199.638,6039.0521,
196.727,6057.5212,
193.816,6101.3191,
190.906,6163.822,
187.995,6112.4162,
185.085,6094.1521,
182.174,6096.3674,
179.264,6106.4861,
176.353,6115.3143,
173.442,6123.2506,
170.532,6122.0644,
167.621,6057.1766,
164.711,5953.9575,
161.800,5791.8362,
158.890,5543.5302,
155.979,5196.1162,
153.068,4801.8826,
150.158,4342.5782,
147.247,3725.1393,
144.337,3065.117,
141.426,2416.4465,
138.516,1805.6552,
135.605,1283.2429,
132.694,883.7225,
129.784,587.95345,
126.873,374.12963,
123.963,254.3696,
121.052,182.46054,
118.141,146.76544,
115.231,102.56964,
112.320,82.930456,
109.410,78.306961,
106.499,66.200322,
103.589,55.221183,
100.678,48.353378,
97.767,47.642441,
94.857,42.774077,
91.946,34.981448,
89.036,27.866877,
86.125,35.668135,
83.215,36.563159,
80.304,34.427837,
77.393,30.886987,
74.483,24.728785,
71.572,23.436761,
68.662,25.79379,
65.751,17.316377,
62.840,20.887126,
59.930,25.377566,
57.019,16.916582,
54.109,16.819322,
51.198,17.323391,
48.288,16.709937,
45.377,27.260608,
42.466,26.678368,
39.556,19.625,
36.645,19.625,
33.735,19.625,
30.824,20.287661,
27.914,22.391187,
25.003,24.492912,
22.092,25.302095,
19.182,25.26572,
16.271,44.851444,
13.361,177.79802,
10.450,415.60918,
7.539,798.98431,
4.629,983.81862,
1.718,922.50574,
-1.192,462.39034,
-4.103,220.71648,
-7.013,71.614718,
-9.924,0.625,
