,PLA93A~1,
Wavenumbers [1/cm],Intensity,
1323.121,3824.1747,
1320.210,3878.1167,
1317.300,3935.9139,
1314.389,4077.1551,
1311.479,4185.3156,
1308.568,4216.6232,
1305.657,4305.3148,
1302.747,4412.2877,
1299.836,4574.0162,
1296.926,4728.1058,
1294.015,4891.7454,
1291.105,5123.9187,
1288.194,5209.6133,
1285.283,5379.5887,
1282.373,5544.0152,
1279.462,5655.6559,
1276.552,5745.4215,
1273.641,5813.5454,
1270.731,5832.6776,
1267.820,5823.7077,
1264.909,5827.1596,
1261.999,5845.5679,
1259.088,5820.0286,
1256.178,5710.5865,
1253.267,5595.0662,
1250.356,5402.9591,
1247.446,5192.3129,
1244.535,5017.7279,
1241.625,4811.5633,
1238.714,4576.5026,
1235.804,4428.0779,
1232.893,4301.0116,
1229.982,4244.9123,
1227.072,4138.9908,
1224.161,4083.5913,
1221.251,3995.582,
1218.340,3915.3794,
1215.430,3844.6593,
1212.519,3821.819,
1209.608,3799.7081,
1206.698,3736.2873,
1203.787,3740.4095,
1200.877,3741.3537,
1197.966,3851.9503,
1195.055,3917.2274,
1192.145,4005.6397,
1189.234,4176.1807,
1186.324,4274.1382,
1183.413,4271.0685,
1180.503,4272.4687,
1177.592,4307.237,
1174.681,4248.6849,
1171.771,4215.7885,
1168.860,4228.2917,
1165.950,4195.6358,
1163.039,4185.4048,
1160.129,4211.0435,
1157.218,4188.6374,
1154.307,4138.9346,
1151.397,4118.8122,
1148.486,4078.4596,
1145.576,4020.652,
1142.665,4001.1179,
1139.754,3984.8547,
1136.844,3957.6897,
1133.933,3911.7231,
1131.023,3877.0581,
1128.112,3865.0716,
1125.202,3862.9831,
1122.291,3862.7453,
1119.380,3850.6386,
1116.470,3864.759,
1113.559,3847.1688,
1110.649,3842.1548,
1107.738,3823.7464,
1104.828,3797.5136,
1101.917,3776.695,
1099.006,3766.6339,
1096.096,3797.3814,
1093.185,3828.1115,
1090.275,3846.6854,
1087.364,3862.1641,
1084.453,3906.31,
1081.543,3964.9844,
1078.632,4003.6938,
1075.722,4010.1925,
1072.811,4014.1492,
1069.901,3966.9931,
1066.990,3955.4167,
1064.079,3909.9471,
1061.169,3900.546,
1058.258,3903.5712,
1055.348,3911.0798,
1052.437,3955.0595,
1049.527,3987.6273,
1046.616,3965.0377,
1043.705,3984.0814,
1040.795,3963.6828,
1037.884,4011.2115,
1034.974,4049.4098,
1032.063,4040.0682,
1029.153,4127.8528,
1026.242,4072.4956,
1023.331,4133.8293,
1020.421,4175.0812,
1017.510,4185.2589,
1014.600,4223.6784,
1011.689,4253.4138,
1008.778,4210.1459,
1005.868,4325.0792,
1002.957,4389.6057,
1000.047,4548.7401,
997.136,4778.9357,
994.226,4889.0079,
991.315,4885.6782,
988.404,4904.2586,
985.494,4856.2698,
982.583,4845.9912,
979.673,4832.7937,
976.762,4863.7261,
973.852,4863.3054,
970.941,4854.3213,
968.030,4908.8006,
965.120,4910.5752,
962.209,4928.4786,
959.299,4948.498,
956.388,4985.7381,
953.477,4996.7581,
950.567,4987.3884,
947.656,5008.4892,
944.746,4977.9052,
941.835,4976.5,
938.925,4985.7127,
936.014,4980.3835,
933.103,4948.6082,
930.193,4888.5243,
927.282,4808.7291,
924.372,4812.9572,
921.461,4708.9312,
918.551,4621.5397,
915.640,4570.627,
912.729,4527.9581,
909.819,4462.163,
906.908,4429.3084,
903.998,4434.6583,
901.087,4451.7761,
898.176,4467.6579,
895.266,4495.8135,
892.355,4549.2377,
889.445,4601.2723,
886.534,4621.5369,
883.624,4676.6352,
880.713,4745.3906,
877.802,4734.0017,
874.892,4579.4491,
871.981,4335.4163,
869.071,4162.4858,
866.160,4279.4614,
863.250,4482.8411,
860.339,4592.1071,
857.428,4567.5609,
854.518,4576.2393,
851.607,4428.963,
848.697,4274.1904,
845.786,4225.8793,
842.875,4302.9628,
839.965,4450.2336,
837.054,4549.5744,
834.144,4556.2044,
831.233,4531.5019,
828.323,4519.9837,
825.412,4507.0117,
822.501,4456.8399,
819.591,4347.7552,
816.680,4342.8974,
813.770,4221.585,
810.859,4164.8422,
807.949,4174.4048,
805.038,4144.2279,
802.127,4092.3708,
799.217,4086.7546,
796.306,4042.797,
793.396,4004.4389,
790.485,3997.7635,
787.574,4006.7347,
784.664,4118.27,
781.753,4178.0881,
778.843,4231.3157,
775.932,4258.7841,
773.022,4246.0647,
770.111,4275.4975,
767.200,4192.233,
764.290,4120.4255,
761.379,4111.1321,
758.469,4129.0845,
755.558,4059.3055,
752.648,4052.7887,
749.737,4031.9163,
746.826,4021.0338,
743.916,3973.5902,
741.005,3842.229,
738.095,3751.2988,
735.184,3697.5964,
732.274,3664.7231,
729.363,3716.7374,
726.452,3860.8022,
723.542,3934.457,
720.631,4045.5355,
717.721,4102.5595,
714.810,4121.2614,
711.899,4124.7574,
708.989,4134.4405,
706.078,4136.1026,
703.168,4121.3195,
700.257,4089.6337,
697.347,4058.2826,
694.436,4056.8017,
691.525,4031.0799,
688.615,4056.9456,
685.704,4062.9809,
682.794,4053.5212,
679.883,4077.5092,
676.973,4099.9476,
674.062,4119.814,
671.151,4137.7049,
668.241,4128.5342,
665.330,4061.4244,
662.420,4059.8269,
659.509,4025.8487,
656.598,4038.9562,
653.688,4100.1334,
650.777,4163.6071,
647.867,4196.2565,
644.956,4142.2041,
642.046,4021.1658,
639.135,3925.9282,
636.224,4010.6273,
633.314,4036.0334,
630.403,4007.6186,
627.493,3998.4789,
624.582,4015.2606,
621.672,3982.7888,
618.761,3989.8593,
615.850,4036.579,
612.940,4075.9153,
610.029,4081.9739,
607.119,4078.8154,
604.208,4048.6794,
601.297,4022.5415,
598.387,4016.5257,
595.476,4037.6142,
592.566,4049.4202,
589.655,4020.4013,
586.745,4009.1416,
583.834,3995.8591,
580.923,3922.4479,
578.013,3913.8158,
575.102,3916.6623,
572.192,3954.442,
569.281,4020.8428,
566.371,4050.5825,
563.460,4044.3289,
560.549,4045.3728,
557.639,4055.0656,
554.728,4069.6679,
551.818,4104.0018,
548.907,4120.6412,
545.996,4147.8834,
543.086,4177.4737,
540.175,4158.7862,
537.265,4326.2571,
534.354,4348.358,
531.444,4283.9287,
528.533,4228.4798,
525.622,4270.381,
522.712,4295.8823,
519.801,4329.4128,
516.891,4378.7074,
513.980,4439.1025,
511.070,4524.0913,
508.159,4595.7053,
505.248,4655.5261,
502.338,4712.7532,
499.427,4823.8971,
496.517,4871.601,
493.606,4902.9976,
490.695,4946.1657,
487.785,5008.5188,
484.874,5002.3444,
481.964,4998.4833,
479.053,5001.0874,
476.143,4982.6563,
473.232,4946.2492,
470.321,4924.2282,
467.411,4927.4032,
464.500,4963.14,
461.590,4988.4094,
458.679,5043.3756,
455.769,5119.3625,
452.858,5195.6028,
449.947,5158.1702,
447.037,5211.7828,
