,PL84A9~1,
Raman shift [1/cm],Intensity,
1142.665,2190.044,
1139.754,2165.7775,
1136.844,2180.3088,
1133.933,2145.5985,
1131.023,2119.721,
1128.112,2121.7862,
1125.202,2102.715,
1122.291,2070.0243,
1119.380,2132.9047,
1116.470,2123.1969,
1113.559,2143.651,
1110.649,2158.513,
1107.738,2158.1776,
1104.828,2164.4025,
1101.917,2183.4381,
1099.006,2192.4227,
1096.096,2185,
1093.185,2185,
1090.275,2170.4331,
1087.364,2167,
1084.453,2167,
1081.543,2174.888,
1078.632,2184.0598,
1075.722,2186.8896,
1072.811,2205.8902,
1069.901,2176.1994,
1066.990,2219.2666,
1064.079,2244.2908,
1061.169,2255.4184,
1058.258,2275.0925,
1055.348,2301.4094,
1052.437,2319.7075,
1049.527,2357.3552,
1046.616,2314.7826,
1043.705,2378.5981,
1040.795,2404.108,
1037.884,2398.9082,
1034.974,2393.607,
1032.063,2401.5768,
1029.153,2412.5846,
1026.242,2409.1247,
1023.331,2455.6637,
1020.421,2465.6971,
1017.510,2472.7233,
1014.600,2468.2726,
1011.689,2477.8056,
1008.778,2545.7026,
1005.868,2608.6255,
1002.957,2678.3142,
1000.047,2771.992,
997.136,2837.6522,
994.226,2890.1073,
991.315,2908.255,
988.404,2867.2438,
985.494,2852.0602,
982.583,2810.0889,
979.673,2795.2202,
976.762,2761.4707,
973.852,2755.0283,
970.941,2787.6335,
968.030,2821.5029,
965.120,2829.9177,
962.209,2810.3092,
959.299,2862.2434,
956.388,2858.6817,
953.477,2822.792,
950.567,2812.5026,
947.656,2850.9048,
944.746,2895.9312,
941.835,2864.7977,
938.925,2855.0258,
936.014,2854,
933.103,2839.8762,
930.193,2813.4007,
927.282,2810.5417,
924.372,2802.0856,
921.461,2723.678,
918.551,2678.572,
915.640,2661.7506,
912.729,2647.9493,
909.819,2624.1095,
906.908,2609.7883,
903.998,2655.1311,
901.087,2679.7301,
898.176,2682.228,
895.266,2691.9178,
892.355,2727.6124,
889.445,2746.9155,
886.534,2777.0554,
883.624,2822.0243,
880.713,2858.3521,
877.802,2862.4939,
874.892,2836.2423,
871.981,2824.1381,
869.071,2829.986,
866.160,2826.8602,
863.250,2839.6777,
860.339,2830.4476,
857.428,2786.7477,
854.518,2772.4704,
851.607,2754.1649,
848.697,2784.703,
845.786,2756.4068,
842.875,2730.3315,
839.965,2760.9516,
837.054,2778.4883,
834.144,2732.9069,
831.233,2722.0001,
828.323,2724.9566,
825.412,2717.0874,
822.501,2685.7445,
819.591,2651.0358,
816.680,2613.141,
813.770,2640.3372,
810.859,2634.4743,
807.949,2599.8976,
805.038,2596.3031,
802.127,2590.5412,
799.217,2587.0184,
796.306,2593.3784,
793.396,2591.603,
790.485,2571.7874,
787.574,2542.5257,
784.664,2582.7112,
781.753,2575.2384,
778.843,2576.3314,
775.932,2587.1605,
773.022,2599.2275,
770.111,2645.8294,
767.200,2611.6957,
764.290,2598.2664,
761.379,2593.4552,
758.469,2589.8834,
755.558,2596.5624,
752.648,2581.8995,
749.737,2544.4022,
746.826,2526.9324,
743.916,2514.0388,
741.005,2461.7682,
738.095,2318.066,
735.184,2208.0422,
732.274,2156.2749,
729.363,2219.3243,
726.452,2388.8569,
723.542,2493.2686,
720.631,2533.4043,
717.721,2559.4668,
714.810,2570.6193,
711.899,2575.8317,
708.989,2600.8464,
706.078,2593.7883,
703.168,2551.3162,
700.257,2517.5737,
697.347,2518.5205,
694.436,2559.1926,
691.525,2529.4518,
688.615,2506.0194,
685.704,2512.836,
682.794,2533.1277,
679.883,2526.7477,
676.973,2521.1381,
674.062,2492.5625,
671.151,2501.1082,
668.241,2527.4733,
665.330,2514.437,
662.420,2544.7888,
659.509,2522.4281,
656.598,2505.5673,
653.688,2518.5725,
650.777,2564.243,
647.867,2571.41,
644.956,2558.1404,
642.046,2530.7577,
639.135,2508.9826,
636.224,2523.9841,
633.314,2520.8083,
630.403,2563.1584,
627.493,2591.4637,
624.582,2594.8269,
621.672,2620.9627,
618.761,2610.6009,
615.850,2642.2632,
612.940,2650.5079,
610.029,2621.9164,
607.119,2687.4557,
604.208,2692.58,
601.297,2675.0504,
598.387,2660.2931,
595.476,2666.52,
592.566,2672.0294,
589.655,2644.4928,
586.745,2629,
583.834,2621.9733,
580.923,2597.1611,
578.013,2623.8421,
575.102,2644.1925,
572.192,2657.2156,
569.281,2661.4534,
566.371,2652.8445,
563.460,2626.6031,
560.549,2653.5205,
557.639,2690.8515,
554.728,2686.084,
551.818,2703.2509,
548.907,2724.673,
545.996,2739.1103,
543.086,2738.2961,
540.175,2711.8221,
537.265,2741.8683,
534.354,2751.4915,
531.444,2755.4091,
528.533,2772.2207,
525.622,2775.3245,
522.712,2772.9662,
519.801,2817.9713,
516.891,2893.061,
513.980,2888.4152,
511.070,2931.6695,
508.159,2956.2084,
505.248,2990.5399,
502.338,3073.2259,
499.427,3080.9442,
496.517,3103.3636,
493.606,3123.7109,
490.695,3135.5676,
487.785,3154.0426,
484.874,3147.9529,
481.964,3142.1694,
479.053,3134.0134,
476.143,3104.8308,
473.232,3114.5105,
470.321,3121.4329,
467.411,3110.3239,
464.500,3071.2412,
461.590,3120.2485,
458.679,3135.1006,
455.769,3137.8904,
452.858,3139.6935,
449.947,3117.5395,
447.037,3167.0017,
444.126,3202,
441.216,3206.8947,
438.305,3235.0861,
435.395,3263.2586,
432.484,3267.665,
429.573,3253.16,
426.663,3240.9977,
423.752,3281.8451,
420.842,3313.2439,
417.931,3316.7183,
415.020,3273.4919,
412.110,3358.3304,
409.199,3405.6479,
406.289,3428.3955,
403.378,3447.8847,
400.468,3413.865,
397.557,3405.0566,
394.646,3404.5759,
391.736,3396.4789,
388.825,3348.9623,
385.915,3328.6137,
383.004,3328.7109,
380.094,3346.0711,
377.183,3406.2692,
374.272,3466.9652,
371.362,3517.8334,
368.451,3551.1368,
365.541,3553.3884,
362.630,3572.5722,
359.719,3580.0089,
356.809,3564.2169,
353.898,3617.3816,
350.988,3618.9803,
348.077,3601.9014,
345.167,3588.2488,
342.256,3612.902,
339.345,3607.7771,
336.435,3593.9465,
333.524,3586.9395,
330.614,3616.7457,
327.703,3620.8659,
324.793,3610.0708,
321.882,3593.0324,
318.971,3606.4144,
316.061,3657.3898,
313.150,3694.6834,
310.240,3658.3197,
307.329,3674.8659,
304.418,3691.575,
301.508,3682.1261,
298.597,3603.6419,
295.687,3647.793,
292.776,3644.4999,
289.866,3645.0783,
286.955,3830.4984,
284.044,3915.1899,
281.134,4011.2084,
278.223,4126.3769,
275.313,4190.4833,
272.402,4234.207,
269.492,4286.7347,
266.581,4355.5224,
263.670,4390.8111,
260.760,4430.2535,
257.849,4472.3976,
254.939,4516.4306,
252.028,4472.1216,
249.117,4491.5462,
246.207,4525.5295,
243.296,4488.9276,
240.386,4506.5487,
237.475,4484.5757,
234.565,4419.1515,
231.654,4343.922,
228.743,4292.3272,
225.833,4233.3761,
222.922,4159.6115,
220.012,4172.7255,
217.101,4149.0292,
214.191,4107.9792,
211.280,4067.9687,
208.369,4068.3641,
205.459,4099.1453,
202.548,4139.4902,
199.638,4119.1721,
196.727,4151.3016,
193.816,4158.4335,
190.906,4113.4063,
187.995,4124.9907,
185.085,4154.0614,
182.174,4171.8141,
179.264,4134.2302,
176.353,4143.4564,
173.442,4140.8484,
170.532,4118.4636,
167.621,4079.5309,
