,PLD3A7~1,
Raman shift [1/cm],Intensity,
476.143,2146.6603,
473.232,2130.6757,
470.321,2114.4337,
467.411,2098.5728,
464.500,2086.8771,
461.590,2096.8317,
458.679,2123.838,
455.769,2140.4744,
452.858,2133.4659,
449.947,2131.9381,
447.037,2123.7371,
444.126,2124.1705,
441.216,2134.1542,
438.305,2137.2019,
435.395,2122.5454,
432.484,2095.4544,
429.573,2072.7075,
426.663,2090.1908,
423.752,2094.4147,
420.842,2072.7907,
417.931,2063.7244,
415.020,2127.4265,
412.110,2197.665,
409.199,2213.8231,
406.289,2204.871,
403.378,2205.4662,
400.468,2158.5945,
397.557,2124.0873,
394.646,2085.1547,
391.736,2026.9208,
388.825,1942.4469,
385.915,1934.6552,
383.004,1949.9105,
380.094,1955.5772,
377.183,2052.6466,
374.272,2111.649,
371.362,2152.1641,
368.451,2185.7192,
365.541,2203.7321,
362.630,2225.5585,
359.719,2241.4008,
356.809,2244.311,
353.898,2222.5959,
350.988,2240.4944,
348.077,2259.173,
345.167,2255.1709,
342.256,2246.2061,
339.345,2228.2135,
336.435,2209.3507,
333.524,2195.8834,
330.614,2204.0801,
327.703,2217.4065,
324.793,2231.4919,
321.882,2242.6737,
318.971,2262.7466,
316.061,2278.4147,
313.150,2287.625,
310.240,2287.625,
307.329,2352.657,
304.418,2337.5892,
301.508,2270.7049,
298.597,2203.327,
295.687,2123.1286,
292.776,2100.9584,
289.866,2164.7752,
286.955,2379.0056,
284.044,2547.5099,
281.134,2668.3567,
278.223,2753.7921,
275.313,2864.3204,
272.402,2881.816,
269.492,2934.9754,
266.581,3059.1505,
263.670,3066.5023,
260.760,3089.5203,
257.849,3103.7491,
254.939,3089.8053,
252.028,3100.4827,
249.117,3100.9704,
246.207,3090.185,
243.296,3065.2958,
240.386,3036.5053,
237.475,2990.3533,
234.565,2939.7753,
231.654,2947.0792,
228.743,2937.693,
225.833,2907.3676,
222.922,2853.0578,
220.012,2776.5595,
217.101,2780.0865,
214.191,2798.0413,
211.280,2759.4858,
208.369,2698.0903,
205.459,2638.4835,
202.548,2589.6194,
199.638,2578.009,
196.727,2604.4358,
193.816,2607.5636,
190.906,2565.498,
187.995,2561.8779,
185.085,2536.9822,
182.174,2498.4802,
179.264,2453.6687,
176.353,2512.0621,
173.442,2501.9427,
170.532,2417.6767,
167.621,2383.7908,
164.711,2337.3097,
161.800,2260.862,
158.890,2135.6294,
155.979,1988.5744,
153.068,1826.3558,
150.158,1632.5445,
147.247,1338.1841,
144.337,1092.5075,
141.426,871.29064,
138.516,666.97663,
135.605,462.15347,
132.694,315.90035,
129.784,215.4337,
126.873,137.48455,
123.963,92.602423,
121.052,67.225529,
118.141,58.658705,
115.231,42.281882,
112.320,32.235913,
109.410,25.579671,
106.499,14.897343,
103.589,16.546781,
100.678,16.093918,
97.767,6.8517294,
94.857,17.712825,
91.946,17.384559,
89.036,10.415285,
86.125,15.379722,
83.215,13.970398,
80.304,13.061596,
77.393,17.310616,
74.483,13.039055,
71.572,12.074408,
68.662,14.07086,
65.751,8.4192514,
62.840,10.960318,
59.930,15.999572,
57.019,17.409736,
54.109,11.653392,
51.198,10.339483,
48.288,16.534401,
45.377,5.2803519,
42.466,3.098316,
39.556,7.8913044,
36.645,15.615397,
33.735,10.87477,
30.824,3.9623391,
27.914,1.8588133,
25.003,4.7381874,
22.092,8.2395228,
19.182,11.899594,
16.271,20.293476,
13.361,60.713302,
10.450,161.50375,
7.539,451.30463,
4.629,778.59159,
1.718,953.68714,
-1.192,755.00094,
-4.103,440.98199,
-7.013,177.0993,
-9.924,-0.375,
