,PL12CC~1,
Wavenumbers [1/cm],Intensity,
1503.577,861.79391,
1500.666,863.83577,
1497.756,865.88975,
1494.845,857.97972,
1491.934,845.45905,
1489.024,832.94665,
1486.113,861.24368,
1483.203,831.52596,
1480.292,824.95447,
1477.382,826.1165,
1474.471,794.27008,
1471.560,775.06634,
1468.650,740.75268,
1465.739,742.51225,
1462.829,771.19497,
1459.918,794.99733,
1457.008,806.54619,
1454.097,803.02979,
1451.186,799.24275,
1448.276,786.42051,
1445.365,750.35624,
1442.455,724.1941,
1439.544,684.17303,
1436.633,690.34508,
1433.723,709.99547,
1430.812,720.42612,
1427.902,720.17649,
1424.991,748.60937,
1422.081,677.93679,
1419.170,700.87805,
1416.259,724.13145,
1413.349,722.45807,
1410.438,720.5,
1407.528,725.00619,
1404.617,748.04949,
1401.707,703.14667,
1398.796,638.2273,
1395.885,655.91759,
1392.975,674.99894,
1390.064,637.62359,
1387.154,662.77125,
1384.243,669.53375,
1381.332,640.31879,
1378.422,559.17627,
1375.511,572.2912,
1372.601,676.63745,
1369.690,688.07167,
1366.780,658.40266,
1363.869,707.16521,
1360.958,727.83978,
1358.048,720.38026,
1355.137,771.22251,
1352.227,811.43458,
1349.316,808.83189,
1346.406,829.24762,
1343.495,828.79439,
1340.584,803.35624,
1337.674,859.60558,
1334.763,836.84084,
1331.853,872.07562,
1328.942,838.8109,
1326.032,901.38089,
1323.121,898.71685,
1320.210,892.5,
1317.300,914.92882,
1314.389,942.31968,
1311.479,970.9756,
1308.568,987.39375,
1305.657,973.12851,
1302.747,971.98104,
1299.836,1001.5,
1296.926,1001.8418,
1294.015,1009.1964,
1291.105,1026.2303,
1288.194,1065.2422,
1285.283,1075.932,
1282.373,1075.8672,
1279.462,1090.3232,
1276.552,1129.9096,
1273.641,1143.6585,
1270.731,1099.7985,
1267.820,1074.056,
1264.909,1103.1256,
1261.999,1049.6664,
1259.088,1054.227,
1256.178,1094.7535,
1253.267,1050.0979,
1250.356,1041.2725,
