,PLEA86~1,
Wavenumbers [1/cm],Intensity,
575.102,1071.4748,
572.192,1068.5256,
569.281,1103.3126,
566.371,1100.1821,
563.460,1099.1695,
560.549,1109.5951,
557.639,1116.0409,
554.728,1104.4517,
551.818,1129.4218,
548.907,1115.3738,
545.996,1098.9871,
543.086,1090.8618,
540.175,1081.5181,
537.265,1061.3195,
534.354,1072.4376,
531.444,1083.3512,
528.533,1066.9652,
525.622,1110.4183,
522.712,1090.7508,
519.801,1062.328,
516.891,1048.9096,
513.980,1058.9754,
511.070,1040.8576,
508.159,1071.0803,
505.248,1106.1152,
502.338,1085.4909,
499.427,1072.3698,
496.517,1087.5416,
493.606,1109.2778,
490.695,1122.9121,
487.785,1115.984,
484.874,1097.427,
481.964,1087.0444,
479.053,1085.6911,
476.143,1084.9232,
473.232,1075.5228,
470.321,1060.6837,
467.411,1047.3554,
464.500,1043.2629,
461.590,1058.5777,
458.679,1084.3365,
455.769,1099.3545,
452.858,1096.7383,
449.947,1124.2398,
447.037,1100.7505,
444.126,1092.9659,
441.216,1106.0543,
438.305,1072.5293,
435.395,1088.1997,
432.484,1097.6247,
429.573,1091.7925,
426.663,1074.3092,
423.752,1065.2034,
420.842,1050.4579,
417.931,987.96359,
415.020,815.81629,
412.110,898.40019,
409.199,987.10966,
406.289,1060.1418,
403.378,1103.8391,
400.468,1093.2552,
397.557,1067.7666,
394.646,1079.4658,
391.736,1168.8891,
388.825,1200.5668,
385.915,1211.4716,
383.004,1199.74,
380.094,1164.4949,
377.183,1117.8413,
374.272,1108.1317,
371.362,1115.8786,
368.451,1126.0969,
365.541,1096.826,
362.630,1129.843,
359.719,1143.7492,
356.809,1095.5578,
353.898,1090.3162,
350.988,1131.7315,
348.077,1144.0615,
345.167,1086.6697,
342.256,1102.3581,
339.345,1095.1835,
336.435,1100.6978,
333.524,1141.3583,
330.614,1124.9648,
327.703,1131.6833,
324.793,1146.4841,
321.882,1156.8353,
318.971,1140.4796,
316.061,1152.4543,
313.150,1170.644,
310.240,1169.9019,
307.329,1187.7409,
304.418,1188.4917,
301.508,1206.4751,
298.597,1302.7293,
295.687,1325.097,
292.776,1335.625,
289.866,1329.1982,
286.955,1273.7938,
284.044,1274.73,
281.134,1287.651,
278.223,1296.2404,
275.313,1264.5556,
272.402,1293.891,
269.492,1330.3311,
266.581,1347.5148,
263.670,1272.5264,
260.760,1286.3971,
257.849,1321.9545,
254.939,1330.7611,
252.028,1326.5319,
249.117,1320.7636,
246.207,1315.875,
243.296,1315.875,
240.386,1314.569,
237.475,1326.5532,
234.565,1344.5743,
231.654,1329.9666,
228.743,1309.614,
225.833,1281.3253,
222.922,1246.9622,
220.012,1270.2759,
217.101,1278.3657,
214.191,1271.2254,
211.280,1245.7642,
208.369,1272.806,
205.459,1257.7297,
202.548,1219.5157,
199.638,1252.1699,
196.727,1236.9788,
193.816,1238.6353,
190.906,1275.4055,
187.995,1147.9772,
185.085,1166.7648,
182.174,1223.1632,
179.264,1172.5695,
176.353,1141.8846,
173.442,1138.3892,
170.532,1152.2546,
167.621,1112.601,
164.711,1059.8296,
161.800,989.43407,
158.890,894.43003,
155.979,813.18727,
153.068,736.30351,
150.158,658.50724,
147.247,562.30164,
144.337,470.05481,
141.426,372.92125,
138.516,266.10445,
135.605,194.7887,
132.694,140.02227,
129.784,97.070295,
126.873,57.023024,
123.963,35.217317,
121.052,20.342372,
118.141,8.9199405,
115.231,7.4538593,
112.320,10.264087,
109.410,14.738645,
106.499,14.02649,
103.589,7.1519463,
100.678,2.4182434,
97.767,3.8401186,
94.857,3.182011,
91.946,4.8905544,
89.036,8.2136937,
86.125,10.34131,
83.215,9.2822389,
80.304,4.7623751,
77.393,-4.4438341,
74.483,1.4263496,
71.572,4.5126479,
68.662,3.59793,
65.751,0.77212569,
62.840,1.320106,
59.930,2.5004276,
57.019,1.0902636,
54.109,-3.9022868,
51.198,-4.7121258,
48.288,0.86367512,
45.377,-0.54308102,
42.466,-2.361658,
39.556,-4.0098814,
36.645,-3.3076912,
33.735,-1.5672546,
30.824,-1.0085479,
27.914,-3.8132489,
25.003,-5.370275,
22.092,-6.125,
19.182,-6.0563514,
16.271,-3.957881,
13.361,-6.4966638,
10.450,-52.470277,
7.539,-292.69076,
4.629,-718.61778,
1.718,-1118.5661,
-1.192,-1312.3723,
-4.103,-1019.3139,
-7.013,-566.95481,
-9.924,-1.125,
