,PL5B8D~1,
Wavenumbers [1/cm],Intensity,
1404.617,2315.5836,
1401.707,2315.732,
1398.796,2279.9249,
1395.885,2285.4471,
1392.975,2332.542,
1390.064,2352.3419,
1387.154,2372.0588,
1384.243,2379.989,
1381.332,2316.8687,
1378.422,2300.4458,
1375.511,2275.1527,
1372.601,2340.1815,
1369.690,2344.0356,
1366.780,2346.9181,
1363.869,2391.3386,
1360.958,2370.1177,
1358.048,2358.4631,
1355.137,2407.3818,
1352.227,2421.1289,
1349.316,2414.0797,
1346.406,2453.3045,
1343.495,2446.5426,
1340.584,2413.1426,
1337.674,2431.1084,
1334.763,2451.4557,
1331.853,2470.0003,
1328.942,2427.1663,
1326.032,2424.1969,
1323.121,2437.3464,
1320.210,2457.7321,
1317.300,2448.6333,
1314.389,2470.1534,
1311.479,2489.0802,
1308.568,2495.379,
1305.657,2530.4118,
1302.747,2532.3186,
1299.836,2599.6469,
1296.926,2640.6818,
1294.015,2617.6987,
1291.105,2603.5419,
1288.194,2650.4733,
1285.283,2634.1099,
1282.373,2614.5235,
1279.462,2617.9851,
1276.552,2626.1437,
1273.641,2622.0559,
1270.731,2621.8649,
1267.820,2649.359,
1264.909,2663.6174,
1261.999,2612.3825,
1259.088,2629.7128,
1256.178,2682.9938,
1253.267,2687.914,
1250.356,2634.6015,
1247.446,2660.7953,
1244.535,2687.3348,
1241.625,2650.2982,
1238.714,2631.5453,
1235.804,2675.3811,
1232.893,2661.9965,
1229.982,2677.1061,
1227.072,2658.0945,
1224.161,2673.5601,
1221.251,2634.313,
1218.340,2627.5237,
1215.430,2616.8855,
1212.519,2592.0727,
1209.608,2574.9781,
1206.698,2577.6225,
1203.787,2591.946,
1200.877,2575.0784,
1197.966,2548.1036,
1195.055,2572.3475,
1192.145,2602.2957,
1189.234,2613.3452,
1186.324,2631.6607,
1183.413,2653.6992,
1180.503,2678.9265,
1177.592,2701.7802,
1174.681,2677.1027,
1171.771,2665.9354,
1168.860,2673.9733,
1165.950,2675.5563,
1163.039,2652.0043,
1160.129,2651.1877,
1157.218,2684.6712,
1154.307,2719.3154,
1151.397,2723.5364,
1148.486,2709.4993,
1145.576,2712.7478,
1142.665,2689.662,
1139.754,2673.9183,
1136.844,2677.0527,
1133.933,2682.096,
1131.023,2646.9265,
1128.112,2612.1776,
1125.202,2625.1993,
1122.291,2633.5101,
1119.380,2659.9059,
1116.470,2675.7914,
1113.559,2703.2672,
1110.649,2678.0077,
1107.738,2661.2858,
1104.828,2684.6355,
1101.917,2708.1698,
1099.006,2683.5439,
1096.096,2664.18,
1093.185,2671.204,
1090.275,2669.3222,
1087.364,2666.0055,
1084.453,2669.8122,
1081.543,2660.6034,
1078.632,2660.6733,
1075.722,2697.75,
1072.811,2698.4326,
1069.901,2708.0384,
1066.990,2678.8417,
1064.079,2696.2485,
1061.169,2705.5408,
1058.258,2713.0667,
1055.348,2742.2117,
1052.437,2765.1872,
1049.527,2682.0255,
1046.616,2715.041,
1043.705,2704.8762,
1040.795,2693.0879,
1037.884,2675.0951,
1034.974,2663.6121,
1032.063,2656.4965,
1029.153,2631.0204,
1026.242,2691.5673,
1023.331,2637.9202,
1020.421,2653.937,
1017.510,2669.1117,
1014.600,2676.4022,
1011.689,2673.9128,
1008.778,2658.7873,
1005.868,2699.8349,
1002.957,2709.2988,
1000.047,2774.814,
997.136,2789.9401,
994.226,2790.8884,
991.315,2797.0099,
988.404,2780.6979,
985.494,2729.1144,
982.583,2745.389,
979.673,2748.4816,
976.762,2722.3304,
973.852,2720.1044,
970.941,2740.4536,
968.030,2738.2471,
965.120,2729.9469,
962.209,2776.8367,
959.299,2736.5891,
956.388,2746.9881,
953.477,2760.4743,
950.567,2767.971,
947.656,2832.4212,
944.746,2845.1645,
941.835,2817.4065,
938.925,2840.3623,
936.014,2867.8898,
933.103,2879.75,
930.193,2867.1653,
927.282,2815.3293,
924.372,2789.1155,
921.461,2795.3232,
918.551,2774.9317,
915.640,2747.9763,
912.729,2720.7955,
909.819,2691.8688,
906.908,2760.9476,
903.998,2738.503,
901.087,2724.7484,
898.176,2705.0026,
895.266,2704.8895,
892.355,2744.5771,
889.445,2759.6839,
886.534,2773.9428,
883.624,2782.8055,
880.713,2772.9911,
877.802,2760.4026,
874.892,2760.4854,
871.981,2759.3704,
869.071,2573.9087,
866.160,2630.7548,
863.250,2696.4359,
860.339,2735.8588,
857.428,2757.6716,
854.518,2726.5705,
851.607,2685.7991,
848.697,2678.75,
845.786,2661.6241,
842.875,2670.5679,
839.965,2735.6098,
837.054,2821.9361,
834.144,2838.5111,
831.233,2841.0834,
828.323,2824.4291,
825.412,2819.6626,
822.501,2848.3246,
819.591,2868.1581,
816.680,2886.3782,
813.770,2876.9669,
810.859,2843.4805,
807.949,2805.8597,
805.038,2789.9403,
802.127,2808.0491,
799.217,2834.3479,
796.306,2834.2364,
793.396,2830.0859,
790.485,2830.8019,
787.574,2820.9955,
784.664,2853.8,
781.753,2859.75,
778.843,2867.1012,
775.932,2880.9227,
773.022,2888.7905,
770.111,2850.3643,
767.200,2875.9186,
764.290,2883.0164,
761.379,2878.5991,
758.469,2872.4944,
755.558,2868.5523,
752.648,2895.4342,
749.737,2860.2771,
746.826,2869.0544,
743.916,2901.5162,
741.005,2902.3528,
738.095,2960.8079,
735.184,2990.6319,
732.274,2951.8933,
729.363,2878.153,
726.452,2816.7268,
723.542,2811.061,
720.631,2829.0989,
717.721,2849.0711,
714.810,2872.3124,
711.899,2888.2351,
708.989,2868.8689,
706.078,2878.3656,
703.168,2864.355,
700.257,2864.4769,
697.347,2873.6637,
694.436,2850.9644,
691.525,2822.0274,
688.615,2820.7813,
685.704,2827.2035,
682.794,2839.2393,
679.883,2863.2093,
676.973,2851.1888,
674.062,2882.5683,
671.151,2884.2168,
668.241,2868.6592,
665.330,2889.9937,
662.420,2874.019,
659.509,2888.5281,
656.598,2901.7792,
653.688,2919.5526,
650.777,2965.804,
647.867,2967.3967,
644.956,2903.9775,
642.046,2835.3135,
639.135,2798.571,
636.224,2816.8853,
633.314,2843.8792,
630.403,2856.0709,
627.493,2866.6633,
624.582,2884.1066,
621.672,2912.6184,
618.761,2882.5925,
615.850,2916.278,
612.940,2960.2884,
610.029,2977.4076,
607.119,2981.3558,
604.208,2983.17,
601.297,3001.1981,
598.387,3005.5649,
595.476,2970.5959,
592.566,2947.7709,
589.655,2921.7217,
586.745,2925.8068,
583.834,2937.9666,
580.923,2906.8637,
578.013,2925.6973,
575.102,2900.9234,
572.192,2905.1891,
569.281,2953.5936,
566.371,2958.2893,
563.460,2984.1469,
560.549,3033.245,
557.639,3066.2302,
554.728,3045.2573,
551.818,3037.4541,
548.907,3009.5452,
545.996,3008.6904,
543.086,3025.0263,
540.175,2984.5368,
537.265,2981.75,
534.354,2981.75,
531.444,2990.1097,
528.533,3012.9088,
525.622,3029.2037,
522.712,3001.8056,
519.801,2965.711,
516.891,2940.8455,
513.980,2946.2656,
511.070,2938.2978,
508.159,2927.5865,
505.248,2918.7486,
502.338,2916.1567,
499.427,2930.0496,
496.517,2956.3762,
493.606,2959.6173,
490.695,2927.6846,
487.785,2898.4325,
484.874,2905.382,
481.964,2888.4944,
479.053,2852.0728,
476.143,2836.7136,
473.232,2832.8724,
470.321,2825.9111,
467.411,2831.4,
464.500,2865.4203,
461.590,2852.4027,
458.679,2839.9453,
455.769,2845.0375,
452.858,2875.4086,
449.947,2910.5494,
447.037,2874.0632,
444.126,2854.9924,
441.216,2865.0616,
438.305,2832.2985,
435.395,2868.3995,
432.484,2852.6591,
429.573,2800.2175,
426.663,2797.9371,
423.752,2656.1739,
420.842,2452.7207,
417.931,2287.1975,
415.020,2299.3312,
412.110,2504.6017,
409.199,2662.8795,
406.289,2741.3867,
403.378,2715.6962,
400.468,2699.8203,
397.557,2711.7169,
394.646,2749.0283,
391.736,2807.5226,
388.825,2831.658,
385.915,2836.6212,
383.004,2815.9041,
380.094,2770.5543,
377.183,2805.9207,
374.272,2794.5816,
371.362,2793.5267,
368.451,2829.8747,
365.541,2766.0792,
362.630,2745.4726,
359.719,2740.6782,
356.809,2736.7468,
353.898,2753.2204,
350.988,2758.835,
348.077,2760.9116,
345.167,2763.1824,
342.256,2751.9764,
339.345,2746.0928,
336.435,2724.8737,
