,PLE17F~1,
Wavenumbers [1/cm],Intensity,
682.794,826.93604,
679.883,864.84661,
676.973,839.20275,
674.062,861.43753,
671.151,867.79507,
668.241,855.76175,
665.330,854.13023,
662.420,835.7594,
659.509,850.413,
656.598,863.16375,
653.688,871.98111,
650.777,892.35103,
647.867,902.70329,
644.956,926.67025,
642.046,894.8088,
639.135,827.01743,
636.224,812.21485,
633.314,855.08753,
630.403,873.68574,
627.493,870.55036,
624.582,853.292,
621.672,836.66012,
618.761,842.83945,
615.850,879.71223,
612.940,905.26772,
610.029,894.34453,
607.119,860.39041,
604.208,882.56048,
601.297,909.9496,
598.387,909.22881,
595.476,865,
592.566,865,
589.655,898.04239,
586.745,916.43397,
583.834,908.21664,
580.923,877.03317,
578.013,882.52631,
575.102,892.03024,
572.192,905.86026,
569.281,919.1564,
566.371,914.46066,
563.460,907.65079,
560.549,928.38937,
557.639,960.78834,
554.728,979.9306,
551.818,947.15733,
548.907,919.27995,
545.996,923.88432,
543.086,937.40466,
540.175,869.66247,
537.265,882.3827,
534.354,899.5355,
531.444,910.27866,
528.533,913.59356,
525.622,950.06309,
522.712,941.01091,
519.801,923.88992,
516.891,911.49592,
513.980,899.10719,
511.070,936.03476,
508.159,934.33004,
505.248,921.25906,
502.338,939.45779,
499.427,920.93382,
496.517,914.30303,
493.606,937.9004,
490.695,982.82761,
487.785,952.80577,
484.874,957.04713,
481.964,932.93052,
479.053,895.30944,
476.143,909.13277,
473.232,897.05073,
470.321,898.32549,
467.411,910.31847,
464.500,925.45699,
461.590,904.01626,
458.679,943.12416,
455.769,961.72628,
452.858,924.94279,
449.947,953.20825,
447.037,928.05521,
444.126,922.04848,
441.216,945.33856,
438.305,941.5289,
435.395,923.95345,
432.484,912.08273,
429.573,911.55004,
426.663,926.75285,
423.752,903.59033,
420.842,837.28431,
417.931,745.57468,
415.020,656.08843,
412.110,715.18712,
409.199,833.84341,
406.289,941.62536,
403.378,964.90523,
400.468,936.93344,
397.557,929.54245,
394.646,928.30654,
391.736,921.09658,
388.825,924.1135,
385.915,921.80684,
383.004,912.71805,
380.094,898.15167,
377.183,920.72596,
374.272,915.60161,
371.362,927.4859,
368.451,977.31313,
365.541,949.54329,
362.630,946.91616,
359.719,943.30484,
356.809,923.09702,
353.898,891.6475,
350.988,924.22899,
348.077,960.16164,
345.167,961.4485,
342.256,930.8187,
339.345,945.91447,
336.435,957.28427,
333.524,931.6007,
330.614,918.93306,
327.703,937.07642,
324.793,965.47595,
321.882,986.98558,
318.971,981.03804,
316.061,964.83889,
313.150,964.08806,
310.240,1009.3571,
307.329,1008.8561,
304.418,1023.0465,
301.508,1043.1662,
298.597,1051.3107,
295.687,1024.2331,
292.776,999.74994,
289.866,992.09591,
286.955,1030.5096,
284.044,1049.2825,
281.134,1068.4789,
278.223,1086.1677,
275.313,1073.6412,
272.402,1119.215,
269.492,1166.0404,
266.581,1186.5873,
263.670,1110.8637,
260.760,1123.4773,
257.849,1157.053,
254.939,1162.9241,
252.028,1175.3054,
249.117,1130.6626,
246.207,1083.5541,
243.296,1128.2083,
240.386,1171.5265,
237.475,1170.4855,
234.565,1131.8588,
231.654,1105.565,
228.743,1117.261,
225.833,1125.4266,
222.922,1114.0827,
220.012,1094.4117,
217.101,1091.435,
214.191,1076.6409,
211.280,1015.5341,
208.369,1007.6359,
205.459,1009.194,
202.548,1021.2702,
199.638,1063.3579,
196.727,1032.2411,
193.816,1008.1174,
190.906,1018.4509,
187.995,974.28542,
185.085,941.50434,
182.174,939.62952,
179.264,1004.6785,
176.353,945.99977,
173.442,920.23929,
170.532,931.59929,
167.621,859.50173,
164.711,884.67326,
161.800,890.83872,
158.890,790.79659,
155.979,714.10526,
153.068,630.54916,
150.158,549.0376,
147.247,508.11432,
144.337,427.62217,
141.426,332.51996,
138.516,232.15519,
135.605,171.53284,
132.694,121.57109,
129.784,81.70395,
126.873,54.529016,
123.963,35.342317,
121.052,19.050926,
118.141,4.0589844,
115.231,10.395133,
112.320,11.729092,
109.410,9.8636447,
106.499,9.1514895,
103.589,6.7589821,
100.678,3.9135132,
97.767,1.0697629,
94.857,0.30701095,
91.946,3.6279978,
89.036,8.5484084,
86.125,5.7115873,
83.215,6.0618407,
80.304,5.3239712,
77.393,0.36678165,
74.483,2.6205398,
71.572,3.6376479,
68.662,2.307325,
65.751,-4.7571858,
62.840,-2.6646821,
59.930,2,
57.019,2,
54.109,-2.7772868,
51.198,-5.0951722,
48.288,-2.9943376,
45.377,-2.2909595,
42.466,-2.8244387,
39.556,-3.5395257,
36.645,-0.73076483,
33.735,-4.6732362,
30.824,-7.8955651,
27.914,-4.3896889,
25.003,-4,
22.092,-6.906141,
19.182,-12.931351,
16.271,-10.832881,
13.361,-24.329571,
10.450,-100.48919,
7.539,-428.69741,
4.629,-993.6659,
1.718,-1512.2767,
-1.192,-1738.1516,
-4.103,-1263.8497,
-7.013,-652.61093,
-9.924,3,
