,PLBA93~1,
Raman shift [1/cm],Intensity,
1419.170,5804.0421,
1416.259,5767.742,
1413.349,5710.2896,
1410.438,5705.1217,
1407.528,5727.6498,
1404.617,5786.3566,
1401.707,5784.0591,
1398.796,5735.1041,
1395.885,5694.7154,
1392.975,5650.5203,
1390.064,5582.1843,
1387.154,5438.0056,
1384.243,5297.5529,
1381.332,5213.301,
1378.422,5208.6335,
1375.511,5480.2999,
1372.601,5848.6453,
1369.690,5952.4889,
1366.780,6095.3108,
1363.869,6118.0014,
1360.958,6233.1241,
1358.048,6313.0177,
1355.137,6388.1814,
1352.227,6499.9848,
1349.316,6616.9504,
1346.406,6704.9692,
1343.495,6757.7453,
1340.584,6884.6239,
1337.674,6956.0906,
1334.763,6975.2842,
1331.853,6940.0494,
1328.942,7053.3659,
1326.032,7121.456,
1323.121,7144.7395,
1320.210,7185.9166,
1317.300,7233.5464,
1314.389,7301.4176,
1311.479,7397.3042,
1308.568,7462.625,
1305.657,7522.7499,
1302.747,7706.1448,
1299.836,7835.5244,
1296.926,7940.4864,
1294.015,8217.2028,
1291.105,8374.7949,
1288.194,8456.927,
1285.283,8583.6055,
1282.373,8778.2338,
1279.462,8871.1151,
1276.552,8937.8772,
1273.641,9033.5402,
1270.731,9050.8668,
1267.820,8979.9285,
1264.909,8900.1626,
1261.999,8837.127,
1259.088,8796.0816,
1256.178,8661.7307,
1253.267,8517.6409,
1250.356,8340.4334,
1247.446,8231.3806,
1244.535,8081.7057,
1241.625,7894.6289,
1238.714,7726.0777,
1235.804,7540.0669,
1232.893,7437.3923,
1229.982,7351.787,
1227.072,7149.9024,
1224.161,7006.1874,
1221.251,6933.2319,
1218.340,6805.8492,
1215.430,6706.537,
1212.519,6633.4239,
1209.608,6551.0224,
1206.698,6482.9439,
1203.787,6462.9215,
1200.877,6501.599,
1197.966,6662.5485,
1195.055,6812.2643,
1192.145,7023.7095,
1189.234,7239.3888,
1186.324,7419.7252,
1183.413,7524.4727,
1180.503,7576.2094,
1177.592,7581.4525,
1174.681,7436.197,
1171.771,7280.7184,
1168.860,7241.4224,
1165.950,7162.6401,
1163.039,7073.3879,
1160.129,7046.1641,
1157.218,7135.6382,
1154.307,7238.1586,
1151.397,7281.039,
1148.486,7360.8757,
1145.576,7355.6613,
1142.665,7333.4635,
1139.754,7248.6349,
1136.844,7174.3011,
1133.933,7112.5021,
1131.023,7009.1455,
1128.112,6889.7013,
1125.202,6803.7459,
1122.291,6727.8811,
1119.380,6743.5817,
1116.470,6739.1691,
1113.559,6689.1371,
1110.649,6649.086,
1107.738,6595.4386,
1104.828,6536.4912,
1101.917,6447.5931,
1099.006,6323.1094,
1096.096,6353.195,
1093.185,6346.171,
1090.275,6360.1919,
1087.364,6379.4058,
1084.453,6440.6216,
1081.543,6510.6711,
1078.632,6558.2206,
1075.722,6574.7862,
1072.811,6532.9019,
1069.901,6480.5062,
1066.990,6468.5417,
1064.079,6506.7753,
1061.169,6461.0058,
1058.258,6417.9417,
1055.348,6435.9163,
1052.437,6441.0815,
1049.527,6401.7858,
1046.616,6380.0651,
1043.705,6444.6816,
1040.795,6414.1831,
1037.884,6362.3611,
1034.974,6361.2255,
1032.063,6396.6712,
1029.153,6396.0138,
1026.242,6415.9078,
1023.331,6414.9584,
1020.421,6491.3062,
1017.510,6552.0785,
1014.600,6626.0683,
1011.689,6721.2858,
1008.778,6813.6125,
1005.868,7007.069,
1002.957,7167.9553,
1000.047,7357.8811,
997.136,7477.1829,
994.226,7501.1176,
991.315,7442.8726,
988.404,7331.0084,
985.494,7195.8631,
982.583,7072.519,
979.673,7034.8705,
976.762,7020.5798,
973.852,6965.2358,
970.941,6913.4802,
968.030,6945.3823,
965.120,6966.5283,
962.209,6943.5097,
959.299,6971.4962,
956.388,7017.1029,
953.477,7041.3919,
950.567,7052.4348,
947.656,7095.7553,
944.746,7150.1269,
941.835,7164.7722,
938.925,7163.0186,
936.014,7121.1706,
933.103,7098.8673,
930.193,7113.843,
927.282,7051.8295,
924.372,7000.2474,
921.461,6921.4578,
918.551,6798.6091,
915.640,6700.1538,
912.729,6651.4275,
909.819,6611.5037,
906.908,6519.6793,
903.998,6581.4356,
901.087,6631.7233,
898.176,6668.7584,
895.266,6729.8869,
892.355,6814.8556,
889.445,6794.7132,
886.534,6939.8927,
883.624,6988.1371,
880.713,7056.8263,
877.802,7095.2132,
874.892,7058.9704,
871.981,7050.9937,
869.071,7024.2605,
866.160,7055.5029,
863.250,7045.4149,
860.339,7028.0685,
857.428,7031.59,
854.518,6998.7564,
851.607,7037.8636,
848.697,7004.7316,
845.786,7020.3578,
842.875,7061.4124,
839.965,7087.8874,
837.054,7126.2762,
834.144,7184.2889,
831.233,7178.2929,
828.323,7164.6793,
825.412,7173.7914,
822.501,7193.795,
819.591,7139.2526,
816.680,7035.862,
813.770,6978.6734,
810.859,6910.891,
807.949,6845.2859,
805.038,6825.6383,
802.127,6800.9444,
799.217,6757.6285,
796.306,6740.2196,
793.396,6744.2434,
790.485,6734.1987,
787.574,6661.3926,
784.664,6760.6262,
781.753,6771.9152,
778.843,6787.2481,
775.932,6810.9459,
773.022,6821.1322,
770.111,6824.4025,
767.200,6793.4112,
764.290,6799.8056,
761.379,6800.5967,
758.469,6772.3246,
755.558,6727.8015,
752.648,6666.7063,
749.737,6554.7483,
746.826,6478.7802,
743.916,6381.1434,
741.005,6142.7025,
738.095,5665.3189,
735.184,5211.7669,
732.274,5119.8881,
729.363,5440.8761,
726.452,6025.1823,
723.542,6404.7877,
720.631,6557.1257,
717.721,6637.1513,
714.810,6681.0908,
711.899,6700.8626,
708.989,6684.7241,
706.078,6648.5664,
703.168,6686.381,
700.257,6678.6684,
697.347,6615.0608,
694.436,6581.7161,
691.525,6621.9064,
688.615,6618.0468,
685.704,6597.2425,
682.794,6611.2204,
679.883,6715.2017,
676.973,6728.0236,
674.062,6765.0814,
671.151,6785.94,
668.241,6776.1891,
665.330,6739.1712,
662.420,6729.5864,
659.509,6764.451,
656.598,6791.6835,
653.688,6828.6104,
650.777,6925.922,
647.867,6934.6816,
644.956,6911.859,
642.046,6892.0644,
639.135,6879.3367,
636.224,6855.7444,
633.314,6879.5625,
630.403,6927.601,
627.493,6926.2831,
624.582,6879.5673,
621.672,6888.2792,
618.761,6963.859,
615.850,6951.2598,
612.940,6957.4861,
610.029,7030.8337,
607.119,7056.1019,
604.208,7069.9852,
601.297,7057.1769,
598.387,7033.3191,
595.476,7023.9387,
592.566,7090.8395,
589.655,7089.0193,
586.745,7057.3228,
583.834,7007.8387,
580.923,6944.9283,
578.013,6995.1513,
575.102,7049.9234,
572.192,7117.7826,
569.281,7188.4212,
566.371,7209.552,
563.460,7255.364,
560.549,7305.2981,
557.639,7346.9505,
554.728,7371.3495,
551.818,7398.6606,
548.907,7447.2839,
545.996,7493.6757,
543.086,7515.9079,
540.175,7480.0902,
537.265,7461.6909,
534.354,7439.5709,
531.444,7428.0835,
528.533,7443.2118,
525.622,7493.6484,
522.712,7524.6479,
519.801,7530.7512,
516.891,7529.3283,
513.980,7577.3347,
511.070,7578.8076,
508.159,7612.0098,
505.248,7672.1576,
502.338,7740.1672,
499.427,7758.6912,
496.517,7829.2411,
493.606,7901.8335,
490.695,7941.4526,
487.785,7911.4308,
484.874,7868.4978,
481.964,7898.7042,
479.053,7948.1943,
476.143,7854.5029,
473.232,7885.3146,
470.321,7927.3599,
467.411,7976.3793,
464.500,8032.3754,
461.590,7943.5495,
458.679,7901.5659,
455.769,7906.5289,
452.858,7958.7599,
449.947,8065.7103,
447.037,8107.6481,
444.126,8094.0068,
441.216,8056.1654,
438.305,8099.5955,
435.395,8127.261,
432.484,8124.4554,
429.573,8116.6951,
426.663,8168.3847,
423.752,8188.6656,
420.842,8262.3012,
417.931,8367.4813,
415.020,8458.4842,
412.110,8559.6612,
409.199,8681.6885,
406.289,8832.8739,
403.378,9019.8873,
400.468,8802.1609,
397.557,8676.5827,
394.646,8572.4493,
391.736,8425.9228,
388.825,8185.323,
385.915,8077.3714,
383.004,8112.5843,
380.094,8289.8805,
377.183,8432.0986,
374.272,8582.895,
371.362,8700.7598,
368.451,8762.4091,
365.541,8824.7036,
362.630,8892.4254,
359.719,8922.4903,
356.809,8897.0232,
353.898,8953.183,
350.988,8925.2261,
348.077,8889.4962,
345.167,8892.8359,
342.256,8916.7421,
339.345,8907.682,
336.435,8897.5113,
333.524,8909.5275,
330.614,8969.8851,
327.703,9007.1076,
324.793,9034.9366,
321.882,9064.863,
318.971,9162.9974,
316.061,9278.1735,
313.150,9415.1273,
310.240,9580.6191,
307.329,9677.3839,
304.418,9738.7024,
301.508,9741.2526,
298.597,9638.3347,
295.687,9612.0167,
292.776,9679.4587,
289.866,9879.9734,
286.955,10327.641,
284.044,10789.467,
281.134,11178.368,
278.223,11480.037,
275.313,11708.462,
272.402,11917.535,
269.492,12173.991,
266.581,12497.067,
263.670,12783.052,
260.760,12932.49,
257.849,13026.217,
254.939,13119.42,
252.028,13224.859,
249.117,13358.275,
246.207,13431.743,
243.296,13285.335,
240.386,13227.181,
237.475,13151.991,
234.565,13071.076,
231.654,13092.988,
228.743,12920.412,
225.833,12747.549,
222.922,12650.912,
220.012,12635.612,
217.101,12642.402,
214.191,12616.595,
211.280,12490.017,
208.369,12420.745,
205.459,12392.024,
202.548,12367.931,
199.638,12224.978,
196.727,12231.35,
193.816,12213.074,
190.906,12112.038,
187.995,12180.82,
185.085,12238.198,
182.174,12277.78,
179.264,12285.73,
176.353,12293.033,
173.442,12297.713,
170.532,12287.276,
167.621,12181.293,
164.711,11933.463,
161.800,11588.658,
158.890,11158.261,
155.979,10458.391,
153.068,9571.2926,
150.158,8524.2575,
147.247,7358.3031,
144.337,6089.2979,
141.426,4808.9988,
138.516,3558.0236,
135.605,2554.6295,
132.694,1748.2387,
129.784,1132.8984,
126.873,754.59472,
123.963,532.51212,
121.052,378.43188,
118.141,267.06317,
115.231,203.38424,
112.320,165.76319,
109.410,144.30715,
106.499,116.53309,
103.589,107.82373,
100.678,98.834457,
97.767,81.061018,
94.857,81.317989,
91.946,79.206335,
89.036,74.044429,
86.125,64.115555,
83.215,61.625,
80.304,59.948971,
77.393,54.991782,
74.483,52.659595,
71.572,48.001479,
68.662,41.625,
65.751,41.625,
62.840,42.588404,
59.930,44.748717,
57.019,48.979209,
54.109,43.056231,
51.198,39.529828,
48.288,41.574038,
45.377,35.243635,
42.466,28.090587,
39.556,22.315711,
36.645,26.528853,
33.735,30.740491,
30.824,34.066774,
27.914,35.469124,
25.003,35.002363,
22.092,37.531141,
19.182,43.808063,
16.271,49.403984,
13.361,130.01618,
10.450,304.33032,
7.539,691.89534,
4.629,1107.0669,
1.718,1313.5324,
-1.192,1026.3088,
-4.103,612.26225,
-7.013,257.04879,
-9.924,1.625,
