,PL1DEA~1,
Wavenumbers [1/cm],Intensity,
1203.787,668.03078,
1200.877,669.43221,
1197.966,678.4238,
1195.055,656.69054,
1192.145,685.93411,
1189.234,747.4808,
1186.324,761.23733,
1183.413,745.90038,
1180.503,755.37699,
1177.592,772.49092,
1174.681,737.02911,
1171.771,751.85439,
1168.860,750.96131,
1165.950,725.07374,
1163.039,737.03347,
1160.129,744.28514,
1157.218,744.35574,
1154.307,750.06935,
1151.397,751.31531,
1148.486,734.97013,
1145.576,762.68002,
1142.665,735.15473,
1139.754,758.09749,
1136.844,760.37349,
1133.933,768.8456,
1131.023,751.79811,
1128.112,717.019,
1125.202,710.3629,
1122.291,733.12298,
1119.380,727.95295,
1116.470,735.89571,
1113.559,719.86352,
1110.649,700.4684,
1107.738,708.94954,
1104.828,707.06322,
1101.917,686.35435,
1099.006,691.27703,
1096.096,698.35878,
1093.185,706.2608,
1090.275,716.58624,
1087.364,709.26928,
1084.453,717.24921,
1081.543,722.49279,
1078.632,722.2027,
1075.722,738.01233,
1072.811,753.39291,
1069.901,718.46248,
1066.990,719.91666,
1064.079,727.68014,
1061.169,724.24739,
1058.258,722.68637,
1055.348,731.99042,
1052.437,736.79136,
1049.527,711.04283,
1046.616,715.38698,
1043.705,731.2903,
1040.795,730.12846,
1037.884,731.93238,
1034.974,734.64046,
1032.063,733.73644,
1029.153,741.73251,
1026.242,732.21799,
1023.331,694.3774,
1020.421,751.70544,
1017.510,764.74755,
1014.600,757.52723,
1011.689,753.04233,
1008.778,730.27333,
1005.868,755.55839,
1002.957,720.28387,
1000.047,735.25901,
997.136,775.17791,
994.226,790.2905,
991.315,788.48638,
988.404,799.06552,
985.494,763.7791,
982.583,759.49632,
979.673,755.21677,
976.762,767.96545,
973.852,771.68686,
970.941,760.31843,
968.030,747.51655,
965.120,723.10412,
962.209,777.66681,
959.299,795.37399,
956.388,783.75597,
953.477,762.42137,
950.567,762.99188,
947.656,805.77168,
944.746,827.86013,
941.835,819.96705,
938.925,835.64236,
936.014,837.79343,
933.103,831.93428,
930.193,829.28059,
927.282,809.54597,
924.372,785.02337,
921.461,812.06741,
918.551,812.99913,
915.640,795.25141,
912.729,787.58391,
909.819,802.53885,
906.908,777.2661,
903.998,790.19156,
901.087,793.23849,
898.176,795.26098,
895.266,802.31859,
892.355,810.14734,
889.445,800.9154,
886.534,830.93039,
883.624,816.01721,
880.713,829.35137,
877.802,828.94715,
874.892,770.61573,
871.981,699.6396,
869.071,562.63189,
866.160,573.37298,
863.250,673.27165,
860.339,765.26789,
