,PLB08E~1,
Wavenumbers [1/cm],Intensity,
1244.535,1757.6652,
1241.625,1755.5518,
1238.714,1773.7728,
1235.804,1763.932,
1232.893,1775.5039,
1229.982,1757.8467,
1227.072,1753.3201,
1224.161,1774.0126,
1221.251,1710.9942,
1218.340,1697.7172,
1215.430,1712.9096,
1212.519,1689.7596,
1209.608,1653.7719,
1206.698,1666.447,
1203.787,1689.4824,
1200.877,1664.8886,
1197.966,1663.0902,
1195.055,1686.891,
1192.145,1732.3239,
1189.234,1798.5522,
1186.324,1854.8209,
1183.413,1880.2081,
1180.503,1903.5726,
1177.592,1927.2724,
1174.681,1876.6883,
1171.771,1908.3818,
1168.860,1881.5892,
1165.950,1891.9006,
1163.039,1882.4287,
1160.129,1848.687,
1157.218,1854.9597,
1154.307,1880.0318,
1151.397,1878.9102,
1148.486,1894.196,
1145.576,1917.0363,
1142.665,1894.8385,
1139.754,1919.8497,
1136.844,1880.4803,
1133.933,1885.0468,
1131.023,1880.2836,
1128.112,1862.0705,
1125.202,1869.1353,
1122.291,1857.2507,
1119.380,1858.8961,
1116.470,1848.3057,
1113.559,1822.256,
1110.649,1793.3901,
1107.738,1795.9313,
1104.828,1801.3424,
1101.917,1794.6628,
1099.006,1803.103,
1096.096,1812.785,
1093.185,1809.273,
1090.275,1814.6649,
1087.364,1824.2335,
1084.453,1863.9977,
1081.543,1882.7974,
1078.632,1874.1339,
1075.722,1887.206,
1072.811,1911.8902,
1069.901,1882.1994,
1066.990,1854.9417,
1064.079,1864.6518,
1061.169,1862.0586,
1058.258,1854.847,
1055.348,1861.5852,
1052.437,1872.3762,
1049.527,1858.228,
1046.616,1838.2449,
1043.705,1856.8107,
1040.795,1855.3379,
1037.884,1865.6664,
1034.974,1871.0619,
1032.063,1854.8077,
1029.153,1851.3116,
1026.242,1853.9065,
1023.331,1839.8342,
1020.421,1895.5565,
1017.510,1918.1986,
1014.600,1921.4981,
1011.689,1929.2851,
1008.778,1935.5712,
1005.868,1968.2008,
1002.957,1990.57,
1000.047,2020.208,
997.136,2048.2071,
994.226,2063.2307,
991.315,2046.8193,
988.404,1998.7846,
985.494,1976.3287,
982.583,1946.3492,
979.673,1945.6582,
976.762,1947,
973.852,1945.232,
970.941,1943.5928,
968.030,1943.7977,
965.120,1937.2291,
962.209,1991.7918,
959.299,2010.9155,
956.388,1998.761,
953.477,1984.3559,
950.567,1998.7311,
947.656,2045.5544,
944.746,2042.1561,
941.835,2025.8037,
938.925,2056.8767,
936.014,2063.366,
933.103,2057.2964,
930.193,2069.5968,
927.282,2077.8461,
924.372,2038.1025,
921.461,2052.8828,
918.551,2015.2681,
915.640,1987.2494,
912.729,1992.1949,
909.819,1990.556,
906.908,1994.7681,
903.998,1995,
901.087,1973.9953,
898.176,1982.5194,
895.266,2005.6348,
892.355,2009.0418,
889.445,2019.9523,
886.534,2057.5692,
883.624,2058.2717,
880.713,2084.6006,
877.802,2117.8635,
874.892,2128.8385,
871.981,2133.37,
869.071,1979.6541,
866.160,1974.3887,
863.250,1990.2904,
860.339,2001.0116,
857.428,2020.9046,
854.518,2066.8796,
851.607,2062.7193,
848.697,2052.3706,
845.786,2039.1776,
842.875,2042.5351,
839.965,2071.1847,
837.054,2104.5675,
834.144,2155.1214,
831.233,2159.0004,
828.323,2148.0869,
825.412,2158.0299,
822.501,2197.7873,
819.591,2207.7041,
816.680,2161.5256,
813.770,2145.6145,
810.859,2123.5966,
807.949,2100.8268,
805.038,2102.2035,
802.127,2095.6185,
799.217,2089.7823,
796.306,2056.7835,
793.396,2054.8018,
790.485,2084.3672,
