,PL6F2C~1,
Wavenumbers [1/cm],Intensity,
1326.032,570.16548,
1323.121,550.31624,
1320.210,589.19629,
1317.300,579.01654,
1314.389,600.47311,
1311.479,638.8811,
1308.568,646.54007,
1305.657,669.40713,
1302.747,683.62741,
1299.836,746.89864,
1296.926,737.63456,
1294.015,745.90847,
1291.105,749.77217,
1288.194,775.80978,
1285.283,771.50995,
1282.373,757.12504,
1279.462,767.72027,
1276.552,791.93509,
1273.641,797.03748,
1270.731,789.66045,
1267.820,801.91191,
1264.909,807.04109,
1261.999,796.95178,
1259.088,761.37905,
1256.178,795.22117,
1253.267,732.9696,
1250.356,735.95389,
1247.446,753.11727,
1244.535,751.30359,
1241.625,740.40557,
1238.714,741.65677,
1235.804,756.31799,
1232.893,739.50424,
1229.982,720.98593,
1227.072,742.71342,
1224.161,777.02965,
1221.251,744.53552,
1218.340,722.18063,
1215.430,745.87784,
1212.519,756.57273,
1209.608,730.97311,
1206.698,714.03728,
1203.787,719.09422,
1200.877,719.81019,
1197.966,744.98664,
1195.055,738.57076,
1192.145,786.83866,
1189.234,801.95242,
1186.324,819.79723,
1183.413,816.26013,
1180.503,808.10101,
1177.592,840.17931,
1174.681,838.43494,
1171.771,805.86816,
1168.860,832.66085,
1165.950,827.18711,
1163.039,836.42444,
1160.129,834.76159,
1157.218,837.46104,
1154.307,846.7341,
1151.397,850.55339,
1148.486,858.59584,
1145.576,881.55391,
1142.665,842.48574,
1139.754,870.16789,
1136.844,863.94425,
1133.933,866.46109,
1131.023,856.67084,
1128.112,843.178,
1125.202,851.69927,
1122.291,855.62331,
1119.380,851.31063,
1116.470,857.48833,
1113.559,831.95953,
1110.649,827.52423,
1107.738,816.39037,
1104.828,813.15589,
1101.917,813.00692,
1099.006,797.64146,
1096.096,847.64852,
1093.185,788.82235,
1090.275,832.80621,
1087.364,822.98019,
1084.453,828.43653,
1081.543,849.89086,
1078.632,858.80266,
1075.722,852.56642,
1072.811,858.00179,
1069.901,854.50875,
1066.990,836.46671,
1064.079,862.19261,
1061.169,853.60565,
1058.258,842.87274,
1055.348,840.31583,
1052.437,806.79017,
1049.527,795.92832,
1046.616,839.36979,
1043.705,824.98087,
1040.795,835.21261,
1037.884,838.18115,
1034.974,831.50515,
1032.063,835.25752,
1029.153,850.73069,
1026.242,846.40591,
1023.331,828.75112,
1020.421,849.64855,
1017.510,851.28559,
1014.600,863.70478,
1011.689,885.68888,
1008.778,873.66356,
1005.868,870.111,
1002.957,854.62462,
1000.047,909.03402,
997.136,926.72605,
994.226,933.17294,
991.315,944.85891,
988.404,934.41448,
985.494,873.6336,
982.583,890.76472,
979.673,894.71329,
976.762,904.64363,
973.852,898.4317,
970.941,880.47172,
968.030,876.09971,
965.120,875.41468,
962.209,914.63162,
959.299,929.04074,
956.388,930.01014,
953.477,923.31767,
950.567,924.35413,
947.656,947.69564,
944.746,951.09387,
941.835,941.53224,
938.925,958.33346,
936.014,959.14513,
933.103,949.89691,
930.193,946.05389,
927.282,930.77526,
924.372,885.11249,
921.461,921.22482,
918.551,930.44067,
915.640,920.72573,
912.729,913.25,
909.819,911.47072,
906.908,897.99192,
903.998,932.24603,
901.087,927.88337,
898.176,895.91305,
895.266,888.29394,
892.355,926.42292,
889.445,911.31612,
886.534,937.9659,
883.624,963.43496,
880.713,965.59466,
877.802,962.76609,
874.892,959.11612,
871.981,902.784,
869.071,798.35739,
866.160,771.28052,
863.250,835.39636,
860.339,914.07479,
857.428,946.16309,
854.518,953.72042,
851.607,935.4149,
848.697,916.43021,
845.786,872.92237,
842.875,848.33826,
839.965,884.10975,
837.054,970.56632,
834.144,998.7439,
831.233,1014.9159,
828.323,1005.4128,
825.412,1005.3823,
822.501,1035.0159,
819.591,1022.6199,
816.680,1002.2179,
813.770,1014.1656,
810.859,1012.5177,
807.949,993.56461,
805.038,981.84735,
802.127,986.78611,
799.217,951.47123,
796.306,951.16901,
793.396,980.10517,
790.485,1008.9336,
787.574,1000.0009,
784.664,993.44,
781.753,998.28886,
778.843,1013.9921,
775.932,1022.6204,
773.022,1007.3049,
770.111,975.41934,
767.200,1017.4061,
764.290,1024.8933,
761.379,1016.3113,
758.469,1012.9705,
755.558,1023.639,
752.648,1036.6727,
749.737,1062.0976,
746.826,1071.4527,
743.916,1090.8672,
741.005,1155.3025,
738.095,1208.8864,
735.184,1274.6,
732.274,1220.4172,
729.363,1111.9197,
726.452,1034.2035,
723.542,1022.872,
720.631,1059.7124,
717.721,1072.9685,
714.810,1083.3863,
711.899,1098.0619,
708.989,1097.255,
706.078,1040.3575,
703.168,1049.3244,
700.257,1072.0889,
697.347,1071.9468,
694.436,1032.1665,
691.525,1065.9263,
688.615,1051.2381,
685.704,1035.2281,
682.794,1047.8668,
679.883,1101.5652,
676.973,1086.3391,
674.062,1083.8881,
671.151,1068.4701,
668.241,1054.2062,
665.330,1072.1155,
662.420,1048.1536,
659.509,1052.139,
656.598,1062.8757,
653.688,1089.3435,
650.777,1152.899,
647.867,1142.5467,
644.956,1113.0074,
642.046,1081.3245,
639.135,1056.0578,
636.224,1040.4688,
633.314,1084.1354,
630.403,1099.9797,
627.493,1093.6481,
624.582,1076.4843,
621.672,1068.5643,
618.761,1062.1705,
615.850,1087.7994,
612.940,1120.8376,
610.029,1139.2772,
607.119,1127.4327,
604.208,1156.0706,
601.297,1168.7485,
598.387,1153.1986,
595.476,1112.6558,
592.566,1106.3592,
589.655,1142.1797,
586.745,1155.3065,
583.834,1147.3479,
580.923,1151.269,
578.013,1154.4079,
575.102,1135.1744,
572.192,1152.4056,
569.281,1204.7666,
566.371,1174.2443,
563.460,1181.1266,
560.549,1178.4281,
557.639,1169.3701,
554.728,1163.3138,
551.818,1148.4878,
548.907,1173.283,
545.996,1183.863,
543.086,1170.7401,
540.175,1163.7323,
537.265,1153.1101,
534.354,1166.8092,
531.444,1180.0701,
528.533,1170.6847,
525.622,1190.8594,
522.712,1160.6651,
519.801,1143.2144,
516.891,1148.7459,
513.980,1136.3572,
511.070,1154.2674,
508.159,1150.3108,
505.248,1139.0025,
502.338,1144.9729,
499.427,1169.6716,
496.517,1161.5429,
493.606,1168.0841,
490.695,1199.5055,
487.785,1172.5629,
484.874,1165.6651,
481.964,1153.0375,
479.053,1140.0079,
476.143,1151.5273,
473.232,1124.9127,
470.321,1117.656,
467.411,1126.3152,
464.500,1141.3858,
461.590,1146.7459,
458.679,1149.9009,
455.769,1161.9622,
452.858,1187.2384,
449.947,1206.3367,
447.037,1164.1362,
444.126,1144.9712,
441.216,1160.8688,
438.305,1147.154,
435.395,1174.098,
432.484,1182.582,
429.573,1175.5575,
426.663,1185.4394,
423.752,1087.9139,
420.842,980.40059,
417.931,878.47109,
415.020,791.25991,
412.110,917.74553,
409.199,1041.5335,
406.289,1132.811,
403.378,1167.9939,
400.468,1092.3944,
397.557,1099.099,
394.646,1149.259,
391.736,1207.0951,
388.825,1233.4932,
385.915,1242.8466,
383.004,1240.8235,
380.094,1230.7144,
377.183,1200.6154,
374.272,1197.6778,
371.362,1203.4273,
368.451,1205.4749,
365.541,1192.7158,
362.630,1176.1402,
359.719,1168.5056,
356.809,1176.4312,
353.898,1179.4264,
350.988,1192.1847,
348.077,1210.3814,
345.167,1227.7525,
342.256,1178.446,
339.345,1170.6272,
336.435,1179.5811,
333.524,1188.344,
330.614,1191.3246,
327.703,1196.8706,
324.793,1207.6948,
321.882,1226.2915,
318.971,1243.3906,
316.061,1231.6707,
313.150,1225.0285,
310.240,1262.8765,
307.329,1277.1135,
304.418,1310.9751,
301.508,1348.5977,
298.597,1361.1848,
295.687,1384.5989,
292.776,1396.9167,
289.866,1399.5614,
286.955,1401.0388,
284.044,1399.985,
281.134,1419.9861,
278.223,1448.7831,
275.313,1404.5718,
272.402,1424.8761,
269.492,1446.5669,
266.581,1442.4153,
263.670,1374.7788,
260.760,1423.1598,
257.849,1473.9584,
254.939,1441.6676,
252.028,1464.413,
249.117,1450.4086,
246.207,1440.4864,
243.296,1507.1017,
240.386,1497.9252,
237.475,1488.4816,
234.565,1485.2944,
231.654,1472.8779,
228.743,1471.9761,
225.833,1461.9688,
222.922,1437.9147,
220.012,1473.6139,
217.101,1459.2421,
214.191,1431.1572,
211.280,1427.5199,
208.369,1408.4112,
205.459,1402.444,
202.548,1411.6372,
199.638,1437.0349,
196.727,1407.677,
193.816,1385.2602,
190.906,1390.6247,
187.995,1344.2872,
185.085,1329.6686,
182.174,1334.1883,
179.264,1345.0297,
176.353,1316.7742,
173.442,1312.2144,
170.532,1329.3857,
167.621,1296.2208,
164.711,1252.037,
