,PLB9E1~1,
Wavenumbers [1/cm],Intensity,
252.028,2448.0849,
249.117,2449.0678,
246.207,2426.5191,
243.296,2433.8395,
240.386,2470.5395,
237.475,2469.6473,
234.565,2431.1831,
231.654,2390.2816,
228.743,2377.5974,
225.833,2402.6755,
222.922,2462.4123,
220.012,2372.0714,
217.101,2370.1051,
214.191,2394.4724,
211.280,2380.6506,
208.369,2340.6018,
205.459,2318.431,
202.548,2314.3771,
199.638,2318.731,
196.727,2302.9147,
193.816,2291.8291,
190.906,2292.9997,
187.995,2246.6622,
185.085,2224.9507,
182.174,2215.0991,
179.264,2202.0893,
176.353,2153.8481,
173.442,2121.8241,
170.532,2097.4278,
167.621,1975.5829,
164.711,1913.7188,
161.800,1829.133,
158.890,1657.8379,
155.979,1531.1698,
153.068,1371.6872,
150.158,1189.264,
147.247,1028.4427,
144.337,849.3117,
141.426,667.46036,
138.516,489.67133,
135.605,336.12532,
132.694,229.54822,
129.784,158.33605,
126.873,100.41053,
123.963,72.691036,
121.052,53.542769,
118.141,35.695219,
115.231,35.625,
112.320,30.965005,
109.410,24.625,
106.499,24.625,
103.589,19.022455,
100.678,14.625,
97.767,14.625,
94.857,10.467066,
91.946,13.865441,
89.036,19.818633,
86.125,8.4713491,
83.215,8.8105221,
80.304,8.5123751,
77.393,-0.69383408,
74.483,7.1417545,
71.572,10.537944,
68.662,8.5557325,
65.751,7.8492814,
62.840,9.070106,
59.930,8.9394242,
57.019,2.5936863,
54.109,2.2221608,
51.198,2.9266093,
48.288,3.6193376,
45.377,2.9159595,
42.466,6.3349741,
39.556,11.164526,
36.645,8.3557648,
33.735,5.5480061,
30.824,2.5205651,
27.914,-0.98531109,
25.003,-5.7334623,
22.092,-7.0833818,
19.182,-4.2377028,
16.271,-0.040762029,
13.361,19.326235,
10.450,12.255473,
7.539,-170.00484,
4.629,-528.20263,
1.718,-900.19785,
-1.192,-1163.7185,
-4.103,-908.12432,
-7.013,-501.56683,
-9.924,1.625,
