,PLC1D2~1,
Wavenumbers [1/cm],Intensity,
1585.073,921.26097,
1582.162,902.49534,
1579.252,893.81699,
1576.341,875.17767,
1573.431,852.20382,
1570.520,810.3099,
1567.610,810.17664,
1564.699,798.77437,
1561.788,791.59156,
1558.878,819.67605,
1555.967,801.28809,
1553.057,739.06943,
1550.146,723.44725,
1547.235,704.02564,
1544.325,719.36638,
1541.414,741.2196,
1538.504,737.4862,
1535.593,727.26171,
1532.683,733.0788,
1529.772,754.15622,
1526.861,761.02329,
1523.951,759.91831,
1521.040,756.2217,
1518.130,771.06524,
1515.219,772.07977,
1512.309,773.55854,
1509.398,745.62181,
1506.487,721.33824,
1503.577,751.02867,
1500.666,753.4184,
1497.756,726.75446,
1494.845,747.83991,
1491.934,743.78897,
1489.024,679.30195,
1486.113,708.52533,
1483.203,679.02596,
1480.292,672.45447,
1477.382,711.60416,
1474.471,648.86638,
1471.560,628.45133,
1468.650,614.65125,
1465.739,621.45029,
1462.829,640.93635,
1459.918,661.70729,
1457.008,653.21515,
1454.097,642.39453,
1451.186,644.34623,
1448.276,614.70669,
1445.365,559.42496,
1442.455,518.18656,
1439.544,534.76844,
1436.633,558.54222,
1433.723,495.37387,
1430.812,498,
1427.902,498.94709,
1424.991,538.75311,
1422.081,500.54848,
1419.170,520.32963,
1416.259,558.83271,
1413.349,526.21698,
1410.438,509.5011,
1407.528,533.10593,
1404.617,559.32969,
1401.707,507.05684,
1398.796,444.03149,
1395.885,455.08285,
1392.975,480.39564,
1390.064,470.52845,
1387.154,475.17813,
1384.243,494.06749,
1381.332,454.34002,
1378.422,440.51695,
1375.511,431.14914,
1372.601,432.84314,
1369.690,499.86335,
1366.780,487.23895,
1363.869,512.96499,
1360.958,526.32043,
1358.048,519.28695,
1355.137,556.05472,
1352.227,578.44435,
1349.316,579.44145,
1346.406,621.49523,
1343.495,644.50522,
1340.584,654.28471,
1337.674,716.35517,
1334.763,687.55255,
1331.853,728.35072,
1328.942,701.53715,
1326.032,699.63124,
1323.121,708.89157,
1320.210,768.60326,
1317.300,780.4735,
1314.389,811.65361,
1311.479,841.95153,
1308.568,837.2614,
1305.657,858.74298,
1302.747,891.56864,
1299.836,951.64864,
1296.926,943.0255,
1294.015,965.08926,
1291.105,981.84975,
1288.194,1018.346,
1285.283,1014.8279,
1282.373,1021.3906,
1279.462,1036.2351,
1276.552,1078.7718,
1273.641,1096.4644,
1270.731,1061.2343,
1267.820,1075.8554,
1264.909,1097.4061,
1261.999,1062.2357,
1259.088,1013.8933,
1256.178,1068.3826,
1253.267,1032.7355,
1250.356,1033.2223,
1247.446,1053.4947,
1244.535,1048.6295,
1241.625,1009.7778,
1238.714,980.22724,
1235.804,1000.5534,
1232.893,1025.1233,
