,PLDA33~1,
Wavenumbers [1/cm],Intensity,
1087.364,1428.0358,
1084.453,1446.8733,
1081.543,1467.875,
1078.632,1474.7697,
1075.722,1493.6362,
1072.811,1508.0134,
1069.901,1481.8156,
1066.990,1469.3667,
1064.079,1455.3063,
1061.169,1438.829,
1058.258,1435.8038,
1055.348,1439.1717,
1052.437,1425.9071,
1049.527,1415.9757,
1046.616,1418.5822,
1043.705,1426.5827,
1040.795,1433.983,
1037.884,1431.3119,
1034.974,1425.5026,
1032.063,1426.3057,
1029.153,1429.6287,
1026.242,1419.2492,
1023.331,1403.0427,
1020.421,1418.6967,
1017.510,1454.8888,
1014.600,1464.1871,
1011.689,1464.5494,
1008.778,1507.1157,
1005.868,1496.9445,
1002.957,1504.6877,
1000.047,1537.907,
997.136,1559.8595,
994.226,1566.4289,
991.315,1551.8701,
988.404,1519.0643,
985.494,1514.4914,
982.583,1497.3603,
979.673,1504.3864,
976.762,1500.8298,
973.852,1491.0129,
970.941,1485.1714,
968.030,1487.3779,
965.120,1495.8141,
962.209,1481.3209,
959.299,1490.207,
956.388,1502.1545,
953.477,1514.0404,
950.567,1524.705,
947.656,1534.22,
944.746,1567.3527,
941.835,1558.3474,
938.925,1572.9843,
936.014,1573.7818,
933.103,1575.4085,
930.193,1590.2782,
927.282,1576.5295,
924.372,1514.8002,
921.461,1522.3394,
918.551,1509.8661,
915.640,1493.4755,
912.729,1493.7054,
909.819,1506.0966,
906.908,1500.1996,
903.998,1480.7863,
901.087,1498.7892,
898.176,1500.8995,
895.266,1497.7622,
892.355,1516.5609,
889.445,1514.8823,
886.534,1561.6278,
883.624,1562.1282,
880.713,1569.6132,
877.802,1565.2424,
874.892,1529.0727,
871.981,1495.028,
869.071,1332.1225,
866.160,1316.9842,
863.250,1399.9328,
860.339,1490.9955,
857.428,1530.4055,
854.518,1535.9362,
851.607,1503.4855,
848.697,1479.3039,
845.786,1447.0026,
842.875,1461.5776,
839.965,1537.9578,
837.054,1575.489,
834.144,1630.1867,
831.233,1634.2088,
828.323,1634.337,
825.412,1645.2801,
822.501,1655.811,
819.591,1627.7135,
816.680,1651.7148,
813.770,1658.5015,
810.859,1626.8369,
807.949,1592.5604,
805.038,1600.9922,
802.127,1568.8903,
799.217,1567.3658,
796.306,1539.4964,
793.396,1521.3789,
790.485,1537.404,
787.574,1578.3696,
784.664,1617.735,
781.753,1627.5589,
778.843,1647.9882,
775.932,1658.9245,
773.022,1635.7051,
770.111,1615.2656,
767.200,1624.5334,
764.290,1615.1617,
761.379,1580.6675,
758.469,1564.2665,
755.558,1647.7809,
752.648,1611.1238,
749.737,1619.5419,
746.826,1606.895,
743.916,1589.8556,
741.005,1606.7745,
738.095,1597.032,
735.184,1570.8479,
732.274,1523.5363,
729.363,1506.3503,
726.452,1544.8683,
723.542,1578.0534,
720.631,1582.9332,
717.721,1599.3418,
714.810,1626.1022,
711.899,1653.6968,
708.989,1665.8007,
706.078,1665.875,
703.168,1652.5161,
700.257,1657.0773,
697.347,1666.5282,
694.436,1633.6606,
691.525,1662.5976,
688.615,1641.2029,
685.704,1613.2193,
682.794,1607.9387,
679.883,1642.2086,
676.973,1671.8593,
674.062,1672.7703,
671.151,1650.5885,
668.241,1630.8782,
665.330,1646.5347,
662.420,1639.3461,
659.509,1662.6373,
656.598,1691.1557,
653.688,1721.8372,
650.777,1761.74,
647.867,1757.7583,
644.956,1747.5877,
642.046,1701.659,
639.135,1649.0672,
636.224,1665.058,
633.314,1701.5792,
630.403,1695.5035,
627.493,1679.882,
624.582,1666.2247,
621.672,1640.8809,
618.761,1674.0723,
615.850,1713.5264,
612.940,1734.8258,
610.029,1724.4304,
607.119,1685.7385,
604.208,1729.4459,
601.297,1744.8869,
598.387,1740.5884,
595.476,1737.9437,
592.566,1717.48,
589.655,1741.7343,
586.745,1756.0071,
583.834,1747.6287,
580.923,1721.8039,
578.013,1710.0329,
575.102,1713.1845,
572.192,1745.0286,
569.281,1789.5164,
566.371,1765.2551,
563.460,1784.7445,
560.549,1807.0315,
557.639,1810.6696,
554.728,1785.2893,
551.818,1823.5248,
548.907,1811.155,
545.996,1800.2077,
543.086,1804.5461,
540.175,1807.6606,
537.265,1800.6322,
534.354,1794.3632,
531.444,1795.0549,
528.533,1805.4887,
525.622,1800.0571,
522.712,1784.3129,
519.801,1762.273,
516.891,1747.5092,
513.980,1775.3838,
511.070,1787.7359,
508.159,1785.1891,
505.248,1791.8953,
502.338,1832.045,
499.427,1769.5267,
496.517,1777.7639,
493.606,1798.221,
490.695,1797.8794,
487.785,1776.3253,
484.874,1771.5826,
481.964,1760.9083,
479.053,1747.6104,
476.143,1750.6823,
473.232,1740.8033,
470.321,1755.3649,
467.411,1762.7185,
464.500,1727.4568,
461.590,1750.429,
458.679,1761.2774,
455.769,1763.2997,
452.858,1764.0108,
449.947,1803.7352,
447.037,1788.2113,
444.126,1789.5114,
441.216,1814.7001,
438.305,1796.4137,
435.395,1784.0405,
432.484,1778.875,
429.573,1772.8399,
426.663,1746.9951,
423.752,1670.9486,
420.842,1569.002,
417.931,1449.8917,
415.020,1323.2459,
412.110,1471.7821,
409.199,1668.2171,
406.289,1811.4313,
403.378,1800.7418,
400.468,1761.4301,
397.557,1736.5354,
394.646,1742.9212,
391.736,1791.8026,
388.825,1789.5399,
385.915,1804.8408,
383.004,1812.8786,
380.094,1797.5679,
377.183,1791.5481,
374.272,1796.9311,
371.362,1805.5239,
368.451,1810.872,
365.541,1794.3602,
362.630,1819.9182,
359.719,1845.4669,
356.809,1845.1533,
353.898,1816.6989,
350.988,1814.8424,
348.077,1819.5846,
345.167,1818.9128,
342.256,1819.6599,
339.345,1831.0351,
336.435,1823.1091,
333.524,1778.1668,
330.614,1819.1504,
327.703,1820.5801,
324.793,1832.5606,
321.882,1897.8678,
318.971,1894.894,
316.061,1897.7815,
313.150,1906.494,
310.240,1921.3364,
307.329,1966.1825,
304.418,2003.025,
301.508,2012.2873,
298.597,1961.1985,
295.687,1974.4833,
292.776,2005.3751,
289.866,2045.2823,
286.955,2085.1735,
284.044,2141.4749,
281.134,2190.5003,
278.223,2228.5096,
275.313,2260.1944,
272.402,2301.1483,
269.492,2331.8952,
266.581,2336.8873,
263.670,2225.1399,
260.760,2271.7549,
257.849,2354.3967,
254.939,2384.4859,
252.028,2408.038,
249.117,2393.12,
246.207,2367.3373,
243.296,2376.8538,
240.386,2378.528,
237.475,2383.8694,
234.565,2385.088,
231.654,2341.9954,
228.743,2325.9706,
225.833,2291.3001,
222.922,2223.875,
220.012,2223.875,
217.101,2244.4851,
214.191,2244.8932,
211.280,2175.0568,
208.369,2191.405,
205.459,2165.9425,
202.548,2117.641,
199.638,2151.0209,
196.727,2125.0307,
193.816,2114.421,
190.906,2142.6245,
187.995,2049.9493,
185.085,2048.6106,
182.174,2076.9985,
179.264,2055.3155,
176.353,2026.6031,
173.442,2017.3134,
170.532,2021.1625,
167.621,1972.1362,
164.711,1921.5597,
161.800,1843.6374,
158.890,1714.0864,
155.979,1591.474,
153.068,1441.413,
150.158,1271.8804,
147.247,1113.213,
144.337,916.71724,
141.426,722.63436,
138.516,549.86358,
135.605,400.62298,
132.694,279.26943,
129.784,182.93803,
126.873,111.42504,
123.963,77.526615,
121.052,54.659613,
118.141,33.956455,
115.231,31.032719,
112.320,22.673189,
109.410,13.284066,
106.499,15.420531,
103.589,14.194237,
