,PL0AD7~1,
Wavenumbers [1/cm],Intensity,
1477.382,758.09693,
1474.471,725.86367,
1471.560,726.33632,
1468.650,703.66905,
1465.739,701.88833,
1462.829,701.43501,
1459.918,717.44216,
1457.008,729.43071,
1454.097,723.15137,
1451.186,722.24758,
1448.276,707.39638,
1445.365,672.24882,
1442.455,643.51406,
1439.544,616.66581,
1436.633,656.47567,
1433.723,658.86029,
1430.812,688.56704,
1427.902,634.03729,
1424.991,677.63436,
1422.081,645.97082,
1419.170,676.69835,
1416.259,702.25158,
1413.349,657.90933,
1410.438,666.49229,
1407.528,695.02477,
1404.617,724.96236,
1401.707,684.41613,
1398.796,620.89514,
1395.885,608.54728,
1392.975,631.64653,
1390.064,665.53171,
1387.154,679.3742,
1384.243,695.79288,
1381.332,693.76262,
1378.422,718.83136,
1375.511,618.5958,
1372.601,659.39224,
1369.690,689.5739,
1366.780,665.48673,
1363.869,725.56236,
1360.958,725.91178,
1358.048,724.27292,
1355.137,747.24484,
1352.227,743.15675,
1349.316,773.71425,
1346.406,840.95027,
1343.495,800.53655,
1340.584,779.35641,
1337.674,829.25122,
1334.763,848.74099,
1331.853,868.21284,
1328.942,838.75822,
1326.032,855.39052,
1323.121,834.80721,
1320.210,827.99776,
1317.300,883.89158,
1314.389,906.06913,
1311.479,912.8445,
1308.568,934.53456,
1305.657,923,
1302.747,939.5796,
1299.836,1002.6658,
1296.926,985.7009,
1294.015,979.26563,
1291.105,991.32759,
1288.194,1003.3837,
1285.283,986.66792,
1282.373,1006.8436,
1279.462,1035.0782,
1276.552,1051.9685,
1273.641,1042.9177,
1270.731,1006.7672,
1267.820,986.16904,
1264.909,981.79109,
1261.999,973.63247,
1259.088,990.96277,
1256.178,1041.6745,
1253.267,1019.3122,
1250.356,984.26435,
1247.446,975.52036,
1244.535,969.08038,
1241.625,956.77038,
1238.714,962.89767,
1235.804,985.25244,
1232.893,980.49769,
1229.982,989.58946,
1227.072,947.94511,
1224.161,969.37461,
