,PL631F~1,
Wavenumbers [1/cm],Intensity,
39.556,-0.15464427,
36.645,1.9519264,
33.735,5.0962423,
30.824,2.8613735,
27.914,-11.863307,
25.003,-11.632088,
22.092,-12.114523,
19.182,-15.133874,
16.271,-3.9420321,
13.361,16.936861,
10.450,7.1689549,
7.539,-180.67788,
4.629,-578.53568,
1.718,-977.12872,
-1.192,-1210.6721,
-4.103,-967.6564,
-7.013,-552.84244,
-9.924,-6.5,
