,PL36EA~1,
Wavenumbers [1/cm],Intensity,
1497.756,430.64421,
1494.845,444.58004,
1491.934,446.39921,
1489.024,415.59944,
1486.113,470.13293,
1483.203,462.95382,
1480.292,462.34851,
1477.382,484.3227,
1474.471,435.01609,
1471.560,421.40266,
1468.650,400.63524,
1465.739,418.68157,
1462.829,440.46817,
1459.918,448.36744,
1457.008,446.93071,
1454.097,445.73511,
1451.186,450.33172,
1448.276,436.74123,
1445.365,403.46288,
1442.455,394.15295,
1439.544,414.72434,
1436.633,410.25671,
1433.723,393.7251,
1430.812,450.39176,
1427.902,436.5,
1424.991,436.5,
1422.081,398.88344,
1419.170,421.42181,
1416.259,400.38805,
1413.349,408.09434,
1410.438,413.89956,
1407.528,437.03096,
1404.617,443.62872,
1401.707,422.5419,
1398.796,391.92312,
1395.885,385.24812,
1392.975,404.75018,
1390.064,405.43658,
1387.154,392.70589,
1384.243,402.18886,
1381.332,374.86008,
1378.422,321.98305,
1375.511,331.35086,
1372.601,379.42166,
1369.690,388.64333,
1366.780,387.12389,
1363.869,408.29431,
1360.958,403.29567,
1358.048,408.36624,
1355.137,447.51536,
1352.227,471.38233,
1349.316,464.16703,
1346.406,463.0545,
1343.495,468.00174,
1340.584,458.28629,
1337.674,428.64727,
1334.763,495.61787,
1331.853,472.43709,
1328.942,459.93697,
1326.032,455.23752,
1323.121,461.16868,
1320.210,460.83632,
1317.300,443.56373,
1314.389,443.29188,
1311.479,447.38354,
1308.568,445.96544,
1305.657,442.60925,
1302.747,415.62046,
1299.836,459.13145,
1296.926,457.22639,
1294.015,472.85489,
1291.105,435.6367,
1288.194,507.17933,
1285.283,494.27986,
1282.373,485.29686,
1279.462,495.73514,
1276.552,504.82284,
1273.641,486.24204,
1270.731,447.97164,
1267.820,432.64461,
1264.909,406.25822,
1261.999,404.20041,
1259.088,395.99132,
1256.178,476.86336,
1253.267,454.44181,
1250.356,451.62705,
1247.446,454.32655,
1244.535,448.04912,
1241.625,420.29636,
1238.714,396.84086,
1235.804,422.96113,
1232.893,440.50308,
1229.982,426.53066,
1227.072,427.43598,
1224.161,430.86202,
1221.251,425.54393,
1218.340,387.22253,
1215.430,378.51071,
1212.519,399.72451,
1209.608,405.99498,
1206.698,388.96805,
1203.787,383.7211,
1200.877,379.7786,
1197.966,384.2744,
1195.055,390.47274,
1192.145,411.78627,
1189.234,434.07102,
1186.324,454.50115,
1183.413,450.80963,
1180.503,444.96669,
1177.592,457.04523,
1174.681,430.35615,
1171.771,483.88184,
1168.860,457.08915,
1165.950,453.69371,
1163.039,433.94472,
1160.129,416.06232,
1157.218,420.55693,
1154.307,440.29153,
1151.397,446.46167,
1148.486,428.74785,
1145.576,441.69274,
1142.665,446.1323,
1139.754,461.95895,
1136.844,478.10545,
1133.933,468.83735,
1131.023,428.75796,
1128.112,410.85492,
1125.202,442.60627,
1122.291,455.37466,
1119.380,454.30079,
1116.470,434.00264,
1113.559,422.22101,
1110.649,422.11938,
1107.738,412.24782,
1104.828,406.661,
1101.917,411.61239,
1099.006,411.95355,
1096.096,421.77989,
1093.185,393.68381,
1090.275,417.39665,
1087.364,411.14979,
1084.453,422.93639,
1081.543,435.18534,
1078.632,439.76789,
1075.722,452.5597,
1072.811,447.13485,
1069.901,427.92311,
1066.990,411.1417,
1064.079,424.51285,
1061.169,418.14017,
1058.258,414.12274,
1055.348,418.91479,
1052.437,405.5,
1049.527,405.1979,
1046.616,397.37844,
1043.705,407.29071,
1040.795,411.1385,
1037.884,416.55738,
1034.974,409.21006,
1032.063,391.59989,
1029.153,400.6691,
1026.242,393.74945,
1023.331,381.0008,
1020.421,423.8116,
1017.510,443.5,
1014.600,435.46433,
1011.689,421.07916,
1008.778,405.16944,
1005.868,362.46911,
1002.957,359.02769,
1000.047,375.24401,
997.136,421.43815,
994.226,456.63835,
991.315,458.19308,
988.404,438.58165,
985.494,423.73016,
982.583,434.00883,
979.673,428.18353,
976.762,434.30653,
973.852,440.94201,
970.941,429.64477,
968.030,401.04913,
965.120,398.7327,
962.209,454.14793,
959.299,438.71128,
956.388,439.69928,
953.477,437.81329,
950.567,440.27681,
947.656,488.04897,
944.746,469.35874,
941.835,462.83131,
938.925,455.57755,
936.014,464.63983,
933.103,473.32215,
930.193,463.70462,
927.282,447.5376,
924.372,429.77986,
921.461,451.80121,
918.551,455.85253,
915.640,444.00113,
912.729,434.64685,
909.819,444.61458,
906.908,475.7843,
903.998,463.18344,
901.087,458.22699,
898.176,441.75256,
895.266,432.11758,
892.355,446.45822,
889.445,435.54775,
886.534,453.86718,
883.624,452.11734,
880.713,456.13463,
877.802,448.60433,
874.892,403.1961,
871.981,312.70609,
869.071,109.70076,
866.160,108.99798,
863.250,247.68766,
860.339,387.42199,
857.428,445.72628,
854.518,477.29845,
851.607,366.63324,
848.697,334.43147,
845.786,262.07233,
842.875,248.38814,
839.965,356.53937,
837.054,443.7791,
834.144,468.64168,
831.233,510.16401,
828.323,499.32026,
825.412,475.6173,
822.501,492.22349,
819.591,512.88348,
816.680,492.66663,
813.770,497.52404,
810.859,491.76774,
807.949,479.9805,
805.038,483.41371,
802.127,457.89676,
799.217,468.17165,
796.306,477.04057,
793.396,481.66795,
790.485,481.3942,
787.574,474.06048,
784.664,488.8225,
781.753,496.19689,
778.843,513.69255,
775.932,531.66046,
773.022,530.79411,
770.111,494.00309,
767.200,513.57806,
764.290,508.94244,
761.379,493.41038,
758.469,486.8946,
755.558,503.64588,
752.648,508.5335,
749.737,489.91632,
746.826,484.16221,
743.916,492.8507,
741.005,503.4258,
738.095,520.47522,
735.184,455.28439,
732.274,392.21308,
729.363,371.26807,
726.452,396.54649,
723.542,407.87799,
720.631,466.60496,
717.721,479.91724,
714.810,499.72144,
711.899,534.49009,
708.989,521.57929,
706.078,551.14821,
703.168,546.35558,
700.257,538.91257,
697.347,536.02211,
694.436,523.08538,
691.525,507.81308,
688.615,505.12891,
685.704,507.65847,
682.794,515.1808,
679.883,530.78835,
676.973,537.19931,
674.062,543.60466,
671.151,551.32163,
668.241,551.5438,
665.330,531.66805,
662.420,514.09595,
659.509,511.13493,
656.598,525.78075,
653.688,549.56094,
650.777,566.41899,
647.867,564.03001,
644.956,526.351,
642.046,466.18617,
639.135,417.06335,
636.224,430.74668,
633.314,479.97087,
630.403,512.00995,
627.493,533.56556,
624.582,539.61372,
621.672,508.72594,
618.761,504.46024,
615.850,525.53951,
612.940,564.33361,
610.029,600.15976,
607.119,574.10195,
604.208,560.13979,
601.297,560.48518,
598.387,562.06041,
595.476,552.90577,
592.566,546.60922,
589.655,600.57066,
586.745,603.15998,
583.834,576.28336,
580.923,607.45735,
578.013,600.39474,
575.102,569.82058,
572.192,552.07284,
569.281,563.70219,
566.371,592.65927,
563.460,583.50704,
560.549,587.75829,
557.639,598.57425,
