,PLAE70~1,
Wavenumbers [1/cm],Intensity,
877.802,743.23086,
874.892,720.97769,
871.981,708.62651,
869.071,565.77091,
866.160,569.97831,
863.250,633.32347,
860.339,704.0582,
857.428,749.76524,
854.518,752.0612,
851.607,719.6105,
848.697,691.98985,
845.786,680.4431,
842.875,684.94232,
839.965,708.03432,
837.054,763.40005,
834.144,799.0364,
831.233,815.33266,
828.323,825.44029,
825.412,836.79533,
822.501,845.72332,
819.591,827.54254,
816.680,826.19872,
813.770,808.45793,
810.859,795.7438,
807.949,795.75611,
805.038,800.01326,
802.127,775.31944,
799.217,781.1993,
796.306,778.89185,
793.396,796.02312,
790.485,824.99897,
787.574,810.46706,
784.664,822.76875,
781.753,843.78755,
778.843,842.21819,
775.932,836.24683,
773.022,842.42091,
770.111,806.44746,
767.200,816.181,
764.290,832.71331,
761.379,842.39387,
758.469,839.2332,
755.558,825.63214,
752.648,846.81183,
749.737,803.34639,
746.826,795.25018,
743.916,815.27922,
741.005,813.52397,
738.095,791.60329,
735.184,737.5157,
732.274,698.59359,
729.363,685.69854,
726.452,702.35536,
723.542,754.15654,
720.631,768.46809,
717.721,810.38065,
714.810,854.22717,
711.899,877.30693,
708.989,870.0446,
706.078,859.58306,
703.168,853.35667,
700.257,861.72687,
697.347,870.26158,
694.436,845.36716,
691.525,822.05681,
688.615,811.3398,
685.704,822.24589,
682.794,849.89352,
679.883,878.06287,
676.973,857.22723,
674.062,874.05671,
671.151,876.79507,
668.241,873.33869,
665.330,898.37391,
662.420,864.02844,
659.509,848.7459,
656.598,860.4445,
653.688,884.99055,
650.777,895.054,
647.867,896.64666,
644.956,862.94675,
642.046,849.46277,
639.135,845.32736,
636.224,790.24668,
633.314,839.47087,
630.403,853.18242,
627.493,855.15222,
624.582,848.17143,
621.672,808.57172,
618.761,854.11624,
615.850,908.67112,
612.940,940.65847,
610.029,935.00214,
607.119,904.99618,
604.208,902,
601.297,924.4333,
598.387,933.81492,
595.476,898.92018,
592.566,876.88227,
589.655,901.50716,
586.745,922.20762,
583.834,922.85165,
580.923,901.11847,
578.013,920.73682,
575.102,905.92441,
572.192,902.79039,
569.281,924.1406,
566.371,924.92322,
563.460,929.93828,
560.549,957.82577,
557.639,987.9542,
554.728,993.97987,
551.818,961.98692,
548.907,952.56235,
545.996,951.77758,
543.086,951.32237,
540.175,943.53592,
537.265,961.83126,
534.354,963.98309,
531.444,953.98416,
528.533,942.93138,
525.622,970.08953,
522.712,942.62857,
519.801,929.01948,
516.891,940.74796,
513.980,934.55359,
511.070,960.7652,
508.159,960.53841,
505.248,947.49928,
502.338,946.33888,
499.427,957.91636,
496.517,954.77778,
493.606,945.62561,
490.695,937.85588,
487.785,944.0142,
484.874,944.35378,
481.964,939.01666,
479.053,934.02244,
476.143,942.47003,
473.232,913.50445,
470.321,913.19126,
467.411,928.29238,
464.500,937.72849,
461.590,927.00813,
458.679,949.31355,
455.769,959.91795,
452.858,941.42,
449.947,974.26905,
447.037,955.51606,
444.126,944.54545,
441.216,955.05831,
438.305,961.15376,
435.395,957.41054,
432.484,956.66701,
429.573,943.55732,
426.663,877.42509,
423.752,796.67874,
420.842,687.73344,
417.931,574.37578,
415.020,494.74818,
412.110,644.17553,
409.199,785.08548,
406.289,877.19773,
403.378,886.91291,
400.468,861.2091,
397.557,855.0566,
394.646,878.00896,
391.736,935.09658,
388.825,938.1135,
385.915,948.04729,
383.004,948.29033,
380.094,928.46255,
377.183,917.92788,
374.272,931.82619,
371.362,963.36532,
368.451,1003.1764,
365.541,973.15491,
362.630,954.62143,
359.719,942.15242,
