,PL6D1D~1,
Wavenumbers [1/cm],Intensity,
1180.503,1097.3819,
1177.592,1104.0289,
1174.681,1074.2312,
1171.771,1064.8517,
1168.860,1074.6756,
1165.950,1076.4313,
1163.039,1043.1017,
1160.129,1052.2192,
1157.218,1077.2782,
1154.307,1097.3847,
1151.397,1110.1507,
1148.486,1097.3224,
1145.576,1111.5071,
1142.665,1085.7576,
1139.754,1095.8294,
1136.844,1104.9277,
1133.933,1105.279,
1131.023,1080.0202,
1128.112,1060.4097,
1125.202,1076.7313,
1122.291,1086.3662,
1119.380,1063.8069,
1116.470,1082.34,
1113.559,1039.0033,
1110.649,1028.8992,
1107.738,1032.2325,
1104.828,1045.2758,
1101.917,1052.7489,
1099.006,1033.2023,
1096.096,1039.6574,
1093.185,1023.8534,
1090.275,1075.2276,
1087.364,1065.6691,
1084.453,1073.0614,
1081.543,1078.2988,
1078.632,1082.6679,
1075.722,1112.428,
1072.811,1098.7491,
1069.901,1100.4956,
1066.990,1080.4167,
1064.079,1078.3471,
1061.169,1058.6376,
1058.258,1062.7993,
1055.348,1084.57,
1052.437,1064.8372,
1049.527,1050.625,
1046.616,1050.625,
1043.705,1058.3327,
1040.795,1072.7566,
1037.884,1063.9471,
1034.974,1063.8943,
1032.063,1087.002,
1029.153,1080.3907,
1026.242,1095.0949,
1023.331,1085.6256,
1020.421,1092.6873,
1017.510,1115.1141,
1014.600,1106.3638,
1011.689,1080.0413,
1008.778,1090.986,
1005.868,1075.6482,
1002.957,1078.2292,
1000.047,1108.473,
997.136,1143.7054,
994.226,1174.9017,
991.315,1187.7537,
988.404,1167.3836,
985.494,1119.9127,
982.583,1132.761,
979.673,1133.8934,
976.762,1128.9282,
973.852,1129.1611,
970.941,1126.2155,
968.030,1109.677,
965.120,1115.7682,
962.209,1149.8699,
959.299,1133.6693,
956.388,1140.304,
953.477,1142.7603,
950.567,1141.1733,
947.656,1174.0626,
944.746,1154.5228,
941.835,1193.3059,
938.925,1209.8636,
936.014,1205.026,
933.103,1198.3905,
930.193,1197.0306,
927.282,1178.9916,
924.372,1185.7565,
921.461,1193.2526,
918.551,1175.2923,
915.640,1159.7751,
912.729,1159.1617,
909.819,1161.737,
906.908,1170.1613,
903.998,1171.4204,
901.087,1169.079,
898.176,1165.7162,
895.266,1174.734,
892.355,1197.0544,
889.445,1188.6617,
886.534,1189.4599,
883.624,1203.7545,
880.713,1203.48,
877.802,1181.3398,
874.892,1139.5719,
871.981,1077.0086,
869.071,881.52203,
866.160,900.06193,
863.250,1011.1669,
860.339,1122.8427,
857.428,1182.3468,
854.518,1187.6993,
851.607,1121.1337,
848.697,1064.9169,
845.786,1024.3853,
842.875,1050.7167,
839.965,1143.9651,
837.054,1187.3228,
834.144,1249.4792,
831.233,1300.2889,
828.323,1296.3801,
825.412,1275.2007,
822.501,1280.9229,
819.591,1282.5757,
816.680,1272.2083,
813.770,1256.4684,
810.859,1248.1738,
807.949,1256.4446,
805.038,1273.9502,
802.127,1227.0319,
799.217,1234.5513,
796.306,1247.1386,
793.396,1259.4648,
790.485,1262.097,
787.574,1238.2478,
784.664,1254.65,
781.753,1283.1224,
778.843,1302.4862,
775.932,1303.4523,
773.022,1285.8211,
770.111,1261.2937,
767.200,1259.625,
764.290,1268.2932,
761.379,1282.5024,
758.469,1289.1841,
755.558,1269.2814,
752.648,1291.2757,
749.737,1297.5834,
746.826,1291.6317,
743.916,1287.2549,
741.005,1298.6425,
738.095,1316.5038,
735.184,1301.4636,
732.274,1268.856,
729.363,1234.8656,
726.452,1220.4953,
723.542,1258.5368,
720.631,1263.6832,
717.721,1268.0621,
714.810,1288.1362,
711.899,1313.9913,
708.989,1302.6944,
706.078,1329.8693,
703.168,1336.625,
700.257,1329.6113,
697.347,1319.625,
694.436,1318.7303,
691.525,1285.7743,
688.615,1276.7383,
685.704,1279.0785,
682.794,1298.3695,
679.883,1347.0575,
676.973,1356.674,
