,PL75BA~1,
Wavenumbers [1/cm],Intensity,
761.379,985.9835,
758.469,969.35107,
755.558,984.05893,
752.648,973.46909,
749.737,952.44411,
746.826,941.90878,
743.916,951.98555,
741.005,979.74182,
738.095,982.98933,
735.184,944.76178,
732.274,903.08013,
729.363,876.34893,
726.452,873.44473,
723.542,890.44199,
720.631,931.89557,
717.721,968.43451,
714.810,993.60791,
711.899,1003.87,
708.989,997.41464,
706.078,1024.6193,
703.168,1018.0161,
700.257,1007.7247,
697.347,1002.7666,
694.436,993.63686,
691.525,1003.2825,
688.615,996.57024,
685.704,985.33129,
682.794,990.71528,
679.883,1033.546,
676.973,1015.1145,
674.062,996.69911,
671.151,994.94995,
668.241,1012.9049,
665.330,1041.3329,
662.420,998.20142,
659.509,996.99417,
656.598,1015.6557,
653.688,1048.4076,
650.777,1093.4578,
647.867,1036.9185,
644.956,1034.2814,
642.046,1011.7677,
639.135,974.51914,
636.224,986.48243,
633.314,1007.9188,
630.403,1030.5201,
627.493,1035.8457,
624.582,1022.0201,
621.672,1006.9723,
618.761,1013.9744,
615.850,1044.4754,
612.940,1059.1782,
610.029,1039.9554,
607.119,1019.425,
604.208,1068.496,
601.297,1094.3602,
598.387,1081.6038,
595.476,1037.3007,
592.566,1036.5137,
589.655,1073.3047,
586.745,1101.1864,
583.834,1103.47,
580.923,1075.3608,
578.013,1073.0066,
575.102,1060.3296,
572.192,1068.8819,
569.281,1097.563,
566.371,1081.9105,
563.460,1102.95,
560.549,1114.8114,
557.639,1124.8948,
554.728,1147.4937,
551.818,1181.0473,
548.907,1129.8713,
545.996,1098.5956,
543.086,1107.7039,
540.175,1104.5894,
537.265,1091.338,
534.354,1094.9037,
531.444,1102.8177,
528.533,1103.6375,
525.622,1135.4513,
522.712,1116.2846,
519.801,1083.7179,
516.891,1061.9746,
513.980,1079.7834,
511.070,1076.4446,
508.159,1090.6123,
505.248,1101.6152,
502.338,1082.369,
499.427,1116.3297,
496.517,1128.2033,
493.606,1133.7399,
490.695,1137.8074,
487.785,1119.3324,
484.874,1124.1297,
481.964,1099.7208,
479.053,1065.6262,
476.143,1091.7369,
473.232,1099.8496,
470.321,1105.781,
467.411,1102.7902,
464.500,1084.0538,
461.590,1110.8547,
458.679,1118.9253,
455.769,1108.3478,
452.858,1089.6243,
449.947,1140.0438,
447.037,1107.9018,
444.126,1085.5508,
441.216,1094.7719,
438.305,1097.0577,
435.395,1132.7794,
432.484,1135.9552,
429.573,1110.825,
426.663,1095.6221,
423.752,996.03892,
420.842,896.28925,
417.931,794.11546,
415.020,673.53652,
412.110,818.62408,
409.199,961.88346,
406.289,1060.2785,
403.378,1078.1445,
400.468,1010.105,
397.557,1001.7429,
394.646,1032.9598,
391.736,1083.0853,
388.825,1074.0345,
385.915,1075.1004,
383.004,1079.5172,
380.094,1082.6437,
377.183,1087.9111,
374.272,1096.9739,
371.362,1111.3218,
368.451,1128.5058,
365.541,1097.7338,
362.630,1112.8633,
359.719,1122.904,
356.809,1100.2844,
353.898,1098.7868,
350.988,1101.0874,
348.077,1109.4736,
345.167,1123.2398,
342.256,1100.8277,
339.345,1093.8436,
336.435,1111.1409,
333.524,1156.9052,
330.614,1142.0021,
327.703,1145.5895,
324.793,1145.3835,
321.882,1122.3876,
318.971,1127.5917,
316.061,1117.1671,
313.150,1120.3107,
310.240,1171.5167,
307.329,1178.3775,
304.418,1171.7119,
301.508,1172.2058,
298.597,1212.9287,
295.687,1183.8675,
292.776,1168.375,
289.866,1168.2193,
286.955,1167.4806,
284.044,1211.0175,
281.134,1249.3351,
278.223,1269.9738,
275.313,1260.3947,
272.402,1272.3167,
269.492,1279.2065,
266.581,1270.7459,
263.670,1247.9553,
260.760,1251.3003,
257.849,1273.9762,
254.939,1312.872,
252.028,1281.5258,
249.117,1268.4613,
246.207,1265.4809,
243.296,1258.1605,
240.386,1288.0656,
237.475,1298.6122,
