,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_mix_1E-2mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__1__31,
Raman shift [1/cm],Intensity,
333.524,5902.135,
330.614,5934.1767,
327.703,5950.7993,
324.793,5960.2185,
321.882,5969.2638,
318.971,6026.5089,
316.061,6076.8888,
313.150,6131.5273,
310.240,6203.5126,
307.329,6280.4472,
304.418,6301.9178,
301.508,6283.6573,
298.597,6251.8194,
295.687,6299.918,
292.776,6357.4585,
289.866,6472.9402,
286.955,6799.4569,
284.044,7007.4123,
281.134,7195.1781,
278.223,7379.1601,
275.313,7543.4789,
272.402,7682.6876,
269.492,7843.3584,
266.581,8036.0586,
263.670,8161.0393,
260.760,8294.8107,
257.849,8406.7082,
254.939,8471.2899,
252.028,8527.1372,
249.117,8582.8439,
246.207,8645.9072,
243.296,8730.0915,
240.386,8654.8891,
237.475,8534.8244,
234.565,8400.666,
231.654,8315.2111,
228.743,8290.2206,
225.833,8232.3779,
222.922,8108.3539,
220.012,8027.4843,
217.101,7924.5733,
214.191,7837.4754,
211.280,7812.0142,
208.369,7794.6503,
205.459,7762.3715,
202.548,7733.2727,
199.638,7780.4399,
196.727,7709.4548,
193.816,7673.3037,
190.906,7724.2808,
187.995,7643.19,
185.085,7705.9133,
182.174,7807.5168,
179.264,7808.9623,
176.353,7756.5811,
173.442,7803.6247,
170.532,7926.28,
167.621,7824.6224,
164.711,7693.0626,
161.800,7499.8361,
158.890,7209.0662,
155.979,6729.5209,
153.068,6193.854,
150.158,5591.8474,
147.247,4843.7411,
144.337,4053.6843,
141.426,3226.2727,
138.516,2358.1174,
135.605,1693.9862,
132.694,1172.8026,
129.784,777.60702,
126.873,502.99716,
123.963,346.96866,
121.052,244.21252,
118.141,176.39183,
115.231,132.78021,
112.320,100.72138,
109.410,78.397895,
106.499,64.15479,
103.589,68.408308,
100.678,68.149323,
97.767,52.508696,
94.857,56.975923,
91.946,53.884559,
89.036,45.56051,
86.125,42.014484,
83.215,39.532239,
80.304,34.294077,
77.393,22.963358,
74.483,34.572564,
71.572,35.327366,
68.662,24.84793,
65.751,22.022126,
62.840,23.53351,
59.930,26.499572,
57.019,27.909736,
54.109,27.527839,
51.198,23.807298,
48.288,16.141987,
45.377,18.252122,
42.466,20.773877,
39.556,22.664526,
36.645,19.855765,
33.735,17.048006,
30.824,16.229435,
27.914,19.735311,
25.003,23.860825,
22.092,27.416618,
19.182,30.60554,
16.271,45.294833,
13.361,123.19431,
10.450,285.34481,
7.539,652.6587,
4.629,791.4963,
1.718,698.27552,
-1.192,261.86304,
-4.103,118.62059,
-7.013,43.275613,
-9.924,0.125,
