,PLA0ED~1,
Wavenumbers [1/cm],Intensity,
854.518,610.61399,
851.607,575.66707,
848.697,509.09709,
845.786,455.67669,
842.875,463.78346,
839.965,539.97012,
837.054,614.91341,
834.144,640.60473,
831.233,665.62355,
828.323,670.67928,
825.412,673.03015,
822.501,688.47606,
819.591,687.64966,
816.680,685.22115,
813.770,687.75751,
810.859,676.08778,
807.949,655.21522,
805.038,644.12279,
802.127,648.23843,
799.217,639.68031,
796.306,627.54385,
793.396,640.86949,
790.485,662.09598,
787.574,625.08487,
784.664,689.87374,
781.753,716.38665,
778.843,718.72418,
775.932,700.66226,
773.022,672.63938,
770.111,679.18001,
767.200,667.444,
764.290,664.78076,
761.379,668.77594,
758.469,680.5308,
755.558,706.57637,
752.648,704.94717,
749.737,698.7499,
746.826,675.57749,
743.916,661.00175,
741.005,685.74297,
738.095,713.34678,
735.184,704.46899,
732.274,657.02731,
729.363,611.90039,
726.452,601.98708,
723.542,620.60313,
720.631,650.67748,
717.721,676.23752,
714.810,699.6647,
711.899,718.00124,
708.989,719.61509,
706.078,718.02239,
703.168,678.76286,
700.257,679.20447,
697.347,716.27711,
694.436,718.95233,
691.525,731.00941,
688.615,737.39847,
685.704,734.44468,
682.794,730.90156,
679.883,741.30061,
676.973,734.08827,
674.062,733.90116,
671.151,726.73506,
668.241,712.81303,
665.330,701.19224,
662.420,713.17322,
659.509,726.41883,
656.598,722.67175,
653.688,723.42755,
650.777,769.48999,
647.867,765.50835,
644.956,755.9569,
642.046,717.87175,
639.135,663.24064,
636.224,631.85179,
633.314,677.10628,
630.403,715.82069,
627.493,741.53834,
624.582,740.08843,
621.672,683.85685,
618.761,719.62197,
615.850,732.72698,
612.940,746.94485,
610.029,767.3641,
607.119,735.77887,
604.208,730.49496,
601.297,741.09091,
598.387,743.7394,
595.476,722.81347,
592.566,735.40656,
589.655,753.82225,
586.745,760.02119,
583.834,754.42916,
580.923,746.74347,
578.013,766.36182,
575.102,741.22482,
572.192,733.27366,
569.281,762.57759,
566.371,779.0127,
563.460,778.5086,
560.549,782.01051,
557.639,798.97891,
554.728,831.54103,
551.818,814.37408,
548.907,791.12378,
545.996,777.84742,
543.086,775.45066,
540.175,770.00014,
537.265,789.90482,
534.354,807.65881,
531.444,826.2634,
528.533,845.92107,
525.622,807.89965,
522.712,790.5237,
519.801,766.67663,
516.891,738.25102,
513.980,741.3482,
511.070,774.02498,
508.159,774.25314,
505.248,759.87536,
502.338,760.625,
499.427,760.625,
496.517,780.42296,
493.606,794.95202,
490.695,790.95039,
487.785,771.70562,
484.874,773.14857,
481.964,757.76803,
479.053,732.44114,
476.143,731.67318,
473.232,748.17129,
470.321,754.13842,
467.411,750.83914,
464.500,743.40073,
461.590,774.03034,
458.679,794.18119,
455.769,790.07724,
452.858,762.4543,
449.947,780.02472,
447.037,776.95063,
444.126,781.12803,
441.216,796.55102,
438.305,801.88454,
435.395,817.70464,
432.484,826.4585,
429.573,815.02235,
426.663,761.05237,
423.752,633.87925,
420.842,464.17007,
417.931,312.4814,
415.020,266.22156,
412.110,536.78509,
409.199,709.97455,
406.289,789.33077,
403.378,797.39447,
400.468,729.35498,
397.557,698.37031,
394.646,708.47919,
391.736,761.12198,
388.825,807.88432,
385.915,824.28597,
