,PLDD2F~1,
Wavenumbers [1/cm],Intensity,
1477.382,335.02551,
1474.471,312.38839,
1471.560,279.75102,
1468.650,289.00666,
1465.739,274.81736,
1462.829,263.06863,
1459.918,304.75933,
1457.008,329.24412,
1454.097,314.40479,
1451.186,317.27152,
1448.276,312.31963,
1445.365,265.69412,
1442.455,237.60168,
1439.544,240.24014,
1436.633,257.64262,
1433.723,283.87802,
1430.812,276.21006,
1427.902,269.04759,
1424.991,318.33123,
1422.081,281.34096,
1419.170,243.31259,
1416.259,279.18822,
1413.349,273.77018,
1410.438,270.27456,
1407.528,268.94377,
1404.617,263.17797,
1401.707,237.08756,
1398.796,207.90649,
1395.885,213.58379,
1392.975,233.39573,
1390.064,242.11892,
1387.154,272.23937,
1384.243,258.5976,
1381.332,213.78439,
1378.422,172.97161,
1375.511,174.84517,
1372.601,235.69864,
1369.690,253.73334,
1366.780,232.90598,
1363.869,247.94283,
1360.958,245.97176,
1358.048,243.24825,
1355.137,283.24994,
1352.227,314.21485,
1349.316,304.82022,
1346.406,304.21918,
1343.495,314.39415,
1340.584,303.76744,
1337.674,330.6606,
1334.763,329.36899,
1331.853,342.35023,
1328.942,319.74893,
1326.032,364.181,
1323.121,345.97739,
1320.210,361.17999,
1317.300,369.74338,
1314.389,375.09738,
1311.479,388.11768,
1308.568,407.80588,
1305.657,414.01755,
1302.747,385.02831,
1299.836,440.75215,
1296.926,438.89223,
1294.015,417.74779,
1291.105,407.18904,
1288.194,425.84358,
1285.283,429.44299,
1282.373,428.875,
1279.462,438.20815,
1276.552,469.56801,
1273.641,470.68216,
1270.731,432.87351,
1267.820,444.66726,
1264.909,443.02876,
1261.999,435.5102,
1259.088,398.11324,
1256.178,460.96569,
1253.267,438.8856,
1250.356,428.19775,
1247.446,439.60954,
1244.535,440.44198,
1241.625,427.62687,
1238.714,418.00683,
1235.804,412.56433,
1232.893,412.9921,
1229.982,447.92442,
1227.072,419.85975,
1224.161,404.42694,
1221.251,418.99871,
1218.340,386.65409,
1215.430,398.35658,
1212.519,400.87875,
1209.608,367.97687,
1206.698,364.70488,
1203.787,376.80968,
1200.877,382.59937,
1197.966,394.28844,
1195.055,386.34251,
1192.145,425.44754,
1189.234,475.85616,
1186.324,473.50922,
1183.413,453.55013,
1180.503,468.40052,
1177.592,492.74351,
1174.681,463.97432,
1171.771,450.95742,
1168.860,454.52978,
1165.950,446.81211,
1163.039,453.25583,
1160.129,406.73732,
1157.218,432.92847,
1154.307,479.58169,
1151.397,447.39636,
1148.486,452.47156,
1145.576,471.83422,
1142.665,447.86057,
1139.754,486.55644,
1136.844,502.87803,
1133.933,494.14488,
1131.023,473.60051,
1128.112,462.01755,
1125.202,475.05371,
1122.291,501.49359,
1119.380,484.84902,
1116.470,482.20143,
1113.559,449.39854,
1110.649,447.73315,
1107.738,457.769,
1104.828,464.5394,
1101.917,456.22366,
1099.006,433.85431,
1096.096,446.90744,
1093.185,431.10339,
1090.275,470.33851,
1087.364,446.9411,
1084.453,425.68789,
1081.543,438.84206,
1078.632,468.76968,
1075.722,482.9347,
1072.811,478.06832,
1069.901,466.71593,
1066.990,450.5167,
1064.079,475.45658,
1061.169,481.14278,
1058.258,468.52272,
1055.348,462.81458,
1052.437,462.98749,
1049.527,428.1771,
1046.616,435.99656,
1043.705,446.12418,
1040.795,457.81406,
1037.884,456.30041,
1034.974,457.69587,
1032.063,469.20583,
1029.153,465.12135,
1026.242,475.50082,
1023.331,471.7086,
1020.421,469.4808,
1017.510,475.59831,
1014.600,482.56672,
1011.689,479.45867,
1008.778,463.38261,
1005.868,448.72828,
1002.957,432.38155,
1000.047,469.18702,
997.136,496.20884,
994.226,511.5672,
991.315,520.17946,
988.404,516.65961,
985.494,495.1627,
982.583,508.01104,
979.673,492.31548,
976.762,476.48137,
973.852,479.15722,
970.941,484.05824,
968.030,472.98491,
965.120,501.90722,
962.209,509.5801,
959.299,508.75025,
956.388,502.27536,
953.477,480.61185,
950.567,475.7432,
947.656,534.10321,
944.746,551.09433,
941.835,521.91191,
