,PLA0DA~1,
Wavenumbers [1/cm],Intensity,
1122.291,927.37669,
1119.380,931.81063,
1116.470,937.98833,
1113.559,974.31946,
1110.649,953.31741,
1107.738,934.60673,
1104.828,935.6627,
1101.917,932.05737,
1099.006,905.68835,
1096.096,868.77131,
1093.185,885.45336,
1090.275,919.93008,
1087.364,947.64756,
1084.453,913.44025,
1081.543,911.30191,
1078.632,949.24284,
1075.722,944.6903,
1072.811,949.30847,
1069.901,957.16782,
1066.990,965.02498,
1064.079,973.55514,
1061.169,980.61611,
1058.258,982.47954,
1055.348,986.04125,
1052.437,992.51844,
1049.527,961.11923,
1046.616,970.67635,
1043.705,969.4377,
1040.795,979.60458,
1037.884,1007.4967,
1034.974,1021.3015,
1032.063,1004.2194,
1029.153,989.54228,
1026.242,987.81236,
1023.331,1003.5823,
1020.421,1039.5138,
1017.510,1052.6294,
1014.600,1065.2838,
1011.689,1080.6142,
1008.778,1078.7611,
1005.868,1113.4488,
1002.957,1079.895,
1000.047,1139.542,
997.136,1171.9726,
994.226,1173.7347,
991.315,1166.9233,
988.404,1155.7784,
985.494,1119.5582,
982.583,1110.9926,
979.673,1153.6488,
976.762,1121.6076,
973.852,1108.5245,
970.941,1126.155,
968.030,1109.357,
965.120,1129.7715,
962.209,1134.8867,
959.299,1141.416,
956.388,1155.5092,
953.477,1162.2838,
950.567,1157.1815,
947.656,1151.1903,
944.746,1139.2965,
941.835,1173.572,
938.925,1158.0602,
936.014,1136.6451,
933.103,1128.1031,
930.193,1127.1519,
927.282,1121.0708,
924.372,1126.99,
921.461,1105.658,
918.551,1077.4173,
915.640,1064.4498,
912.729,1064.6031,
909.819,1058.194,
906.908,1053.9819,
903.998,1047.3871,
901.087,1038.1119,
898.176,1050.929,
895.266,1077.685,
892.355,1096.1635,
889.445,1103.7169,
886.534,1110.429,
883.624,1123.861,
880.713,1123.6257,
877.802,1114.6235,
874.892,1107.0954,
871.981,1099.4344,
869.071,1086.0677,
866.160,1090.6496,
863.250,1090.0806,
860.339,1093.9095,
857.428,1109.0457,
854.518,1118.0038,
851.607,1092.2096,
848.697,1083.6231,
845.786,1093.1673,
842.875,1117.0328,
839.965,1133.1284,
837.054,1093.9826,
834.144,1114.7014,
831.233,1131.4158,
828.323,1141.7066,
825.412,1126.7542,
822.501,1086.75,
819.591,1086.75,
816.680,1109.1859,
813.770,1086.5574,
810.859,1076.5186,
807.949,1080.6158,
805.038,1070.5465,
802.127,1077.1315,
799.217,1069.5507,
796.306,1038.3714,
793.396,1025.7043,
790.485,1043.5404,
787.574,1056.7847,
784.664,1031.3613,
781.753,1009.3044,
778.843,1037.0161,
775.932,1064.565,
773.022,1048.0899,
770.111,1088.9688,
767.200,1055.207,
764.290,1044.3279,
761.379,1043.1745,
758.469,1044.5168,
755.558,1057.8747,
752.648,1028.549,
749.737,1052.1255,
746.826,1072.8784,
743.916,1078.75,
741.005,1079.9422,
738.095,1090.4966,
735.184,1060.2874,
732.274,1010.4113,
729.363,972.04277,
726.452,973.12861,
723.542,1030.5955,
720.631,1015.4011,
717.721,1014.9056,
714.810,1021.7954,
711.899,1030.1361,
708.989,1044.6608,
706.078,1047.9552,
703.168,1055.4294,
700.257,1062.2254,
697.347,1058.5768,
694.436,1031.768,
691.525,995.59678,
688.615,1009.7619,
685.704,1024.4768,
682.794,1027.4521,
679.883,1029.4977,
676.973,1023.8881,
674.062,1027.2166,
671.151,1045.0916,
668.241,1051.8846,
665.330,1011.1282,
662.420,1019.1155,
659.509,1024.5596,
656.598,1045.791,
653.688,1069.3697,
650.777,1063.6159,
647.867,1030.1701,
644.956,1019.6542,
642.046,1019.4084,
639.135,1025.7326,
636.224,1040.7341,
633.314,1037.5583,
630.403,1049.1654,
627.493,1059.2863,
624.582,1056.806,
621.672,1034.6302,
618.761,1022.3509,
615.850,1024.2599,
612.940,1046.8513,
610.029,1076.7521,
607.119,1046.7462,
604.208,1082.8007,
601.297,1053.3849,
598.387,1022.9415,
595.476,1059.413,
592.566,1045.2457,
589.655,1036.2711,
586.745,1031.8821,
583.834,1042.1684,
580.923,1082.7263,
578.013,1078.8026,
575.102,1065.1311,
572.192,1072.8997,
569.281,1100.6568,
566.371,1083.4391,
563.460,1110.6742,
560.549,1083.2804,
557.639,1054.3725,
554.728,1088.4544,
551.818,1083.7725,
548.907,1080.3123,
545.996,1083.8043,
543.086,1090.2401,
540.175,1083.2323,
537.265,1072.6101,
534.354,1080.7906,
531.444,1090.7994,
528.533,1087.1847,
525.622,1107.3594,
522.712,1091.1204,
519.801,1097.6078,
516.891,1130.689,
513.980,1135.3348,
511.070,1143.4978,
508.159,1155.8238,
505.248,1164.9989,
502.338,1163.6763,
499.427,1195.3214,
496.517,1194.1338,
493.606,1201.8921,
490.695,1227.6846,
487.785,1198.4325,
484.874,1189.2264,
481.964,1196.7167,
479.053,1207.9921,
476.143,1196.4727,
473.232,1202.2246,
470.321,1207.6695,
467.411,1205.4315,
464.500,1190.1573,
461.590,1206.2378,
458.679,1232.2115,
455.769,1233.9968,
452.858,1199.5114,
449.947,1197.2196,
447.037,1204.0311,
444.126,1212.0773,
441.216,1223.9676,
438.305,1259.7783,
435.395,1268.6838,
432.484,1266.9992,
429.573,1256.9574,
426.663,1236.4336,
423.752,1213.8274,
420.842,1226.2142,
417.931,1253.4738,
415.020,1259.5406,
412.110,1282.43,
409.199,1287.327,
406.289,1286.7018,
403.378,1295.9959,
400.468,1368.5714,
397.557,1350.1039,
394.646,1324.756,
391.736,1362.1705,
388.825,1344.069,
385.915,1320.6554,
383.004,1328.1646,
380.094,1385.176,
377.183,1354.3245,
374.272,1349.0067,
371.362,1344.6861,
368.451,1329.756,
365.541,1362.7796,
362.630,1361.9177,
359.719,1375.3556,
356.809,1424.4392,
353.898,1386.2505,
350.988,1399.0769,
348.077,1404.8104,
345.167,1371.8474,
342.256,1393.5124,
339.345,1380.087,
336.435,1377.4624,
333.524,1415.5151,
330.614,1408.0636,
327.703,1406.7768,
324.793,1404.3987,
321.882,1394.7752,
318.971,1405.1834,
316.061,1418.028,
313.150,1435.8333,
310.240,1461.8074,
307.329,1457.0329,
304.418,1460.2214,
301.508,1468.3254,
298.597,1474.2487,
295.687,1484.9086,
292.776,1490.1667,
289.866,1496.0435,
286.955,1521.1601,
284.044,1522.8525,
281.134,1547.6702,
278.223,1591.3189,
275.313,1588.3715,
272.402,1586.0073,
269.492,1592.0376,
266.581,1610.7454,
263.670,1652.6507,
260.760,1672.0634,
257.849,1675.9271,
254.939,1667.8544,
252.028,1669.1977,
249.117,1667.009,
246.207,1671.5158,
243.296,1701.5294,
240.386,1657.7346,
237.475,1657.338,
234.565,1695.8297,
231.654,1689.9867,
228.743,1621.4319,
225.833,1588.8242,
222.922,1628.3276,
220.012,1640.713,
217.101,1610.8906,
214.191,1578.5913,
211.280,1588.0483,
208.369,1640.5566,
205.459,1642.9927,
202.548,1605.867,
199.638,1589.1771,
196.727,1619.1705,
193.816,1635.0203,
190.906,1616.5784,
187.995,1668.7082,
185.085,1651.2858,
182.174,1622.7195,
179.264,1663.1944,
176.353,1685.6918,
173.442,1699.3756,
170.532,1702.8938,
167.621,1678.3806,
164.711,1648.625,
161.800,1606.6142,
158.890,1544.7177,
155.979,1431.5114,
153.068,1304.8719,
150.158,1171.7406,
147.247,1048.2529,
144.337,840.07487,
141.426,637.10594,
138.516,481.54054,
135.605,357.27596,
132.694,244.44917,
129.784,151.38782,
126.873,108.48003,
123.963,75.849054,
121.052,52.084216,
118.141,37.806176,
115.231,27.802015,
112.320,22.479092,
109.410,19.795513,
106.499,14.810427,
103.589,15.991018,
100.678,17.75,
97.767,17.75,
94.857,17.057011,
91.946,14.734446,
89.036,11.072613,
86.125,6.8173809,
83.215,4.1572389,
80.304,3.9471634,
77.393,7.4880131,
74.483,13.646215,
71.572,12.401775,
68.662,5.165605,
65.751,9.4043115,
62.840,10.75,
59.930,9.6262828,
57.019,5.3957909,
54.109,4.75,
51.198,6.5596557,
48.288,10.75,
45.377,10.75,
42.466,12.398877,
39.556,14.059289,
36.645,9.8461472,
33.735,9.2692485,
30.824,9.3082261,
27.914,7.9058756,
25.003,10.24055,
22.092,13.687427,
19.182,18.825495,
16.271,51.701531,
13.361,208.46717,
10.450,496.97403,
7.539,1026.9954,
4.629,1443.5655,
1.718,1556.5748,
-1.192,1073.4536,
-4.103,617.3725,
-7.013,252.6939,
-9.924,0.75,
