,PLC42E~1,
Wavenumbers [1/cm],Intensity,
327.703,1949.2859,
324.793,1938.1108,
321.882,1889.3125,
318.971,1966.6305,
316.061,1987.7535,
313.150,1987.6678,
310.240,2005.4786,
307.329,1997.5494,
304.418,1976.7988,
301.508,1969.3189,
298.597,2018.9268,
295.687,2017.0298,
292.776,2007.875,
289.866,2015.0054,
286.955,2090.3554,
284.044,2084.68,
281.134,2098.0828,
278.223,2145.3163,
275.313,2201.3173,
272.402,2145.1593,
269.492,2095.4913,
266.581,2099.4326,
263.670,2173.6858,
260.760,2195.6474,
257.849,2201.7708,
254.939,2217.9162,
252.028,2249.9742,
249.117,2250.2475,
246.207,2249.0049,
243.296,2298.7834,
240.386,2272.1284,
237.475,2255.8934,
234.565,2262.4166,
231.654,2296.0142,
228.743,2297.9467,
225.833,2290.4662,
222.922,2282.6006,
220.012,2292.8004,
217.101,2276.4964,
214.191,2258.5292,
211.280,2266.5313,
208.369,2291.3463,
205.459,2304.722,
202.548,2298.3506,
199.638,2247.5552,
196.727,2308.5758,
193.816,2356.3086,
190.906,2345.7345,
187.995,2363.1111,
185.085,2388.0392,
182.174,2405.0114,
179.264,2389.8334,
176.353,2393.892,
173.442,2406.9141,
170.532,2420.5967,
167.621,2390.3157,
164.711,2306.9688,
161.800,2211.8451,
158.890,2131.9554,
155.979,2011.724,
153.068,1866.1027,
150.158,1693.9694,
147.247,1481.4555,
144.337,1210.5116,
141.426,938.29919,
138.516,690.97172,
135.605,513.97117,
132.694,352.27618,
129.784,217.02424,
126.873,149.80204,
123.963,108.80963,
121.052,76.510142,
118.141,47.24016,
115.231,40.729867,
112.320,37.277728,
109.410,34.488737,
106.499,25.942874,
103.589,18.522455,
100.678,15.483109,
97.767,19.037796,
94.857,20.510978,
91.946,17.900113,
89.036,12.56051,
86.125,9.0144841,
83.215,6.0013186,
80.304,5.0827307,
77.393,7.9154105,
74.483,11.400675,
71.572,12.037944,
68.662,10.125,
65.751,10.125,
62.840,9.161596,
59.930,7.0012828,
57.019,2.7707909,
54.109,4.5136434,
51.198,7.9346557,
48.288,12.10235,
45.377,9.288838,
42.466,9.7738774,
39.556,11.664526,
36.645,8.8557648,
33.735,7.6057515,
30.824,5.7996782,
27.914,1.5926267,
25.003,4.8608249,
22.092,10.67695,
19.182,18.719954,
16.271,36.906698,
13.361,127.57368,
10.450,285.5135,
7.539,537.60535,
4.629,780.22447,
1.718,834.08486,
-1.192,468.78112,
-4.103,241.64716,
-7.013,88.338293,
-9.924,4.125,
