,PLEB4C~1,
Raman shift [1/cm],Intensity,
851.607,5412.5912,
848.697,5447.6472,
845.786,5439.4,
842.875,5425.1324,
839.965,5442.9561,
837.054,5409.114,
834.144,5463.8117,
831.233,5409.1714,
828.323,5374.0271,
825.412,5351.5383,
822.501,5299.9679,
819.591,5247.0783,
816.680,5173.3845,
813.770,5094.1027,
810.859,5045.7677,
807.949,5022.4048,
805.038,4997.5044,
802.127,4989.2731,
799.217,4928.8687,
796.306,4906.7973,
793.396,4897.3243,
790.485,4875.6556,
787.574,4843.3407,
784.664,4865.4837,
781.753,4895.6684,
778.843,4873.2141,
775.932,4858.1046,
773.022,4907.134,
770.111,4911.2219,
767.200,4987.6312,
764.290,4982.0282,
761.379,4937.2618,
758.469,4898.361,
755.558,4886.2326,
752.648,4877.2719,
749.737,4863.7498,
746.826,4781.9722,
743.916,4697.7338,
741.005,4690.5696,
738.095,4576.095,
735.184,4373.7242,
732.274,4302.7072,
729.363,4399.9721,
726.452,4609.9349,
723.542,4750.7693,
720.631,4793.6688,
717.721,4807.3642,
714.810,4806.0739,
711.899,4804.6386,
708.989,4822.391,
706.078,4781.6336,
703.168,4751.4617,
700.257,4722.4097,
697.347,4700.3695,
694.436,4703.2818,
691.525,4695.2437,
688.615,4680.9218,
685.704,4661.8443,
682.794,4641.8192,
679.883,4627.6173,
676.973,4652.4598,
674.062,4637.7195,
671.151,4633.9516,
668.241,4650.6474,
665.330,4674.2941,
662.420,4691.0675,
659.509,4660.8487,
656.598,4654.9152,
653.688,4689.9832,
650.777,4747.6899,
647.867,4723.8001,
644.956,4667.7297,
642.046,4667.1803,
639.135,4703.7925,
636.224,4678.691,
633.314,4716.8,
630.403,4735.3682,
627.493,4757.6311,
624.582,4797.4491,
621.672,4860.0167,
618.761,4866.2997,
615.850,4896.7024,
612.940,4920.8415,
610.029,4929.6544,
607.119,4978.6115,
604.208,4990.6001,
601.297,4982.5326,
598.387,4963.4743,
595.476,4946.5454,
592.566,4978.8152,
589.655,4981.9084,
586.745,4961.8394,
583.834,4934.4258,
580.923,4923.6137,
578.013,4942.4473,
575.102,4938.8962,
572.192,4946.4341,
569.281,4969.8128,
566.371,4960.4213,
563.460,4965.1437,
560.549,4996.7367,
557.639,5025.3515,
554.728,5024.7228,
551.818,5107.4363,
548.907,5092.5917,
545.996,5088.6067,
543.086,5129.9276,
540.175,5196.8911,
537.265,5215.2613,
534.354,5233.544,
531.444,5262.6622,
528.533,5308.749,
525.622,5368.497,
522.712,5411.2309,
519.801,5466.0149,
516.891,5544.1587,
513.980,5646.3657,
511.070,5684.3782,
508.159,5768.6125,
505.248,5867.2786,
502.338,5929.8662,
499.427,6044.8692,
496.517,6113.9646,
493.606,6171.4288,
490.695,6234.3099,
487.785,6290.5046,
484.874,6296.2689,
481.964,6282.8722,
479.053,6263.1906,
476.143,6249.3672,
473.232,6228.3567,
470.321,6177.1947,
467.411,6159.3586,
464.500,6242.5085,
461.590,6282.3269,
458.679,6231.3167,
455.769,6199.0888,
452.858,6248.3284,
449.947,6333.1248,
447.037,6349.2865,
444.126,6355.5242,
441.216,6374.5113,
438.305,6414.8937,
435.395,6463.1164,
432.484,6472.9974,
429.573,6463.6651,
426.663,6498.6316,
423.752,6538.4632,
420.842,6567.2872,
417.931,6605.1242,
415.020,6684.7518,
412.110,6734.3232,
409.199,6764.7029,
406.289,6796.4565,
403.378,6851.3617,
400.468,6810.538,
397.557,6766.651,
394.646,6749.8899,
391.736,6782.9447,
388.825,6765.5973,
385.915,6738.6801,
383.004,6747.1977,
380.094,6817.6901,
377.183,6841.0168,
374.272,6934.3449,
371.362,7016.3298,
368.451,7039.0501,
365.541,7064.5683,
362.630,7073.685,
359.719,7107.4645,
356.809,7188.2121,
353.898,7266.0872,
350.988,7263.6306,
348.077,7245.5329,
345.167,7252.0515,
342.256,7282.6813,
339.345,7322.3231,
336.435,7347.8344,
333.524,7343.4295,
330.614,7341.1941,
327.703,7393.8941,
324.793,7467.1856,
321.882,7532.4459,
318.971,7510.1426,
316.061,7523.0092,
313.150,7555.3547,
310.240,7590.2342,
307.329,7680.115,
304.418,7678.5678,
301.508,7633.9092,
298.597,7631.688,
295.687,7648.431,
292.776,7708.1669,
289.866,7830.1653,
286.955,8065.8187,
284.044,8213.9824,
281.134,8355.6684,
278.223,8509.4752,
275.313,8687.0573,
272.402,8881.3439,
269.492,9013.1943,
266.581,9066.3749,
263.670,9246.4941,
260.760,9381.5589,
257.849,9475.9772,
254.939,9528.8167,
252.028,9633.0098,
249.117,9700.8233,
246.207,9752.6834,
243.296,9822.959,
240.386,9857.2727,
237.475,9861.127,
234.565,9836.2175,
231.654,9783.6299,
228.743,9788.0349,
225.833,9790.658,
222.922,9770.7038,
220.012,9775.0752,
217.101,9743.1313,
214.191,9687.0811,
211.280,9615.7897,
208.369,9650.8688,
205.459,9678.8843,
202.548,9695.1351,
199.638,9716.1789,
196.727,9782.1551,
193.816,9863.9237,
190.906,9949.1857,
187.995,9968.7343,
185.085,10005.29,
182.174,10011.076,
179.264,9909.8891,
176.353,9910.6748,
173.442,9960.2818,
170.532,10030.208,
167.621,9984.7861,
164.711,9799.0627,
161.800,9513.7194,
158.890,9136.5821,
155.979,8546.0809,
153.068,7815.1234,
150.158,6960.5781,
147.247,5997.0862,
