,PLD703~1,
Raman shift [1/cm],Intensity,
1567.610,1280.6125,
1564.699,1297.2259,
1561.788,1295.1867,
1558.878,1248.4187,
1555.967,1208.2694,
1553.057,1152.4574,
1550.146,1150.1027,
1547.235,1125.7885,
1544.325,1096.4879,
1541.414,1077.4682,
1538.504,1084.3297,
1535.593,1093.0641,
1532.683,1064.2118,
1529.772,1044.3188,
1526.861,1045.3593,
1523.951,1051.1045,
1521.040,1067.3697,
1518.130,1063.1346,
1515.219,1039.5477,
1512.309,1096.4526,
1509.398,1036.4837,
1506.487,1057.6874,
1503.577,1017.8145,
1500.666,975.21967,
1497.756,1005.2673,
1494.845,1034.9095,
1491.934,1014.7091,
1489.024,1002.1966,
1486.113,959.09809,
1483.203,1009.9282,
1480.292,982.80954,
1477.382,967.05102,
1474.471,924.07891,
1471.560,880.54636,
1468.650,914.52934,
1465.739,918.45677,
1462.829,924.26725,
1459.918,913.20285,
1457.008,937.3813,
1454.097,965.27173,
1451.186,921.63975,
1448.276,882.22588,
1445.365,883.14258,
1442.455,846.67833,
1439.544,772.43489,
1436.633,813.28327,
1433.723,785.11783,
1430.812,797.90811,
1427.902,750.22354,
1424.991,770.12656,
1422.081,712.03147,
1419.170,686.01255,
1416.259,681.93994,
1413.349,672.68711,
1410.438,664.85154,
1407.528,671.11864,
1404.617,682.20841,
1401.707,701.05839,
1398.796,690.14866,
1395.885,699.30148,
1392.975,732.39511,
1390.064,667.49306,
1387.154,580.97384,
1384.243,541.50542,
1381.332,464.5046,
1378.422,516.83643,
1375.511,634.87083,
1372.601,708.63249,
1369.690,783.3278,
1366.780,789.20575,
1363.869,782.66466,
1360.958,846.11141,
1358.048,856.61084,
1355.137,889.63862,
1352.227,926.88721,
1349.316,935.08082,
1346.406,970.32936,
1343.495,989.50435,
1340.584,985.57144,
1337.674,990.11004,
1334.763,1035.1381,
1331.853,1045.3377,
1328.942,1067.0971,
1326.032,1095.8499,
1323.121,1100.2681,
1320.210,1139.0393,
1317.300,1194.7542,
1314.389,1207.4164,
1311.479,1181.7695,
1308.568,1217.9879,
1305.657,1316.4357,
1302.747,1333.6902,
1299.836,1393.2267,
1296.926,1454.8182,
1294.015,1477.8013,
1291.105,1479.6305,
1288.194,1580.3916,
1285.283,1615.774,
1282.373,1623.5469,
1279.462,1637.2792,
1276.552,1647.6791,
1273.641,1662.0362,
1270.731,1691.3948,
1267.820,1700.8172,
1264.909,1668.2007,
1261.999,1679.5156,
1259.088,1700.4944,
1256.178,1661.4965,
1253.267,1613.3214,
1250.356,1562.8238,
1247.446,1523.6278,
1244.535,1511.2277,
1241.625,1483.0686,
1238.714,1436.8159,
1235.804,1420.7695,
1232.893,1370.5004,
1229.982,1367.2168,
1227.072,1321.9512,
1224.161,1277.5653,
1221.251,1264.5384,
1218.340,1212.8685,
1215.430,1202.2661,
1212.519,1202.62,
1209.608,1189.2306,
1206.698,1189.6648,
1203.787,1185.3832,
1200.877,1228.756,
1197.966,1261.1257,
1195.055,1278.1085,
1192.145,1346.8682,
1189.234,1392.7553,
1186.324,1432.4798,
1183.413,1456.9581,
1180.503,1453.3421,
1177.592,1441.2147,
1174.681,1438.5685,
1171.771,1409.6264,
1168.860,1404.2678,
1165.950,1377.1424,
1163.039,1336.5283,
1160.129,1356.5515,
1157.218,1403.8253,
1154.307,1414.28,
1151.397,1394.1815,
1148.486,1412.8941,
1145.576,1446.7092,
1142.665,1422.7356,
1139.754,1406.9183,
1136.844,1383.4412,
1133.933,1392.3452,
1131.023,1382.0894,
1128.112,1352.4649,
1125.202,1346.9239,
1122.291,1351.8699,
1119.380,1339.1311,
1116.470,1377.9623,
1113.559,1378.1105,
1110.649,1362.3434,
1107.738,1327.4233,
1104.828,1322.0584,
1101.917,1335.6193,
1099.006,1310.6056,
1096.096,1327.0836,
1093.185,1299.8656,
1090.275,1342.2599,
1087.364,1339.7137,
1084.453,1321.3758,
1081.543,1344.6166,
1078.632,1385.183,
1075.722,1378.741,
1072.811,1364.9433,
1069.901,1353.5909,
1066.990,1351.9417,
1064.079,1376.929,
1061.169,1392.0638,
1058.258,1392.6326,
