,PLB6EA~1,
Raman shift [1/cm],Intensity,
403.378,5886.0102,
400.468,5889.0342,
397.557,5849.8963,
394.646,5786.6815,
391.736,5716.8169,
388.825,5679.8596,
385.915,5662.6137,
383.004,5667.2796,
380.094,5699.2958,
377.183,5822.7019,
374.272,5912.3636,
371.362,5994.6136,
368.451,6082.1884,
365.541,6118.2141,
362.630,6146.0259,
359.719,6168.1032,
356.809,6185.9062,
353.898,6200.8821,
350.988,6191.9803,
348.077,6187.389,
345.167,6207.3139,
342.256,6292.4797,
339.345,6297.337,
336.435,6307.2041,
333.524,6378.9395,
330.614,6408.7457,
327.703,6465.2333,
324.793,6511.5467,
321.882,6516.1064,
318.971,6559.9695,
316.061,6592.5793,
313.150,6632.9404,
310.240,6703.4414,
307.329,6695.9951,
304.418,6748.9942,
301.508,6802.8215,
298.597,6749.5115,
295.687,6793.0841,
292.776,6873.917,
289.866,7015.5636,
286.955,7302.9278,
284.044,7562.8448,
281.134,7788.8669,
278.223,7994.4,
275.313,8250.0887,
272.402,8498.0217,
269.492,8689.0133,
266.581,8807.4607,
263.670,8925.8247,
260.760,9159.028,
257.849,9357.6808,
254.939,9405.3831,
252.028,9576.1035,
249.117,9615.8745,
246.207,9592.2506,
243.296,9616.4078,
240.386,9653.6086,
237.475,9653.1748,
234.565,9592.4009,
231.654,9398.1189,
228.743,9382.8916,
225.833,9334.313,
222.922,9175.9911,
220.012,9090.0216,
217.101,8985.4483,
214.191,8912.3383,
211.280,8933.4347,
208.369,8875.7924,
205.459,8845.403,
202.548,8836.3565,
199.638,8797.8971,
196.727,8803.8292,
193.816,8846.2094,
190.906,8922.5491,
187.995,8966.7146,
185.085,8977.2714,
182.174,8968.0823,
179.264,8953.627,
176.353,9043.6314,
173.442,9043.5168,
170.532,8948.9677,
167.621,8914.3608,
164.711,8766.2501,
161.800,8513.4482,
158.890,8139.9096,
155.979,7688.5774,
153.068,7034.5388,
150.158,6219.2325,
147.247,5374.2026,
144.337,4431.514,
141.426,3480.6328,
138.516,2561.5782,
135.605,1848.7211,
132.694,1265.7199,
129.784,812.6458,
126.873,533.74516,
123.963,368.87667,
121.052,262.63713,
118.141,201.24156,
115.231,152.68122,
112.320,124.10365,
109.410,108.45476,
106.499,89.938727,
103.589,79.837201,
100.678,72.283783,
97.767,65.174407,
94.857,59.456088,
91.946,50.147115,
89.036,41.241877,
86.125,49.043135,
83.215,44.628956,
80.304,40.197163,
77.393,43.738013,
74.483,37.44865,
71.572,34,
68.662,33.307325,
65.751,26.242814,
62.840,28.81702,
59.930,31.939852,
57.019,24.18395,
54.109,23,
51.198,21.190344,
48.288,17.067949,
45.377,25.508486,
42.466,28.175561,
39.556,26.19417,
36.645,21.278838,
33.735,18.442255,
30.824,18.987983,
27.914,25.29856,
25.003,22.264175,
22.092,17.739668,
19.182,13.411892,
16.271,26.002714,
13.361,100.54057,
10.450,220.6389,
7.539,363.79355,
4.629,285.85953,
1.718,67.456579,
-1.192,-292.96715,
-4.103,-260.00297,
-7.013,-145.1553,
-9.924,1,
