,PL1EBD~1,
Raman shift [1/cm],Intensity,
1430.812,2327.2835,
1427.902,2297.8088,
1424.991,2226.7266,
1422.081,2169.4514,
1419.170,2219.7999,
1416.259,2191.2371,
1413.349,2166.6399,
1410.438,2139.1071,
1407.528,2146.881,
1404.617,2161.197,
1401.707,2157.0808,
1398.796,2136.8112,
1395.885,2149.1971,
1392.975,2185.6665,
1390.064,2176.3797,
1387.154,2156.9199,
1384.243,2119.292,
1381.332,2092.488,
1378.422,2121.7652,
1375.511,2223.8744,
1372.601,2317.657,
1369.690,2424.9378,
1366.780,2522.2876,
1363.869,2568.9267,
1360.958,2616.1323,
1358.048,2634.9067,
1355.137,2689.6968,
1352.227,2731.7222,
1349.316,2741.5526,
1346.406,2802.7926,
1343.495,2883.9495,
1340.584,2926.9643,
1337.674,2932.0041,
1334.763,2996.8288,
1331.853,3058.0261,
1328.942,3126.3203,
1326.032,3148.3656,
1323.121,3170.0241,
1320.210,3217.1212,
1317.300,3278.226,
1314.389,3330.1394,
1311.479,3349.8787,
1308.568,3380.264,
1305.657,3463.8195,
1302.747,3535.6314,
1299.836,3599.9621,
1296.926,3719.2946,
1294.015,3757.9062,
1291.105,3841.3904,
1288.194,3955.5379,
1285.283,3997.2521,
1282.373,4080.07,
1279.462,4154.1465,
1276.552,4165.0275,
1273.641,4173.7948,
1270.731,4202.9149,
1267.820,4186.4328,
1264.909,4212.0376,
1261.999,4150.1671,
1259.088,4141.0459,
1256.178,4065.9883,
1253.267,4084.1878,
1250.356,3981.7531,
1247.446,3880.9751,
1244.535,3808.8483,
1241.625,3745.6815,
1238.714,3654.7662,
1235.804,3539.364,
1232.893,3559.5123,
1229.982,3500.5256,
1227.072,3412.7103,
1224.161,3356.0698,
1221.251,3295.1289,
1218.340,3217.9013,
1215.430,3183.2979,
1212.519,3140.2989,
1209.608,3080.9319,
1206.698,3064.7766,
1203.787,3076.6005,
1200.877,3123.5647,
1197.966,3173.0184,
1195.055,3223.2819,
1192.145,3323.1639,
1189.234,3379.4517,
1186.324,3440.9591,
1183.413,3524.2209,
1180.503,3551.5078,
1177.592,3499.2879,
1174.681,3500.137,
1171.771,3440.048,
1168.860,3333.7703,
1165.950,3335.5943,
1163.039,3250.5012,
1160.129,3214.2696,
1157.218,3177.5219,
1154.307,3127.2244,
1151.397,3105.7651,
1148.486,3086.5029,
1145.576,3069.5385,
1142.665,3070.4265,
1139.754,3072.1273,
1136.844,3043.0873,
1133.933,3007.6263,
1131.023,3000.9419,
1128.112,2998.2876,
1125.202,2974.2585,
1122.291,2975.8814,
1119.380,2992.7512,
1116.470,3018.3445,
1113.559,3052.43,
1110.649,3041.8546,
1107.738,3026.1418,
1104.828,3017.339,
1101.917,3015.6422,
1099.006,3030.7576,
1096.096,3054.9087,
1093.185,3045.2507,
1090.275,3078.4893,
1087.364,3053.5661,
1084.453,3023.3135,
1081.543,3036.4786,
1078.632,3059.4116,
1075.722,3039.8761,
1072.811,3041.1897,
