,PL469F~1,
Raman shift [1/cm],Intensity,
732.274,3866.2196,
729.363,3976.6847,
726.452,4234.5805,
723.542,4423.9786,
720.631,4484.8346,
717.721,4547.9212,
714.810,4600.5056,
711.899,4623.4839,
708.989,4602.5038,
706.078,4548.6877,
703.168,4518.3728,
700.257,4484.6835,
697.347,4454.7661,
694.436,4463.1568,
691.525,4455.1187,
688.615,4442.0546,
685.704,4444.0089,
682.794,4459.5877,
679.883,4473.9157,
676.973,4485.9362,
674.062,4481.3561,
671.151,4462.4718,
668.241,4452.4284,
665.330,4481.2616,
662.420,4478.8654,
659.509,4459.3271,
656.598,4473.9072,
653.688,4495.4128,
650.777,4457.2382,
647.867,4512.1848,
644.956,4463.6983,
642.046,4423.8874,
639.135,4440.7071,
636.224,4517.3193,
633.314,4506.2042,
630.403,4524.6586,
627.493,4551.2813,
624.582,4566.3139,
621.672,4548.098,
618.761,4602.8506,
615.850,4662.8011,
612.940,4696.0089,
610.029,4694.5587,
607.119,4701.6654,
604.208,4729.3555,
601.297,4762.8083,
598.387,4766.7439,
595.476,4722.5291,
592.566,4745.3541,
589.655,4751.3187,
586.745,4702.9026,
583.834,4629.1525,
580.923,4596.5266,
578.013,4621.6381,
575.102,4685.7338,
572.192,4691.2174,
569.281,4637.5914,
566.371,4711.158,
563.460,4688.7453,
560.549,4719.7428,
557.639,4775.5804,
554.728,4807.6123,
551.818,4874.7195,
548.907,4843.669,
545.996,4829.149,
543.086,4858.9177,
540.175,4889.2849,
537.265,4931.9346,
534.354,4938.3446,
531.444,4943.0292,
528.533,4985.052,
525.622,5078.9417,
522.712,5108.4763,
519.801,5157.1456,
516.891,5223.7144,
513.980,5210.5514,
511.070,5298.1228,
508.159,5417.0389,
505.248,5517.8917,
502.338,5553.5724,
499.427,5594.4795,
496.517,5732.6476,
493.606,5830.375,
490.695,5833.0496,
487.785,5852.2944,
484.874,5831.4647,
481.964,5825.85,
479.053,5836.1911,
476.143,5835.4232,
473.232,5797.2466,
470.321,5765.8314,
467.411,5731.9131,
464.500,5684.5968,
461.590,5732.8384,
458.679,5765.6353,
455.769,5804.0596,
452.858,5848.0462,
449.947,5796.8628,
447.037,5847.0511,
444.126,5862.3447,
441.216,5838.4402,
438.305,5936.7294,
435.395,5924.8052,
432.484,5911.7918,
429.573,5927.2852,
426.663,5991.137,
423.752,5974.0576,
420.842,5952.9579,
417.931,5961.3528,
415.020,6038.7053,
412.110,6086.735,
409.199,6137.1158,
406.289,6188.6096,
403.378,6238.2546,
400.468,6202.7229,
397.557,6232.507,
394.646,6244.1711,
391.736,6169.3126,
388.825,6136.1264,
385.915,6124.7784,
383.004,6155.3559,
380.094,6239.2907,
377.183,6316.0433,
374.272,6417.7065,
371.362,6506.5666,
368.451,6559.1075,
365.541,6587.6278,
362.630,6613.4009,
359.719,6657.3798,
356.809,6727.5077,
353.898,6746.2277,
350.988,6762.7672,
348.077,6748.8519,
345.167,6694.7429,
342.256,6761.232,
339.345,6785.1579,
336.435,6801.5891,
333.524,6832.4355,
330.614,6802.6293,
327.703,6835.4742,
324.793,6882.3354,
321.882,6902.4561,
318.971,6935.911,
316.061,7002.0662,
313.150,7070.2297,
310.240,7105.1092,
307.329,7177.1241,
304.418,7209.0226,
301.508,7191.5165,
298.597,7109.3302,
295.687,7241.2093,
292.776,7362.3753,
