,PLD19A~1,
Wavenumbers [1/cm],Intensity,
1229.982,3063.4219,
1227.072,2990.9969,
1224.161,2922.8372,
1221.251,2883.3282,
1218.340,2823.9935,
1215.430,2768.2472,
1212.519,2748.9498,
1209.608,2732.2581,
1206.698,2696.9602,
1203.787,2710.7444,
1200.877,2723.3267,
1197.966,2762.8897,
1195.055,2837.4011,
1192.145,2909.2311,
1189.234,2989.8615,
1186.324,3053.4234,
1183.413,3065.6263,
1180.503,3056.9691,
1177.592,3060.3293,
1174.681,3009.1182,
1171.771,2942.3077,
1168.860,2961.0626,
1165.950,2870.1517,
1163.039,2861.1447,
1160.129,2859.7967,
1157.218,2849.5869,
1154.307,2827.5499,
1151.397,2811.6056,
1148.486,2842.0277,
1145.576,2824.3331,
1142.665,2788.8166,
1139.754,2816.7929,
1136.844,2797.2635,
1133.933,2786.4615,
1131.023,2781.6819,
1128.112,2791.2299,
1125.202,2815.4934,
1122.291,2801.6162,
1119.380,2779.4293,
1116.470,2835.9111,
1113.559,2903.1884,
1110.649,2900.5748,
1107.738,2881.8377,
1104.828,2866.553,
1101.917,2837.7145,
1099.006,2797.2255,
1096.096,2797.4774,
1093.185,2774.6493,
1090.275,2755.8803,
1087.364,2799.9036,
1084.453,2815.1254,
1081.543,2830.9096,
1078.632,2858.5018,
1075.722,2867.5855,
1072.811,2899.9442,
1069.901,2886.8453,
1066.990,2933.5666,
1064.079,2961.8878,
1061.169,2967.6658,
1058.258,2973.0743,
1055.348,2975.82,
1052.437,2967.0744,
1049.527,3006.9281,
1046.616,2956.536,
1043.705,3012.5362,
1040.795,2979.1561,
1037.884,2949.875,
1034.974,2957.3235,
1032.063,2962.006,
1029.153,2946.3265,
1026.242,3025.0375,
1023.331,3042.0408,
1020.421,3065.788,
1017.510,3124.7395,
1014.600,3181.6381,
1011.689,3213.5719,
1008.778,3241.5251,
1005.868,3292.2457,
1002.957,3333.5427,
1000.047,3452.715,
997.136,3533.6385,
994.226,3538.1215,
991.315,3510.1795,
988.404,3496.2833,
985.494,3421.0668,
982.583,3429.6324,
979.673,3455.0193,
976.762,3450.3717,
973.852,3429.8247,
970.941,3411.4293,
968.030,3407.9387,
965.120,3448.0039,
962.209,3478.6954,
959.299,3487.4162,
956.388,3484.9553,
953.477,3495.4389,
950.567,3513.8293,
947.656,3512.769,
944.746,3527.2114,
941.835,3516.5376,
938.925,3512.5589,
936.014,3502.2643,
933.103,3461.0965,
930.193,3405.8714,
927.282,3416.0877,
924.372,3383.109,
921.461,3317.7538,
918.551,3244.7529,
915.640,3205.3253,
912.729,3195.9712,
909.819,3179.7638,
906.908,3178.9214,
903.998,3152.628,
901.087,3133.7814,
898.176,3137.8505,
895.266,3169.2363,
892.355,3219.6703,
889.445,3266.6693,
886.534,3276.8935,
883.624,3309.8253,
880.713,3326.4061,
877.802,3327.875,
874.892,3322.1758,
871.981,3296.6974,
869.071,3289.1787,
866.160,3278.2156,
863.250,3286.9801,
860.339,3304.6026,
857.428,3312.5793,
854.518,3301.5751,
851.607,3256.6434,
848.697,3283.9537,
845.786,3277.5595,
842.875,3292.1794,
839.965,3361.647,
837.054,3378.2145,
834.144,3319.373,
831.233,3375.2035,
828.323,3389.5867,
825.412,3353.4549,
822.501,3320.3644,
819.591,3328.6284,
816.680,3324.0673,
813.770,3293.4294,
810.859,3234.8121,
807.949,3185.1506,
805.038,3180.5984,
802.127,3136.9727,
799.217,3116.4764,
796.306,3080.7937,
793.396,3066.44,
790.485,3073.5576,
787.574,3050.1552,
784.664,3057.5362,
781.753,3066.9268,
778.843,3078.2262,
775.932,3088.6527,
773.022,3095.0018,
770.111,3095.8194,
767.200,3133.1793,
764.290,3106.7351,
761.379,3093.4481,
758.469,3111.2711,
755.558,3092.8782,
752.648,3059.4794,
749.737,3067.8892,
746.826,3073.5439,
743.916,3058.3099,
741.005,3024.316,
738.095,3010.5141,
735.184,2900.901,
732.274,2836.8391,
729.363,2854.5241,
726.452,2937.8383,
723.542,2998.5428,
720.631,2971.2934,
717.721,2963.5935,
714.810,2982.0056,
711.899,3007.6176,
708.989,2997.9345,
706.078,3008.2919,
703.168,2984.1573,
700.257,2962.7493,
697.347,2951.4408,
694.436,2931.3949,
691.525,2913.7112,
688.615,2930.6291,
685.704,2946.3285,
682.794,2956.492,
679.883,2976.1726,
676.973,3005.0219,
674.062,3003.218,
671.151,3007.6416,
668.241,3021.2575,
665.330,3028.9884,
662.420,3031.3846,
659.509,3031.2401,
656.598,3051.647,
653.688,3064.6124,
650.777,3017.7931,
647.867,3044.8682,
644.956,2987.1025,
642.046,2949.5334,
639.135,2967.3861,
636.224,3025.7914,
633.314,3009.1187,
630.403,3020.2465,
627.493,3045.0858,
624.582,3065.2264,
621.672,3053.3465,
618.761,3027.797,
615.850,3026.4869,
612.940,3062.9547,
610.029,3112.2217,
607.119,3048.2616,
604.208,3068.8555,
601.297,3089.8454,
598.387,3099.3017,
595.476,3101.3661,
592.566,3138.3583,
589.655,3095.6354,
586.745,3062.3655,
583.834,3063.0975,
580.923,3095.8608,
578.013,3093.5066,
575.102,3112.377,
572.192,3136.879,
569.281,3161.0614,
566.371,3195.4968,
563.460,3174.1836,
560.549,3156.0785,
557.639,3141.4295,
554.728,3126.1908,
551.818,3162.8656,
548.907,3183.6727,
545.996,3182.1553,
543.086,3163.6875,
540.175,3148.8932,
537.265,3153.6692,
534.354,3154.3699,
531.444,3170.1518,
528.533,3214.1024,
525.622,3203.2392,
522.712,3237.2802,
519.801,3254.383,
516.891,3248.7267,
513.980,3272.7298,
511.070,3299.5272,
508.159,3339.9617,
505.248,3376.8808,
502.338,3390.9309,
499.427,3461.1676,
496.517,3512.683,
493.606,3551.6712,
490.695,3579.4099,
487.785,3583.2589,
484.874,3590.3372,
481.964,3585.9847,
479.053,3574.875,
476.143,3574.875,
473.232,3530.272,
470.321,3514.8213,
467.411,3505.225,
464.500,3471.8641,
461.590,3510.9168,
458.679,3559.295,
455.769,3606.2583,
452.858,3642.3522,
449.947,3646.9358,
447.037,3684.2806,
444.126,3708.9841,
441.216,3719.2092,
438.305,3767.2109,
435.395,3800.1005,
432.484,3818.4593,
429.573,3815.9999,
426.663,3777.9929,
423.752,3754.6498,
420.842,3751.3552,
417.931,3768.002,
415.020,3803.6449,
412.110,3929.9808,
409.199,3985.1659,
406.289,4002.9923,
403.378,4028.1491,
400.468,4109.0405,
397.557,4098.8845,
394.646,4069.7232,
391.736,4080.9434,
388.825,4020.6049,
385.915,3978.9263,
383.004,3985.8582,
380.094,4057.0267,
377.183,4079.601,
374.272,4110.3001,
371.362,4146.18,
368.451,4185.1546,
365.541,4222.6814,
362.630,4195.1844,
359.719,4184.5927,
356.809,4232.1986,
353.898,4204.493,
350.988,4205.5548,
348.077,4207.9381,
345.167,4197.9563,
342.256,4239.045,
339.345,4196.1374,
336.435,4165.9185,
333.524,4213.2038,
330.614,4223.636,
327.703,4240.7369,
324.793,4267.5379,
321.882,4306.9038,
318.971,4318.7989,
316.061,4338.9894,
313.150,4352.1798,
310.240,4340.3059,
307.329,4415.6265,
304.418,4481.4394,
301.508,4492.5641,
298.597,4374.8379,
295.687,4395.3508,
292.776,4450.2919,
289.866,4521.5099,
286.955,4590.9501,
284.044,4646.415,
281.134,4698.4249,
278.223,4751.6831,
275.313,4818.7369,
272.402,4839.8458,
269.492,4848.9941,
266.581,4865.9678,
263.670,4979.1856,
260.760,5068.2924,
257.849,5110.3798,
254.939,5083.2261,
252.028,5111.105,
249.117,5129.6411,
246.207,5140.5797,
243.296,5147.168,
240.386,5099.5536,
237.475,5047.7503,
234.565,5001.0436,
231.654,4970.3675,
228.743,4959.2721,
225.833,4938.191,
222.922,4899.5737,
220.012,4936.0014,
217.101,4930.2092,
214.191,4903.5697,
211.280,4875.9261,
208.369,4918.2807,
205.459,4946.263,
202.548,4945.3457,
199.638,4884.3912,
196.727,4951.3928,
193.816,5016.4975,
190.906,5032.3067,
187.995,5044.6151,
185.085,5099.9434,
182.174,5154.9162,
179.264,5147.6885,
176.353,5249.3996,
173.442,5332.254,
170.532,5377.5471,
167.621,5383.3149,
164.711,5318.6535,
161.800,5176.0523,
158.890,4933.5041,
155.979,4666.4775,
153.068,4306.3073,
150.158,3863.2268,
147.247,3365.6859,
144.337,2798.7261,
141.426,2205.7199,
138.516,1602.8144,
135.605,1176.0652,
132.694,805.80093,
129.784,505.54122,
126.873,339.6311,
123.963,245.55357,
121.052,176.92857,
118.141,119.10251,
115.231,92.583897,
112.320,75.944097,
109.410,66.102382,
106.499,56.844364,
103.589,53.194237,
100.678,48.61554,
97.767,40.084289,
94.857,38.489022,
91.946,36.262557,
89.036,33.084715,
86.125,28.120278,
83.215,23.158558,
80.304,19.875,
77.393,19.875,
74.483,23.150675,
71.572,21.976183,
68.662,17.082802,
65.751,19.202156,
62.840,19.875,
59.930,18.563997,
57.019,13.628423,
54.109,14.666483,
51.198,14.970172,
48.288,12.886325,
45.377,14.293081,
42.466,15.699439,
39.556,17.105237,
36.645,18.509618,
33.735,16.798006,
30.824,13.328791,
27.914,8.4205645,
25.003,9.7429124,
22.092,15.395664,
19.182,25.790315,
16.271,53.76992,
13.361,165.60346,
10.450,377.43113,
7.539,804.80014,
4.629,1218.4414,
1.718,1423.8318,
-1.192,1169.374,
-4.103,722.44441,
-7.013,316.2408,
-9.924,-1.125,
