,PLCE2F~1,
Wavenumbers [1/cm],Intensity,
1227.072,1040.1433,
1224.161,1000.7118,
1221.251,995.60853,
1218.340,978.88408,
1215.430,972.12768,
1212.519,972.56396,
1209.608,957.2631,
1206.698,934.14098,
1203.787,937.30968,
1200.877,945.32821,
1197.966,992.98365,
1195.055,1010.7335,
1192.145,1014.8777,
1189.234,1038.7315,
1186.324,1060.1031,
1183.413,1060.7506,
1180.503,1057.4338,
1177.592,1065.981,
1174.681,1054.6593,
1171.771,1009.2404,
1168.860,1046.7502,
1165.950,1032.6366,
1163.039,1017.2006,
1160.129,1006.4764,
1157.218,1015.3549,
1154.307,1014.534,
1151.397,986.50753,
1148.486,979.27414,
1145.576,985.03031,
1142.665,1000.1248,
1139.754,994.05234,
1136.844,976.96834,
1133.933,992.66223,
1131.023,1006.9587,
1128.112,1003.5895,
1125.202,1008.1044,
1122.291,1033.0017,
1119.380,1037.1411,
1116.470,1013.3129,
1113.559,1038.212,
1110.649,1033.9329,
1107.738,1040.2346,
1104.828,1054.7038,
1101.917,1044.8773,
1099.006,1008.272,
1096.096,1000.2564,
1093.185,1030.9865,
1090.275,1025.2823,
1087.364,1025.4334,
1084.453,1025.8125,
1081.543,1028.0043,
1078.632,1031.0616,
1075.722,1028.4944,
1072.811,1021.0576,
1069.901,1030.6634,
1066.990,1047.5416,
1064.079,1069.7489,
1061.169,1084.4503,
1058.258,1080.4818,
1055.348,1080.7213,
1052.437,1102.5036,
1049.527,1062.7442,
1046.616,1072.3014,
1043.705,1087.2488,
1040.795,1081.1589,
1037.884,1089.5357,
1034.974,1099.6508,
1032.063,1093.375,
1029.153,1093.1673,
1026.242,1091.4374,
1023.331,1124.7062,
1020.421,1120.2214,
1017.510,1121.538,
1014.600,1145.4069,
1011.689,1163.108,
1008.778,1150.1454,
1005.868,1195.3673,
1002.957,1194.5069,
1000.047,1219.855,
997.136,1231.7243,
994.226,1232.9289,
991.315,1228.1126,
988.404,1219.9963,
985.494,1228.4325,
982.583,1231.0022,
979.673,1229.9117,
976.762,1202.3683,
973.852,1192.6572,
970.941,1205.8569,
968.030,1205.9183,
965.120,1186.511,
962.209,1218.9076,
959.299,1220.8338,
956.388,1206.4958,
953.477,1200.4853,
950.567,1227.2889,
947.656,1278.3534,
944.746,1217.1854,
941.835,1263.7736,
938.925,1282.6136,
936.014,1253.4963,
933.103,1224.9059,
930.193,1234.3714,
927.282,1245.1376,
924.372,1222.3062,
921.461,1206.1198,
918.551,1186.8517,
915.640,1175.1002,
912.729,1173.1066,
909.819,1175.0439,
906.908,1195.2621,
903.998,1173.3094,
901.087,1166.7385,
898.176,1180.6909,
895.266,1196.0576,
892.355,1194.5897,
889.445,1190.3934,
886.534,1209.5771,
883.624,1222.7946,
880.713,1225.8439,
877.802,1201.7945,
874.892,1163.4196,
871.981,1180.5859,
869.071,1147.1694,
866.160,1144.8248,
863.250,1178.8756,
860.339,1223.7679,
857.428,1247.5488,
854.518,1229.04,
851.607,1148.3293,
848.697,1158.4486,
845.786,1163.1474,
842.875,1168.5606,
839.965,1190.2731,
837.054,1194.6727,
834.144,1221.1928,
831.233,1259.0393,
828.323,1272.4076,
825.412,1250.0572,
822.501,1211.0133,
819.591,1220.1037,
816.680,1217.9711,
813.770,1211.11,
810.859,1222.7172,
807.949,1244.4067,
805.038,1248.1936,
802.127,1213.6222,
799.217,1182.0501,
796.306,1182.0237,
793.396,1191.7109,
790.485,1192.4269,
787.574,1181.0325,
784.664,1172.0113,
781.753,1200.5693,
778.843,1213.4147,
775.932,1210.4491,
773.022,1209.8966,
770.111,1219.7075,
767.200,1196.7743,
764.290,1192.8423,
761.379,1204.8278,
758.469,1222.9325,
755.558,1235.4754,
752.648,1205.3351,
749.737,1205.9029,
746.826,1228.4901,
743.916,1247.0243,
741.005,1241.7681,
738.095,1271.8075,
735.184,1280.3804,
732.274,1218.2155,
729.363,1156.6765,
726.452,1159.3151,
723.542,1214.3538,
720.631,1221.1977,
717.721,1216.6465,
714.810,1201.716,
711.899,1190.0186,
708.989,1214.2263,
706.078,1256.0428,
703.168,1223.8695,
700.257,1212.8779,
697.347,1226.5934,
694.436,1192.6189,
691.525,1238.4357,
688.615,1215.0427,
685.704,1187.1728,
682.794,1193.2259,
679.883,1247.1135,
676.973,1219.0655,
674.062,1226.7747,
671.151,1240.5116,
668.241,1249.328,
665.330,1250.4086,
662.420,1208.8745,
659.509,1222.5976,
656.598,1233.644,
653.688,1237.1261,
650.777,1255.6459,
647.867,1234.1451,
644.956,1220.7069,
642.046,1178.4758,
639.135,1138.3227,
636.224,1183.4387,
633.314,1196.1417,
630.403,1236.6213,
627.493,1255.8457,
624.582,1252.0847,
621.672,1282.1805,
618.761,1243.0982,
615.850,1236.4359,
612.940,1250.5964,
610.029,1261.5358,
607.119,1220.475,
604.208,1232.7053,
601.297,1244.3602,
598.387,1253.9611,
595.476,1266.1178,
592.566,1273.9885,
589.655,1266.3045,
586.745,1243.1483,
583.834,1239.3571,
580.923,1310.2755,
578.013,1293.7961,
575.102,1258.4012,
572.192,1237.1614,
569.281,1246.9832,
566.371,1283.7665,
563.460,1296.5461,
560.549,1291.1167,
557.639,1271.9753,
554.728,1248.4937,
551.818,1282.0473,
548.907,1286.9373,
545.996,1300.149,
543.086,1326.7303,
540.175,1342.3032,
537.265,1295.5726,
534.354,1269.3479,
531.444,1258.0311,
528.533,1251.196,
525.622,1276.8023,
522.712,1285.4088,
519.801,1291.1938,
516.891,1306.6088,
513.980,1352.2923,
511.070,1303.5489,
508.159,1304.2982,
505.248,1336.8859,
502.338,1359.5557,
499.427,1365.7304,
496.517,1373.5972,
493.606,1391.1617,
490.695,1413.3794,
487.785,1391.8253,
484.874,1376.743,
481.964,1384.4945,
479.053,1397.2045,
476.143,1367.254,
473.232,1380.4825,
470.321,1390.2676,
467.411,1386.7772,
464.500,1364.7047,
461.590,1377.7223,
458.679,1402.8365,
455.769,1430.4571,
452.858,1450.148,
449.947,1428.7579,
447.037,1434.0832,
444.126,1441.8538,
441.216,1443.7136,
438.305,1439.9039,
435.395,1450.5208,
432.484,1454.2912,
429.573,1448.3575,
426.663,1435.4351,
423.752,1385.5557,
420.842,1336.0605,
417.931,1281.4745,
415.020,1207.9138,
412.110,1279.9995,
409.199,1370.4556,
406.289,1433.4232,
403.378,1424.4057,
400.468,1433.4777,
397.557,1422.493,
394.646,1447.0834,
391.736,1547.5158,
388.825,1489.44,
385.915,1468.6496,
383.004,1484.5064,
380.094,1531.3001,
377.183,1510.2308,
374.272,1497.8616,
371.362,1494.7296,
368.451,1500.0559,
365.541,1494.8021,
362.630,1512.4934,
359.719,1528.079,
356.809,1527.0578,
353.898,1521.8162,
350.988,1530.1398,
348.077,1534.3093,
345.167,1524.7156,
342.256,1531.4392,
339.345,1533.375,
336.435,1524.7696,
333.524,1503.7843,
330.614,1548.4936,
327.703,1554.6739,
324.793,1550.4685,
321.882,1559.3155,
318.971,1534.7819,
316.061,1557.1388,
313.150,1590.9917,
310.240,1596.1865,
307.329,1599.9482,
304.418,1618.7012,
301.508,1625.3934,
298.597,1572.8238,
295.687,1622.5542,
292.776,1640.875,
289.866,1642.5189,
286.955,1700.1394,
284.044,1696.3575,
281.134,1691.967,
278.223,1696.8061,
275.313,1699.7535,
272.402,1702.6986,
269.492,1705.3256,
266.581,1708.5837,
263.670,1725.4928,
260.760,1723.584,
257.849,1719.6846,
254.939,1726.2896,
252.028,1738.6804,
249.117,1749.7706,
246.207,1760.2162,
243.296,1771.1967,
240.386,1744.2964,
237.475,1742.8215,
234.565,1764.7201,
231.654,1766.9113,
228.743,1710.9889,
225.833,1683.4002,
222.922,1716.632,
220.012,1743.5886,
217.101,1729.3114,
214.191,1704.2822,
211.280,1700.6449,
208.369,1703.0663,
205.459,1708.7668,
202.548,1711.4892,
199.638,1688.9941,
196.727,1735.6582,
193.816,1760.13,
190.906,1730.2638,
187.995,1755.6047,
185.085,1738.3679,
182.174,1720.7362,
179.264,1762.6567,
176.353,1773.7828,
173.442,1763.9604,
170.532,1739.5349,
167.621,1732.3252,
164.711,1688.3296,
161.800,1639.5614,
158.890,1607.8933,
155.979,1489.2893,
153.068,1371.6051,
150.158,1246.4717,
147.247,1064.8298,
144.337,857.64085,
141.426,669.02923,
138.516,522.06653,
135.605,364.62767,
132.694,246.97429,
129.784,162.94668,
126.873,104.30603,
123.963,73.026615,
121.052,51.292769,
118.141,33.445219,
115.231,29.111578,
112.320,24.409549,
109.410,20.511355,
106.499,21.22351,
103.589,17.453219,
100.678,14.918243,
97.767,16.340119,
94.857,15.682011,
91.946,11.343891,
89.036,5.8265916,
86.125,8.6634127,
83.215,2.4730354,
80.304,-0.5123751,
77.393,8.6938341,
74.483,-0.45202437,
71.572,-2.0014789,
68.662,4.236465,
65.751,2.8235628,
62.840,6.2286159,
59.930,7.9402794,
57.019,-1.2257864,
54.109,2.1522868,
51.198,4.4701722,
48.288,2.375,
45.377,2.375,
42.466,2.375,
39.556,2.375,
36.645,2.375,
33.735,0.8172546,
30.824,-0.84588697,
27.914,-1.5470622,
25.003,0.24291243,
22.092,3.3124273,
19.182,7.6495944,
16.271,16.043476,
13.361,44.662479,
10.450,56.178377,
7.539,-78.596489,
4.629,-232.37974,
1.718,-422.95113,
-1.192,-681.59175,
-4.103,-517.13242,
-7.013,-270.75225,
-9.924,1.375,
