,PLD587~1,
Wavenumbers [1/cm],Intensity,
1558.878,793.96974,
1555.967,799.51696,
1553.057,788.40104,
1550.146,759.57414,
1547.235,764.74447,
1544.325,747.21734,
1541.414,731.64574,
1538.504,708.85206,
1535.593,690.87637,
1532.683,703.38137,
1529.772,699.72511,
1526.861,680.56679,
1523.951,649.97074,
1521.040,648.2901,
1518.130,674.43709,
1515.219,633.50456,
1512.309,647.63401,
1509.398,641.61745,
1506.487,633.34139,
1503.577,640.9225,
1500.666,614.5204,
1497.756,622.23525,
1494.845,628.78454,
1491.934,608.86752,
1489.024,682.97947,
1486.113,640.19144,
1483.203,619.74981,
1480.292,610.83691,
1477.382,565.17135,
1474.471,576.11161,
1471.560,595.68699,
1468.650,601.99155,
1465.739,587.25324,
1462.829,579.81863,
1459.918,592.7798,
1457.008,580.79395,
1454.097,563.78442,
1451.186,558.22848,
1448.276,557.27686,
1445.365,578.05312,
1442.455,579.18467,
1439.544,594.83026,
1436.633,587.05201,
1433.723,583.61293,
1430.812,609.9257,
1427.902,588.6701,
1424.991,590.56562,
1422.081,586.03761,
1419.170,607.22651,
1416.259,560.40109,
1413.349,544.09355,
1410.438,576.21442,
1407.528,603.49983,
1404.617,585.37849,
1401.707,557.02619,
1398.796,576.41863,
1395.885,594.98315,
1392.975,578.81263,
1390.064,576.09003,
1387.154,541.13803,
1384.243,504.48909,
1381.332,554.63302,
1378.422,540.60551,
1375.511,579.01353,
1372.601,630.31137,
1369.690,632.05333,
1366.780,596.77545,
1363.869,652.28146,
1360.958,662.76046,
1358.048,675.7976,
1355.137,719.06331,
1352.227,741.04981,
1349.316,741.45743,
1346.406,742.6422,
1343.495,719.64589,
1340.584,707.33888,
1337.674,739.19944,
1334.763,786.71884,
1331.853,815.46301,
1328.942,775.70965,
1326.032,759.20631,
1323.121,819.60698,
1320.210,853.61157,
1317.300,846.63989,
1314.389,838.6528,
1311.479,854.04237,
1308.568,875.49853,
1305.657,892.14426,
1302.747,929.51042,
1299.836,965.6619,
1296.926,1000.5568,
1294.015,977.57369,
1291.105,1000.3996,
1288.194,1016.4049,
1285.283,1052.5611,
1282.373,1059.9297,
1279.462,1077.4873,
1276.552,1110.4203,
1273.641,1147.6053,
1270.731,1185.3877,
1267.820,1207.0262,
1264.909,1226.2952,
1261.999,1215.3601,
1259.088,1180.6995,
1256.178,1132.3764,
1253.267,1133.0642,
1250.356,1084.1537,
1247.446,1071.3595,
1244.535,1069.7143,
1241.625,1032.5769,
1238.714,979.5478,
1235.804,950.18811,
1232.893,946.12885,
1229.982,927.9504,
1227.072,908.03353,
1224.161,890.65543,
1221.251,873.47933,
1218.340,868.625,
1215.430,851.00787,
1212.519,845.22743,
1209.608,840.03247,
1206.698,820.30606,
1203.787,841.57474,
1200.877,819.12351,
1197.966,811.03108,
1195.055,872.0589,
1192.145,914.93277,
1189.234,923.02983,
1186.324,924.89804,
1183.413,924.97525,
1180.503,924.6603,
1177.592,932.71595,
1174.681,936.07706,
1171.771,911.89287,
1168.860,923.50303,
1165.950,889.14826,
1163.039,866.65694,
1160.129,891.29747,
1157.218,897.24145,
1154.307,865.78399,
1151.397,842.44975,
1148.486,849.72299,
1145.576,861.27807,
1142.665,853.28686,
1139.754,867.27032,
1136.844,857.31925,
1133.933,855.14404,
1131.023,869.4274,
1128.112,877.98282,
1125.202,875.66363,
1122.291,893.99831,
1119.380,889.72894,
1116.470,900.31928,
1113.559,887.70652,
1110.649,909.81883,
1107.738,912.90864,
1104.828,900.2962,
1101.917,888.52411,
1099.006,872.85177,
1096.096,877.17366,
1093.185,853.46759,
1090.275,865.38259,
1087.364,883.7197,
1084.453,886.12529,
1081.543,887.44543,
1078.632,895.81876,
1075.722,903.63397,
1072.811,915.13575,
1069.901,894.17749,
1066.990,899.89998,
1064.079,937.01172,
1061.169,954.1773,
1058.258,947.00226,
1055.348,933.39146,
1052.437,929.72471,
1049.527,948.81241,
1046.616,901.89563,
1043.705,947.49549,
1040.795,946.02388,
1037.884,939.65943,
1034.974,954.54252,
1032.063,963.17925,
1029.153,927.4559,
1026.242,934.37555,
1023.331,947.1242,
1020.421,955.89891,
1017.510,1002.8868,
1014.600,1033.8186,
1011.689,1023.4937,
1008.778,1017.5157,
1005.868,1057.4551,
1002.957,1038.5273,
1000.047,1072.753,
997.136,1081.3391,
994.226,1080.748,
991.315,1080.9715,
988.404,1067.1126,
985.494,1038.9894,
982.583,1055.264,
979.673,1070.063,
976.762,1064.0572,
973.852,1046.0168,
970.941,1037.3671,
968.030,1051.4805,
965.120,1067.6286,
962.209,1068.4811,
959.299,1065.792,
956.388,1074.1444,
953.477,1074.6375,
950.567,1065.1478,
947.656,1068.8532,
944.746,1085.8443,
941.835,1086.625,
938.925,1082.0186,
936.014,1083.1658,
933.103,1090.509,
930.193,1085.6396,
927.282,1037.8083,
924.372,1041.1907,
921.461,1040.8886,
918.551,1029.5873,
915.640,1010.1515,
912.729,997.04021,
909.819,1003.8474,
906.908,1005.5323,
903.998,983.3548,
901.087,988.44561,
898.176,1002.7373,
895.266,1016.7034,
892.355,1025.112,
889.445,1011.6838,
886.534,1021.6435,
883.624,1038.4273,
880.713,1056.8528,
877.802,1067.9724,
874.892,1076.7143,
871.981,1113.4536,
869.071,1148.5409,
866.160,1107.7077,
863.250,1074.0441,
860.339,1061.1931,
857.428,1058.0511,
854.518,1055.288,
851.607,1043.639,
848.697,1049.191,
845.786,1048.4733,
842.875,1063.1511,
839.965,1087.5665,
837.054,1041.7087,
834.144,1049.1675,
831.233,1057.9578,
828.323,1068.549,
825.412,1067.8979,
822.501,1051.7739,
819.591,1052.6003,
816.680,1072.6571,
813.770,1041.9144,
810.859,1021.0762,
807.949,1019.6957,
805.038,1014.4259,
802.127,1012.7796,
799.217,999.20796,
796.306,984.97628,
793.396,968.28139,
790.485,959.10009,
787.574,980.09206,
784.664,992.39375,
781.753,971.81154,
778.843,984.63903,
775.932,1009.3164,
773.022,1007.6106,
770.111,1001.07,
767.200,973.21775,
764.290,986.00648,
761.379,1000.0495,
758.469,999.71767,
755.558,1007.0172,
752.648,986.65209,
749.737,984.58337,
746.826,974.90191,
743.916,956.48205,
