,PL1CEB~1,
Wavenumbers [1/cm],Intensity,
1256.178,991.96907,
1253.267,993.47354,
1250.356,968.05534,
1247.446,965.06109,
1244.535,966.05805,
1241.625,932.85563,
1238.714,877.62054,
1235.804,849.49024,
1232.893,871.75424,
1229.982,851.8254,
1227.072,831.90853,
1224.161,812.00892,
1221.251,786.16472,
1218.340,783.6825,
1215.430,777.69143,
1212.519,767.33068,
1209.608,763.5,
1206.698,768.60651,
1203.787,777.89195,
1200.877,748.28009,
1197.966,760.86832,
1195.055,799.04294,
1192.145,832.54836,
1189.234,860.31498,
1186.324,853.04378,
1183.413,846.89087,
1180.503,844.00978,
1177.592,826.32847,
1174.681,848.1507,
1171.771,798.57148,
1168.860,845.01213,
1165.950,819.66729,
1163.039,846.02333,
1160.129,837.49565,
1157.218,813.80822,
1154.307,800.30565,
1151.397,784.46167,
1148.486,771.09369,
1145.576,808.76983,
1142.665,814.98522,
1139.754,804.1092,
1136.844,807.80273,
1133.933,809.91349,
1131.023,813.74886,
1128.112,813.50072,
1125.202,809.3309,
1122.291,827.63343,
1119.380,848.99764,
1116.470,797.811,
1113.559,820.88346,
1110.649,817.71278,
1107.738,817.394,
1104.828,819.1712,
1101.917,807.99085,
1099.006,789.52069,
1096.096,775.76877,
1093.185,780.15878,
1090.275,827.43767,
1087.364,825.46367,
1084.453,808.25071,
1081.543,810.45552,
1078.632,820.73927,
1075.722,814.19254,
1072.811,821.3759,
1069.901,819.62937,
1066.990,838.89995,
1064.079,848.94411,
1061.169,853.7092,
1058.258,846.18332,
1055.348,840.26104,
1052.437,857.81191,
1049.527,863.19091,
1046.616,829.30656,
1043.705,869.43361,
1040.795,861.42935,
1037.884,858.09754,
1034.974,861.28608,
1032.063,851.30773,
1029.153,847.60386,
1026.242,848.46882,
1023.331,880.16464,
1020.421,899.04783,
1017.510,896.65614,
1014.600,902.34204,
1011.689,917.92986,
1008.778,918.84578,
1005.868,932.40733,
1002.957,922.08308,
1000.047,968.54802,
997.136,987.08733,
994.226,988.83844,
991.315,981.97526,
988.404,955.69052,
985.494,920.90278,
982.583,938.89046,
979.673,953.93799,
976.762,947.93216,
973.852,947.13015,
970.941,960.24209,
968.030,968.49417,
965.120,951.51074,
962.209,954.06837,
959.299,978.58047,
956.388,991.85979,
953.477,983.40226,
950.567,970.37566,
947.656,977.16307,
944.746,966.9684,
941.835,994.03365,
938.925,980.75849,
936.014,974.54661,
933.103,982.38404,
930.193,990.69854,
927.282,993.85017,
924.372,963.40833,
921.461,946.9812,
918.551,949.4712,
915.640,940.05191,
912.729,924.7937,
909.819,935.61036,
906.908,928.87096,
903.998,926.11391,
901.087,948.41422,
898.176,957.20524,
895.266,953.7696,
892.355,951.78821,
889.445,926.61019,
886.534,935.68359,
883.624,950.95664,
880.713,954.43786,
877.802,947.67869,
874.892,950.42772,
871.981,994.51973,
869.071,995.35514,
866.160,954.10242,
863.250,955.41971,
860.339,973.5,
857.428,975.98702,
854.518,985.10384,
851.607,936.84382,
848.697,953.26142,
845.786,983.18278,
842.875,998.05316,
839.965,982.18415,
837.054,930.82562,
834.144,959.83195,
831.233,965.5,
828.323,985.28287,
825.412,996.48504,
822.501,979.28728,
819.591,989.20407,
816.680,1003.1218,
813.770,995.84946,
810.859,973.70658,
807.949,961.39028,
805.038,976.61282,
802.127,952.74213,
799.217,946.02765,
796.306,935.41885,
793.396,933.95044,
790.485,942.28942,
787.574,941.84251,
784.664,950.86375,
781.753,945.11918,
778.843,933.1686,
775.932,928.51228,
773.022,936.73921,
770.111,931.83375,
767.200,955.10069,
764.290,954.40971,
761.379,935.1085,
758.469,922.6614,
755.558,953.15962,
752.648,941.75517,
749.737,931.66653,
746.826,950.34483,
743.916,973.1493,
741.005,966.4258,
738.095,983.47522,
735.184,938.30606,
732.274,878.48,
729.363,857.30283,
726.452,897.12448,
723.542,944.87868,
720.631,918.44752,
717.721,923.24829,
714.810,948.72717,
711.899,968.6089,
708.989,947.62885,
706.078,978.75081,
703.168,955.53173,
700.257,947.46459,
