,PLF12D~1,
Wavenumbers [1/cm],Intensity,
1256.178,2097.6222,
1253.267,2076.2593,
1250.356,2016.7879,
1247.446,1967.1176,
1244.535,1928.2054,
1241.625,1873.1075,
1238.714,1804.2047,
1235.804,1747.4806,
1232.893,1709.5116,
1229.982,1655.9268,
1227.072,1624.2408,
1224.161,1599.3064,
1221.251,1577.1318,
1218.340,1540.5528,
1215.430,1503.0797,
1212.519,1472.4172,
1209.608,1472.6557,
1206.698,1491.255,
1203.787,1459.804,
1200.877,1476.6716,
1197.966,1503.6464,
1195.055,1603.9768,
1192.145,1618.746,
1189.234,1628.3807,
1186.324,1672.1855,
1183.413,1688.9848,
1180.503,1680.1177,
1177.592,1694.4241,
1174.681,1665.9897,
1171.771,1596.9588,
1168.860,1595.1726,
1165.950,1573.2302,
1163.039,1593.1425,
1160.129,1587.4841,
1157.218,1572.6348,
1154.307,1568.629,
1151.397,1571.6495,
1148.486,1585.147,
1145.576,1601.3039,
1142.665,1562.2357,
1139.754,1590.7315,
1136.844,1584.6942,
1133.933,1539.1176,
1131.023,1554.4328,
1128.112,1604.0713,
1125.202,1605.2754,
1122.291,1603.8774,
1119.380,1609.8961,
1116.470,1599.3057,
1113.559,1632.7962,
1110.649,1614.8416,
1107.738,1638.0431,
1104.828,1648.9467,
1101.917,1611.7867,
1099.006,1592.2682,
1096.096,1569.785,
1093.185,1566.273,
1090.275,1582.1854,
1087.364,1583.9416,
1084.453,1575.688,
1081.543,1603.743,
1078.632,1641.0455,
1075.722,1626.4955,
1072.811,1623.2267,
1069.901,1668.6363,
1066.990,1672,
1064.079,1695.818,
1061.169,1700.9247,
1058.258,1697.6939,
1055.348,1700.8819,
1052.437,1706.4438,
1049.527,1721.7846,
1046.616,1664.4419,
1043.705,1690.3721,
1040.795,1700.6385,
1037.884,1712.1262,
1034.974,1724.4897,
1032.063,1726.2846,
1029.153,1720.3648,
1026.242,1690.0913,
1023.331,1738.1635,
1020.421,1760.5478,
1017.510,1781.1274,
1014.600,1803.1503,
1011.689,1824.1268,
1008.778,1837.1618,
1005.868,1809.3629,
1002.957,1849.7996,
1000.047,1933.896,
997.136,1996.4776,
994.226,2015.0924,
991.315,2015.0891,
988.404,2016.8402,
985.494,1954.4795,
982.583,1975.8934,
979.673,1980.4633,
976.762,1952.232,
973.852,1945.2603,
970.941,1947.4773,
968.030,1913.6012,
965.120,1917.2184,
962.209,1969.2234,
959.299,1982.9577,
956.388,1977.1605,
953.477,1974.2882,
950.567,1986.8427,
947.656,2006.4376,
944.746,1986.8978,
