,PLF08E~1,
Wavenumbers [1/cm],Intensity,
706.078,2335.5586,
703.168,2325.6762,
700.257,2308.9617,
697.347,2307.7168,
694.436,2325.3216,
691.525,2281.9161,
688.615,2273.1289,
685.704,2293.7896,
682.794,2327.2872,
679.883,2347.878,
676.973,2311.8164,
674.062,2317.2616,
671.151,2336.3349,
668.241,2348.8793,
665.330,2340.0462,
662.420,2330.4614,
659.509,2335.4842,
656.598,2351.1842,
653.688,2363.5094,
650.777,2353.257,
647.867,2346.09,
644.956,2314.1616,
642.046,2265.2343,
639.135,2231.3036,
636.224,2264.5438,
633.314,2273.2771,
630.403,2312.7463,
627.493,2351.9426,
624.582,2375.4423,
621.672,2384.1542,
618.761,2353.3425,
615.850,2335.2352,
612.940,2348.6505,
610.029,2390.6565,
607.119,2409.6077,
604.208,2413.63,
601.297,2406.0252,
598.387,2396.3535,
595.476,2394.7627,
592.566,2408.1429,
589.655,2391.7112,
586.745,2361.1035,
583.834,2347.2359,
580.923,2392.5332,
578.013,2398.0263,
575.102,2386.3075,
572.192,2384.3603,
569.281,2412.4194,
566.371,2489.8991,
563.460,2465.7539,
560.549,2453.4746,
557.639,2445.6374,
554.728,2420.416,
551.818,2403.2491,
548.907,2431.7989,
545.996,2452.8888,
543.086,2448.9704,
540.175,2427.947,
537.265,2443.1584,
534.354,2447.9949,
531.444,2448.1719,
528.533,2455.4798,
525.622,2497.381,
522.712,2512.5675,
519.801,2506.5711,
516.891,2502.8639,
513.980,2564.0333,
511.070,2564.5696,
508.159,2576.827,
505.248,2601.513,
502.338,2628.2063,
499.427,2618.1725,
496.517,2666.409,
493.606,2712.5663,
490.695,2729.2816,
487.785,2749.2962,
484.874,2736.9906,
481.964,2740.5431,
479.053,2753.8228,
476.143,2738.4636,
473.232,2729.5866,
470.321,2755.6946,
467.411,2761.9338,
464.500,2689.6745,
461.590,2696.5662,
458.679,2743.0739,
455.769,2797.7737,
452.858,2834.7163,
449.947,2807.9787,
447.037,2821.9163,
444.126,2840.7848,
441.216,2854.4103,
438.305,2871.1728,
435.395,2885.3015,
432.484,2893.5838,
429.573,2887.8024,
426.663,2850.5555,
423.752,2713.5955,
420.842,2568.273,
417.931,2453.2956,
415.020,2413.861,
412.110,2747.5788,
409.199,2921.8447,
406.289,2961.9711,
403.378,2920.5845,
400.468,2945.5323,
397.557,2956.5849,
394.646,2982.6637,
391.736,3044.7515,
388.825,3021.3703,
385.915,3006.5171,
383.004,3014.9193,
380.094,3053.8071,
377.183,3059.8269,
374.272,3072.8984,
371.362,3099.2767,
368.451,3141.1869,
365.541,3168.9567,
362.630,3162.2977,
359.719,3165.2984,
356.809,3198.8236,
353.898,3171.118,
350.988,3174.8922,
348.077,3179.2726,
345.167,3167.1433,
342.256,3179.8435,
339.345,3172.8713,
336.435,3175.4365,
333.524,3206.7819,
330.614,3215.7237,
327.703,3230.3083,
324.793,3234.5396,
321.882,3214.5505,
318.971,3235.3669,
316.061,3265.4508,
313.150,3289.5,
310.240,3289.5,
307.329,3361.6783,
304.418,3365.4226,
301.508,3335.5,
298.597,3335.5,
295.687,3319.2462,
292.776,3354.8336,
289.866,3430.9134,
286.955,3504.0472,
284.044,3527.15,
281.134,3557.0876,
278.223,3606.1703,
275.313,3679.119,
272.402,3672.4257,
269.492,3650.4798,
266.581,3637.7628,
263.670,3641.4387,
260.760,3701.0069,
257.849,3763.482,
254.939,3789.1678,
252.028,3829.3115,
249.117,3851.3524,
246.207,3858.5529,
243.296,3854.8928,
240.386,3836.8692,
237.475,3836.3363,
234.565,3848.4294,
231.654,3835.2825,
228.743,3796.2518,
225.833,3764.9266,
222.922,3754.8058,
220.012,3761.3628,
217.101,3773.3143,
214.191,3782.6258,
211.280,3779.7159,
208.369,3783.5369,
205.459,3769.1307,
202.548,3746.8816,
199.638,3760.669,
196.727,3825.1551,
193.816,3861.4693,
190.906,3841.9221,
187.995,3882.4675,
185.085,3883.26,
182.174,3890.2431,
179.264,3970.4701,
176.353,4021.1506,
173.442,4024.1968,
170.532,3987.2399,
167.621,3976.4253,
164.711,3896.7671,
161.800,3787.9319,
158.890,3672.0558,
155.979,3417.9496,
153.068,3132.7743,
150.158,2822.9686,
147.247,2484.813,
144.337,2079.3775,
141.426,1650.9364,
138.516,1216.5003,
135.605,868.14793,
132.694,591.30295,
129.784,381.43786,
126.873,247.70858,
123.963,172.69811,
121.052,122.61883,
118.141,87.63763,
115.231,65.472319,
112.320,53.958184,
109.410,49.681868,
106.499,45.408937,
103.589,40.017964,
100.678,33.512161,
97.767,25.691848,
94.857,26.885978,
91.946,25.484446,
89.036,21.709715,
