,PLF7F4~1,
Wavenumbers [1/cm],Intensity,
746.826,2973.463,
743.916,2986.4789,
741.005,2979.9404,
738.095,2953.9604,
735.184,2930.8533,
732.274,2879.7514,
729.363,2856.6778,
726.452,2891.6756,
723.542,2912.7198,
720.631,2935.2821,
717.721,2934.428,
714.810,2917.4546,
711.899,2904.1423,
708.989,2926.7362,
706.078,2936.4906,
703.168,2918.8367,
700.257,2908.763,
697.347,2902.2239,
694.436,2864.0714,
691.525,2871.3056,
688.615,2872.875,
685.704,2875.4652,
682.794,2881.4494,
679.883,2892.1097,
676.973,2941.7947,
674.062,2954.4273,
671.151,2946.2317,
668.241,2927.9188,
665.330,2909.3288,
662.420,2918.9136,
659.509,2941.8277,
656.598,2982.4365,
653.688,3014.354,
650.777,2994.9029,
647.867,2966.2351,
644.956,2948.1111,
642.046,2891.1232,
639.135,2842.2551,
636.224,2922.7954,
633.314,2906.9167,
630.403,2947.2158,
627.493,2987.0928,
624.582,3002.0516,
621.672,3002.8436,
618.761,2980.0768,
615.850,2986.6497,
612.940,3018.7086,
610.029,3055.4554,
607.119,3034.925,
604.208,3035.005,
601.297,3034.3794,
598.387,3019.9766,
595.476,2990.6233,
592.566,3019.7449,
589.655,3011.2693,
586.745,3002.1391,
583.834,3006.0234,
580.923,3027.9982,
578.013,3048.4013,
575.102,3052.7278,
572.192,3065.0945,
569.281,3094.2178,
566.371,3123.9575,
563.460,3104.3,
560.549,3076.3584,
557.639,3063.3205,
554.728,3081.1706,
551.818,3085.8525,
548.907,3086.2656,
545.996,3063.3252,
543.086,3040.9605,
540.175,3101.6949,
537.265,3110.2207,
534.354,3092.3091,
531.444,3079.5628,
528.533,3097.7579,
525.622,3110.1731,
522.712,3129.2573,
519.801,3154.0046,
516.891,3177.188,
513.980,3178.7366,
511.070,3193.6663,
508.159,3240.9457,
505.248,3288.629,
502.338,3298.7727,
499.427,3363.6066,
496.517,3424.4305,
493.606,3455.1831,
490.695,3452.2287,
487.785,3469.1641,
484.874,3460.243,
481.964,3463.8417,
479.053,3468.1305,
476.143,3427.4285,
473.232,3427.0332,
470.321,3403.5462,
467.411,3397.376,
464.500,3455.6119,
461.590,3484.7101,
458.679,3520.94,
455.769,3559.6282,
452.858,3589.5801,
449.947,3548.3278,
447.037,3535.0209,
444.126,3564.778,
441.216,3630.2675,
438.305,3684.3646,
435.395,3662.3714,
432.484,3636.0394,
429.573,3630.8151,
426.663,3673.383,
423.752,3580.6312,
420.842,3425.6169,
417.931,3281.1789,
415.020,3247.0528,
412.110,3517.3035,
409.199,3715.1634,
406.289,3805.0841,
403.378,3765.8545,
400.468,3759.8066,
397.557,3766.6155,
394.646,3816.6236,
391.736,3928.7402,
388.825,3893.2913,
385.915,3881.8106,
383.004,3880.3039,
380.094,3879.2205,
377.183,3885.9928,
374.272,3908.5007,
371.362,3941.18,
368.451,3979.881,
365.541,4012.9046,
362.630,4022.9675,
359.719,4029.2024,
356.809,4040.7423,
353.898,4022.0223,
350.988,4026.0973,
348.077,4022.8395,
345.167,3996.9346,
342.256,4017.8525,
339.345,4030.2522,
336.435,4035.5974,
333.524,4034.2173,
330.614,4013.353,
327.703,4042.8134,
324.793,4088.4756,
321.882,4121.8768,
318.971,4122.6202,
316.061,4161.4518,
313.150,4217.3488,
310.240,4267.0705,
307.329,4301.0337,
304.418,4290.6214,
301.508,4265.8289,
298.597,4276.9351,
295.687,4340.8584,
292.776,4361.2916,
289.866,4369.2046,
286.955,4470.41,
284.044,4525.9875,
281.134,4569.8705,
278.223,4610.2341,
275.313,4653.7085,
272.402,4679.7212,
269.492,4708.0345,
266.581,4741.824,
263.670,4727.1204,
260.760,4732.2779,
257.849,4780.9088,
254.939,4895.3945,
252.028,4918.5903,
249.117,4953.8278,
246.207,4997.2396,
243.296,5041.1619,
240.386,5009.3075,
237.475,4977.581,
234.565,4957.875,
231.654,4957.875,
228.743,4931.4081,
225.833,4904.5575,
222.922,4886.584,
220.012,4858.8989,
217.101,4879.8087,
214.191,4924.8629,
211.280,4971.4205,
208.369,4957.3819,
205.459,4937.696,
202.548,4917.2399,
199.638,4896.1961,
196.727,4961.0209,
193.816,5026.6251,
190.906,5063.1351,
187.995,5127.5733,
185.085,5139.4722,
182.174,5151.7728,
179.264,5239.9502,
176.353,5222.9623,
173.442,5219.8394,
170.532,5241.8831,
167.621,5250.5348,
164.711,5150.3893,
161.800,4995.205,
158.890,4811.6745,
155.979,4529.675,
153.068,4183.9093,
150.158,3771.906,
147.247,3260.724,
144.337,2708.5705,
141.426,2144.0125,
138.516,1578.3853,
135.605,1124.4554,
132.694,765.26314,
129.784,496.51681,
126.873,335.61259,
123.963,233.44844,
121.052,159.9116,
118.141,107.08285,
115.231,83.426178,
112.320,70.062277,
109.410,64.193224,
106.499,60.632448,
103.589,48.109656,
100.678,35.887161,
97.767,28.066848,
94.857,32.032934,
91.946,33.875,
89.036,32.407327,
86.125,23.187659,
83.215,19.813159,
80.304,20.790461,
77.393,26.455821,
74.483,22.289055,
71.572,20.599704,
68.662,21.59793,
65.751,18.772126,
62.840,19.801808,
59.930,20.189424,
57.019,13.843686,
54.109,20.04093,
51.198,22.462126,
48.288,16.846688,
45.377,13.329797,
42.466,15.584974,
39.556,19.838933,
36.645,13.519221,
33.735,14.471242,
30.824,14.445243,
27.914,6.7323156,
25.003,7.120275,
22.092,9.4895228,
19.182,13.83608,
16.271,43.214666,
13.361,134.1091,
10.450,289.98939,
7.539,563.72901,
4.629,729.36247,
1.718,693.21965,
-1.192,286.78439,
-4.103,127.3175,
-7.013,40.545725,
-9.924,0.875,
