,PLDAAC~1,
Wavenumbers [1/cm],Intensity,
1317.300,1227.6449,
1314.389,1238.3056,
1311.479,1280.007,
1308.568,1341.3074,
1305.657,1373.8598,
1302.747,1415.6982,
1299.836,1434.3557,
1296.926,1443.1473,
1294.015,1462.4531,
1291.105,1473.8165,
1288.194,1524.7721,
1285.283,1554.4341,
1282.373,1564.4141,
1279.462,1582.1713,
1276.552,1618.943,
1273.641,1668.2672,
1270.731,1718.0694,
1267.820,1765.1685,
1264.909,1812.5681,
1261.999,1767.322,
1259.088,1659.6917,
1256.178,1635.2644,
1253.267,1594.6574,
1250.356,1580.541,
1247.446,1576.9031,
1244.535,1539.5715,
1241.625,1476.6056,
1238.714,1426.6637,
1235.804,1398.4442,
1232.893,1379.2531,
1229.982,1365.3113,
1227.072,1367.122,
1224.161,1326.9058,
1221.251,1271.6014,
1218.340,1269.5019,
1215.430,1249.1727,
1212.519,1220.8169,
1209.608,1214.25,
1206.698,1219.6118,
1203.787,1235.4058,
1200.877,1236.4172,
1197.966,1239.1146,
1195.055,1320.3086,
1192.145,1316.2178,
1189.234,1351.7727,
1186.324,1369.3404,
1183.413,1359.5089,
1180.503,1363.3794,
1177.592,1379.9065,
1174.681,1355.661,
1171.771,1310.25,
1168.860,1310.25,
1165.950,1322.3443,
1163.039,1333.6308,
1160.129,1346.0978,
1157.218,1323.4058,
1154.307,1282.9744,
1151.397,1274.8097,
1148.486,1299.8466,
1145.576,1318.3997,
1142.665,1275.7799,
1139.754,1303.1679,
1136.844,1296.9442,
1133.933,1271.3088,
1131.023,1284.1595,
1128.112,1311.7504,
1125.202,1310.1485,
1122.291,1323.2608,
1119.380,1350.8949,
1116.470,1314.7112,
1113.559,1341.18,
1110.649,1326.6756,
1107.738,1313.1784,
1104.828,1305.1763,
1101.917,1287.8532,
1099.006,1271.3015,
1096.096,1275.1212,
1093.185,1256.6831,
1090.275,1302.9969,
1087.364,1329.3447,
1084.453,1287.8781,
1081.543,1279.6108,
1078.632,1318.817,
1075.722,1324.5067,
1072.811,1334.8705,
1069.901,1343.6031,
1066.990,1357.1833,
1064.079,1375.9018,
1061.169,1365.5764,
1058.258,1351.25,
1055.348,1362.7144,
1052.437,1390.742,
1049.527,1393.3171,
1046.616,1395.0548,
1043.705,1401.4161,
1040.795,1380.2638,
1037.884,1383.4336,
1034.974,1390.3119,
1032.063,1381.2113,
1029.153,1399.0037,
1026.242,1388.6242,
1023.331,1403.249,
1020.421,1437.6196,
1017.510,1461.335,
1014.600,1473.9022,
1011.689,1491.0827,
1008.778,1527.6331,
1005.868,1582.3041,
1002.957,1588.3265,
1000.047,1616.914,
997.136,1641.3458,
994.226,1631.6195,
991.315,1594.7673,
988.404,1568.5198,
985.494,1580.1925,
982.583,1577.6228,
979.673,1569.9335,
976.762,1553.1595,
973.852,1557.8363,
970.941,1575.0645,
968.030,1565.7875,
965.120,1529.3681,
962.209,1557.502,
959.299,1576.415,
956.388,1586.7297,
953.477,1582.0295,
950.567,1589.0725,
947.656,1634.6741,
944.746,1576.9043,
941.835,1605.0229,
938.925,1601.7212,
936.014,1598.2733,
933.103,1590.3634,
930.193,1576.8444,
927.282,1593.6002,
924.372,1563.1583,
921.461,1526.112,
918.551,1506.6979,
915.640,1502.0999,
912.729,1505.1285,
909.819,1504.9122,
906.908,1464.4758,
903.998,1456.6825,
901.087,1492.8039,
898.176,1509.9552,
895.266,1507.1544,
892.355,1517.6895,
889.445,1552.0994,
886.534,1540.5618,
883.624,1562.472,
880.713,1573.7396,
877.802,1597.9148,
874.892,1652.3393,
871.981,1688.3289,
869.071,1691.6706,
866.160,1655.6821,
863.250,1608.322,
860.339,1563.4252,
857.428,1539.9458,
854.518,1568.9481,
851.607,1593.0781,
848.697,1624.0749,
845.786,1639.8828,
842.875,1620.8789,
839.965,1576.7354,
837.054,1565.5198,
834.144,1589.5536,
831.233,1581.5842,
828.323,1579.7011,
825.412,1576.5229,
822.501,1561.4415,
819.591,1568.0527,
816.680,1601.9039,
813.770,1542.5877,
810.859,1517.1409,
807.949,1539.6598,
805.038,1548.1637,
802.127,1522.6468,
799.217,1479.9989,
796.306,1475.8987,
793.396,1477.4102,
790.485,1472.6722,
787.574,1488.565,
784.664,1470.5225,
781.753,1469.9339,
778.843,1461.4484,
775.932,1471.3114,
773.022,1514.6016,
770.111,1503.9731,
767.200,1491.8303,
764.290,1473.8031,
761.379,1471.1274,
758.469,1486.5983,
755.558,1498.9582,
752.648,1489.183,
749.737,1503.5697,
746.826,1512.25,
743.916,1503.594,
741.005,1484.8265,
738.095,1516.4897,
735.184,1508.094,
732.274,1451.7121,
729.363,1400.879,
726.452,1406.283,
723.542,1483.9848,
720.631,1471.4301,
717.721,1489.1638,
714.810,1510.0568,
711.899,1504.7747,
708.989,1455.5523,
706.078,1478.4878,
703.168,1467.855,
700.257,1460.9631,
697.347,1463.8589,
694.436,1454.3771,
691.525,1422.2249,
688.615,1418.3946,
685.704,1438.8128,
682.794,1465.8244,
679.883,1475.2592,
676.973,1497.6976,
674.062,1482.4695,
671.151,1483.5232,
668.241,1492.1026,
665.330,1469.4769,
662.420,1474.2693,
659.509,1471.4404,
656.598,1488.291,
653.688,1511.4097,
650.777,1504.3589,
647.867,1478.0801,
644.956,1479.0607,
642.046,1483.6646,
639.135,1490.1191,
636.224,1512.0272,
633.314,1467.5666,
630.403,1471.0303,
627.493,1492.0041,
624.582,1513.1346,
621.672,1530.5584,
618.761,1513.7714,
615.850,1502.7401,
612.940,1505.0807,
610.029,1516.0141,
607.119,1502.5904,
604.208,1506.2201,
601.297,1513.7337,
598.387,1524.696,
595.476,1538.5471,
592.566,1541.6954,
589.655,1505.9682,
586.745,1509.6843,
583.834,1540.25,
580.923,1540.1884,
578.013,1529.9869,
575.102,1528.3972,
572.192,1532.8228,
569.281,1543.6086,
566.371,1567.8699,
563.460,1551.9078,
560.549,1555.4574,
557.639,1561.6102,
554.728,1546.5456,
551.818,1551.2275,
548.907,1537.0147,
545.996,1528.0276,
543.086,1532.773,
540.175,1549.1246,
537.265,1512.5875,
534.354,1520.3244,
531.444,1549.7738,
528.533,1568.2015,
525.622,1553.4585,
522.712,1538.1149,
519.801,1547.0527,
516.891,1584.4228,
513.980,1634.7521,
511.070,1592.0587,
508.159,1603.2918,
505.248,1638.7522,
502.338,1644.0407,
499.427,1671.0548,
496.517,1697.4823,
493.606,1699.1268,
490.695,1675.9246,
487.785,1695.1694,
484.874,1697.6038,
481.964,1700.5722,
479.053,1696.0571,
476.143,1657.659,
473.232,1669.6381,
470.321,1694.7131,
467.411,1708.9185,
464.500,1689.1252,
461.590,1644.7123,
458.679,1682.8771,
455.769,1724.5651,
452.858,1726.284,
