,PLDADE~1,
Wavenumbers [1/cm],Intensity,
505.248,1354.6225,
502.338,1350.4142,
499.427,1385.9185,
496.517,1405.5568,
493.606,1414.721,
490.695,1421.9753,
487.785,1455.0763,
484.874,1438.4034,
481.964,1449.6306,
479.053,1478.6978,
476.143,1463.3386,
473.232,1418.4914,
470.321,1413.0528,
467.411,1430.9467,
464.500,1447.1423,
461.590,1437.9534,
458.679,1443.0791,
455.769,1451.5804,
452.858,1458.4429,
449.947,1478.3051,
447.037,1484.802,
444.126,1491.5508,
441.216,1495.4803,
438.305,1467.2889,
435.395,1502.0576,
432.484,1524.042,
429.573,1492.4721,
426.663,1347.2852,
423.752,908.55455,
420.842,406.43492,
417.931,69.021257,
415.020,208.55915,
412.110,832.31972,
409.199,1203.1401,
406.289,1337.6323,
403.378,1289.0138,
400.468,1182.4186,
397.557,1224.9833,
394.646,1353.1295,
391.736,1506.6929,
388.825,1579.0991,
385.915,1582.8126,
383.004,1585.3642,
380.094,1629.9527,
377.183,1621.6755,
374.272,1610.6905,
371.362,1614.5594,
368.451,1643.3354,
365.541,1675.6085,
362.630,1645.5919,
359.719,1609.5274,
356.809,1603.2295,
353.898,1650.4038,
350.988,1648.7279,
348.077,1646.8297,
345.167,1671.8831,
342.256,1662.1712,
339.345,1668.4094,
336.435,1671.9335,
333.524,1660.2341,
330.614,1655.7631,
327.703,1682.0989,
324.793,1701.9302,
321.882,1683.4435,
318.971,1711.6943,
316.061,1711.6087,
313.150,1716.1559,
310.240,1763.6513,
307.329,1725.3553,
304.418,1733.9965,
301.508,1761.0119,
298.597,1752.1269,
295.687,1733.0895,
292.776,1767.7086,
289.866,1835.8481,
286.955,1871.307,
284.044,1879.5375,
281.134,1900.63,
278.223,1927.5548,
275.313,1887.7646,
272.402,1843.9399,
269.492,1767.9954,
266.581,1653.8046,
263.670,1575.8755,
260.760,1636.9563,
257.849,1743.4004,
254.939,1829.2646,
252.028,1807.212,
249.117,1806.5979,
246.207,1842.3243,
243.296,1942.6133,
240.386,1931.1733,
237.475,1917.8383,
234.565,1911.4638,
231.654,1886.6308,
228.743,1845.7022,
225.833,1811.4477,
222.922,1792.3558,
220.012,1770.4991,
217.101,1776.6243,
214.191,1785.7852,
211.280,1770.5085,
208.369,1721.6053,
205.459,1690.7892,
202.548,1685.2664,
199.638,1719.3719,
196.727,1745.3901,
193.816,1761.4822,
190.906,1764.572,
187.995,1713.1662,
185.085,1739.3506,
182.174,1805.0251,
179.264,1866.4602,
176.353,1892.5984,
173.442,1871.8325,
170.532,1821.2474,
167.621,1863.064,
164.711,1811.3069,
161.800,1699.078,
158.890,1537.1393,
155.979,1538.2763,
153.068,1462.0573,
150.158,1321.2663,
147.247,1191.317,
144.337,1017.3888,
141.426,819.64292,
138.516,603.85866,
135.605,433.59265,
132.694,290.20734,
129.784,180.1766,
126.873,132.97803,
123.963,86.385441,
121.052,52.992505,
118.141,39.428367,
115.231,28.716445,
112.320,24.798636,
109.410,24.693224,
106.499,21.132448,
103.589,14.772455,
100.678,12.276352,
97.767,17.252915,
94.857,11.831088,
91.946,12.599887,
89.036,17.149204,
86.125,15.730794,
83.215,9.0039558,
