,PLA2FA~1,
Raman shift [1/cm],Intensity,
71.572,28.449408,
68.662,30.238058,
65.751,22.467096,
62.840,19.518298,
59.930,19.374572,
57.019,20.784736,
54.109,24.582965,
51.198,25.793563,
48.288,22.971688,
45.377,19.454797,
42.466,20.061097,
39.556,22.19417,
36.645,17.278838,
33.735,26.904218,
30.824,35.232904,
27.914,29.623502,
25.003,33.9811,
22.092,40.229046,
19.182,47.32036,
16.271,57.113222,
13.361,248.12734,
10.450,667.73693,
7.539,1613.2559,
4.629,2424.3758,
1.718,2807.9629,
-1.192,2331.8132,
-4.103,1385.0179,
-7.013,566.74188,
-9.924,3,
