,PLFC95~1,
Raman shift [1/cm],Intensity,
767.200,1400.8394,
764.290,1388.3522,
761.379,1372.4245,
758.469,1362.0479,
755.558,1332.5349,
752.648,1350.4562,
749.737,1313.5271,
746.826,1248.6414,
743.916,1169.1229,
741.005,1065.589,
738.095,831.76844,
735.184,668.13866,
732.274,619.78487,
729.363,743.68935,
726.452,1009.282,
723.542,1182.4922,
720.631,1248.5759,
717.721,1298.0794,
714.810,1318.9546,
711.899,1318.703,
708.989,1338.8761,
706.078,1325.3779,
703.168,1318.9639,
700.257,1328.9646,
697.347,1340.3484,
694.436,1320.0218,
691.525,1320.8256,
688.615,1313.4531,
685.704,1331.0164,
682.794,1348.532,
679.883,1311.5407,
676.973,1323.5612,
674.062,1323.4477,
671.151,1331.6433,
668.241,1352.5769,
665.330,1379.8109,
662.420,1375.8173,
659.509,1361.0315,
656.598,1350.4035,
653.688,1338.7185,
650.777,1312.1611,
647.867,1346.4032,
644.956,1345.951,
642.046,1332.708,
639.135,1326.0306,
636.224,1344.9005,
633.314,1325.0521,
630.403,1348.3781,
627.493,1371.4567,
624.582,1369.7606,
621.672,1337.2888,
618.761,1368.6774,
615.850,1359.7154,
612.940,1355.9537,
610.029,1382.5511,
607.119,1403.8711,
604.208,1386.8296,
601.297,1380.9941,
598.387,1388.7326,
595.476,1400.5488,
592.566,1374.5755,
589.655,1366.7605,
586.745,1364.566,
583.834,1353.0208,
580.923,1313.9479,
578.013,1305.3158,
575.102,1344.8719,
572.192,1372.0699,
569.281,1369.7804,
566.371,1396.3896,
563.460,1411.6984,
560.549,1413.1018,
557.639,1416.7883,
554.728,1438.6405,
551.818,1448.7846,
548.907,1484.5177,
545.996,1498.613,
543.086,1481.7994,
540.175,1457.6613,
537.265,1472.6584,
534.354,1479.5017,
531.444,1483.6226,
528.533,1493.9381,
525.622,1507.1292,
522.712,1505.7527,
519.801,1490.7798,
516.891,1479.1383,
513.980,1519.4016,
511.070,1514.5478,
508.159,1521.984,
505.248,1543.013,
502.338,1569.5708,
499.427,1554.9059,
496.517,1574.7576,
493.606,1593,
490.695,1595.0327,
487.785,1609.6587,
484.874,1588.0897,
481.964,1571.2625,
479.053,1567.8386,
476.143,1575.5182,
473.232,1563.0507,
470.321,1567.7315,
467.411,1560.2718,
464.500,1508.9891,
461.590,1548.0418,
458.679,1569.4556,
455.769,1569.1782,
452.858,1552.6247,
449.947,1577.8344,
447.037,1569.0445,
444.126,1571.4606,
441.216,1589.9417,
438.305,1583.8462,
435.395,1578.4105,
432.484,1586.0021,
429.573,1599.645,
426.663,1598.1247,
423.752,1619.62,
420.842,1640.4171,
417.931,1648.3978,
415.020,1628.6805,
412.110,1639.7058,
409.199,1668.9388,
406.289,1677.0435,
403.378,1621.8847,
400.468,1587.865,
397.557,1588.3113,
394.646,1582.5699,
391.736,1536.2374,
388.825,1481.1785,
385.915,1431.4718,
383.004,1414.2784,
380.094,1447.3033,
377.183,1492.4519,
374.272,1586.9598,
371.362,1675.7199,
368.451,1722.3617,
365.541,1711.8542,
362.630,1738.497,
359.719,1747.3137,
356.809,1709.1844,
353.898,1695.7061,
350.988,1701.2223,
348.077,1702.611,
345.167,1689.157,
342.256,1731.7399,
339.345,1740.28,
336.435,1719.7893,
333.524,1676.2918,
330.614,1717.2754,
327.703,1731.0268,
324.793,1730.1955,
321.882,1725.0973,
318.971,1765.2433,
316.061,1768.2571,
313.150,1767.1619,
310.240,1799.815,
307.329,1814.5781,
304.418,1795.3785,
301.508,1756.3507,
298.597,1720.0703,
295.687,1622.1863,
292.776,1608.6668,
289.866,1680.8686,
286.955,1813.1005,
284.044,2010.3648,
281.134,2128.4412,
278.223,2163.7781,
275.313,2237.4636,
272.402,2312.2521,
269.492,2372.1101,
266.581,2415.1484,
263.670,2501.1645,
260.760,2550.0296,
257.849,2577.3892,
254.939,2592.8007,
252.028,2611.82,
249.117,2618.5432,
246.207,2601.7107,
243.296,2538.7555,
240.386,2536.5709,
237.475,2519.4065,
234.565,2482.2483,
231.654,2445.7291,
228.743,2433.3971,
225.833,2412.316,
222.922,2368.7046,
220.012,2298.0347,
217.101,2286.7772,
214.191,2288.7277,
211.280,2254.5369,
208.369,2232.4884,
205.459,2197.0487,
202.548,2166.3984,
199.638,2215.0169,
196.727,2227.3049,
193.816,2242.847,
190.906,2274.8476,
187.995,2270.5035,
185.085,2247.7215,
182.174,2226.7424,
179.264,2236.8611,
176.353,2276.4467,
173.442,2280.5972,
170.532,2247.3118,
167.621,2224.2406,
164.711,2174.9034,
161.800,2106.5082,
158.890,2020.1409,
155.979,1886.5895,
153.068,1748.2967,
150.158,1587.1719,
147.247,1323.6834,
144.337,1088.2283,
141.426,860.8702,
138.516,633.61568,
135.605,468.17325,
132.694,323.86563,
129.784,206.17798,
126.873,140.38604,
123.963,98.546493,
121.052,68.784613,
118.141,48.081455,
115.231,35.920304,
112.320,31.847272,
109.410,32.727289,
106.499,31.302979,
103.589,25.95771,
100.678,20.37027,
97.767,16.104644,
94.857,26.394836,
91.946,27.372002,
89.036,20.645225,
86.125,12.134762,
83.215,13.185522,
80.304,16.478865,
77.393,17.895205,
74.483,16.034595,
71.572,12.101183,
68.662,7.2078025,
65.751,9.3271557,
62.840,10.481702,
59.930,11.187286,
57.019,11.892368,
54.109,7.2227132,
51.198,5.5080464,
48.288,8.9886751,
45.377,7.581919,
42.466,9.473316,
39.556,13.115119,
36.645,13.817309,
33.735,18.153988,
30.824,21.558226,
27.914,20.155876,
25.003,20.622637,
22.092,29.395519,
19.182,48.029729,
16.271,79.506785,
13.361,281.23463,
10.450,730.77963,
7.539,1833.4196,
4.629,2877.9651,
1.718,3438.5419,
-1.192,2951.2378,
-4.103,1835.3011,
-7.013,802.33405,
-9.924,-5,
