,PLBCE1~1,
Wavenumbers [1/cm],Intensity,
941.835,1837.8449,
938.925,1825.6119,
936.014,1801.1335,
933.103,1797.2526,
930.193,1800.6592,
927.282,1769.3334,
924.372,1752.4213,
921.461,1720.0576,
918.551,1704.6025,
915.640,1678.728,
912.729,1637.7841,
909.819,1615.6999,
906.908,1664.5605,
903.998,1634.6401,
901.087,1644.0722,
898.176,1666.6571,
895.266,1691.9938,
892.355,1716.9359,
889.445,1715.2573,
886.534,1723.5987,
883.624,1719.8673,
880.713,1735.6228,
877.802,1717.1213,
874.892,1623.5115,
871.981,1506.784,
869.071,1402.3574,
866.160,1433.9271,
863.250,1552.7033,
860.339,1672.8257,
857.428,1732.2065,
854.518,1733.4577,
851.607,1636.9376,
848.697,1564.5368,
845.786,1529.9086,
842.875,1574.0318,
839.965,1683.7455,
837.054,1736.3709,
834.144,1747.1447,
831.233,1737.9175,
828.323,1754.5057,
825.412,1768.557,
822.501,1750.9947,
819.591,1755.1267,
816.680,1734.4166,
813.770,1699.8044,
810.859,1683.1525,
807.949,1692.5183,
805.038,1711.0641,
802.127,1684.7241,
799.217,1642.7443,
796.306,1607.1147,
793.396,1613.609,
790.485,1646.249,
787.574,1630.4093,
784.664,1608.2663,
781.753,1619.6826,
778.843,1643.4227,
775.932,1671.3609,
773.022,1688.135,
770.111,1635.8099,
767.200,1661.1799,
764.290,1652.3358,
761.379,1642.4009,
758.469,1649.9705,
755.558,1660.1041,
752.648,1655.2165,
749.737,1647.7221,
746.826,1646.1149,
743.916,1649.3669,
741.005,1647.9399,
738.095,1609.7817,
735.184,1556.6259,
732.274,1492.5487,
729.363,1471.4151,
726.452,1530.0072,
723.542,1644.9411,
720.631,1617.6103,
717.721,1606.6772,
714.810,1615.0056,
711.899,1622.6658,
708.989,1594.4234,
706.078,1625.5008,
703.168,1626.5706,
700.257,1627.6134,
697.347,1623.2947,
694.436,1580.4464,
691.525,1587.6806,
688.615,1584.8476,
685.704,1593.0423,
682.794,1615.9095,
679.883,1644.214,
676.973,1643.4126,
674.062,1621.5552,
671.151,1622.3999,
668.241,1639.4882,
665.330,1640.1744,
662.420,1638.5769,
659.509,1635.0753,
656.598,1651.8582,
653.688,1659.4569,
650.777,1604.3031,
647.867,1635.3599,
644.956,1566.0945,
642.046,1508.885,
639.135,1500.5383,
636.224,1524.6399,
633.314,1602.4459,
630.403,1631.1182,
627.493,1643.0111,
624.582,1651.3671,
621.672,1647.4072,
618.761,1666.2485,
615.850,1662.8832,
612.940,1660.7146,
610.029,1669.8033,
607.119,1661.1173,
604.208,1697.1707,
601.297,1688.3211,
598.387,1666.2564,
595.476,1671.1757,
592.566,1670.3887,
589.655,1668.9542,
586.745,1652.6271,
583.834,1645.8642,
580.923,1694.1457,
578.013,1676.8816,
575.102,1665.3669,
572.192,1678.8288,
569.281,1714.4996,
566.371,1727.0216,
563.460,1725.4281,
560.549,1718.8899,
557.639,1712.7129,
554.728,1711.6442,
551.818,1717.8867,
548.907,1690.6076,
545.996,1690.5231,
543.086,1717.5724,
540.175,1709.7859,
537.265,1699.8344,
534.354,1698.7585,
531.444,1711.839,
528.533,1740.0777,
525.622,1751.7169,
522.712,1762.7445,
519.801,1767.8681,
516.891,1772.2582,
513.980,1797.0356,
511.070,1773.8935,
508.159,1811.4842,
505.248,1853.7348,
502.338,1823.3796,
499.427,1861.9712,
496.517,1894.3106,
493.606,1919.6623,
490.695,1928.9751,
487.785,1876.6293,
484.874,1917.363,
481.964,1940.5125,
479.053,1933.5953,
476.143,1926.6836,
473.232,1938.4799,
470.321,1907.2433,
467.411,1879.3804,
464.500,1909.5021,
461.590,1919.4567,
458.679,1943.7115,
455.769,1974.1676,
452.858,2000.1026,
449.947,1979.4764,
447.037,1984.9582,
444.126,1997.1651,
441.216,2006.0594,
438.305,1999.202,
435.395,2007.4289,
432.484,2005.1652,
429.573,1990.99,
426.663,1972.7466,
423.752,1803.8694,
420.842,1558.6227,
417.931,1347.0014,
415.020,1325.009,
412.110,1670.303,
409.199,1876.4675,
406.289,1960.2339,
403.378,1963.2321,
400.468,1957.9401,
397.557,1953.6793,
394.646,1995.1533,
391.736,2113.6222,
388.825,2094.0122,
385.915,2078.1383,
383.004,2088.0959,
380.094,2136.7472,
377.183,2166.0938,
374.272,2178.0495,
371.362,2185.0763,
368.451,2194.9795,
365.541,2206.988,
362.630,2209.1575,
359.719,2205.5863,
356.809,2199.5672,
353.898,2204.8088,
350.988,2233.3743,
348.077,2240.8583,
345.167,2205.7097,
342.256,2254.2691,
339.345,2252.8385,
336.435,2235.9189,
333.524,2227.7432,
330.614,2243.3915,
327.703,2252.3572,
324.793,2241.8137,
321.882,2200.36,
318.971,2245.71,
