,PLA4EC~1,
Raman shift [1/cm],Intensity,
368.451,3932.3898,
365.541,3951.1532,
362.630,3957.8887,
359.719,3975.2322,
356.809,4014.5187,
353.898,4035.485,
350.988,4033.1127,
348.077,4013.1816,
345.167,3983.1042,
342.256,4019.7106,
339.345,4050.9759,
336.435,4080.0761,
333.524,4109.0486,
330.614,4134.3839,
327.703,4134.0355,
324.793,4141.7175,
321.882,4186.259,
318.971,4189.9762,
316.061,4203.9462,
313.150,4228.7976,
310.240,4265.9034,
307.329,4333.7112,
304.418,4373.4726,
301.508,4378.0254,
298.597,4335.8216,
295.687,4387.1065,
292.776,4466.167,
289.866,4587.7356,
286.955,4813.0469,
284.044,5010.3323,
281.134,5215.1146,
278.223,5419.1116,
275.313,5548.0613,
272.402,5702.4678,
269.492,5838.9262,
266.581,5941.3459,
263.670,6026.6268,
260.760,6116.0255,
257.849,6212.9742,
254.939,6320.8549,
252.028,6382.3291,
249.117,6379.2108,
246.207,6352.9853,
243.296,6371.2862,
240.386,6389.5748,
237.475,6309.5028,
234.565,6156.4368,
231.654,6087.7807,
228.743,5985.2187,
225.833,5864.7589,
222.922,5734.2751,
220.012,5649.0341,
217.101,5563.3455,
214.191,5504.9985,
211.280,5510.8182,
208.369,5487.7015,
205.459,5430.7355,
202.548,5364.0049,
199.638,5374.164,
196.727,5420.6186,
193.816,5451.1428,
190.906,5445.412,
187.995,5421.5192,
185.085,5423.6528,
182.174,5428.3941,
179.264,5403.0973,
176.353,5492.5222,
173.442,5530.4728,
170.532,5500.0335,
167.621,5446.6813,
164.711,5346.0569,
161.800,5208.5292,
158.890,5033.6354,
155.979,4736.9863,
153.068,4374.1942,
150.158,3942.1508,
147.247,3400.8148,
144.337,2794.5462,
141.426,2190.7384,
138.516,1620.8098,
135.605,1154.7954,
132.694,782.58565,
129.784,504.14614,
126.873,349.67809,
123.963,240.28739,
121.052,162.26962,
118.141,114.43819,
115.231,85.116615,
112.320,71.13182,
109.410,66.204671,
106.499,55.522343,
103.589,53.25,
100.678,47.002701,
97.767,30.651137,
94.857,34.407934,
91.946,33.025113,
89.036,29.830571,
86.125,39.759445,
83.215,33.224354,
80.304,24.531702,
77.393,22.407192,
74.483,18.31919,
71.572,18.786465,
68.662,22.834395,
65.751,18.595689,
62.840,19.65851,
59.930,20.564424,
57.019,14.218686,
54.109,10.264196,
51.198,9.7580464,
48.288,13.329274,
45.377,23.176567,
42.466,24.364465,
39.556,19.904644,
36.645,17.798074,
33.735,17.769248,
30.824,19.133548,
27.914,21.938249,
25.003,21.627363,
22.092,21.895809,
19.182,23.982252,
