,PL6CF5~1,
Wavenumbers [1/cm],Intensity,
630.403,2550.0033,
627.493,2530.6874,
624.582,2493.2063,
621.672,2496.3743,
618.761,2490.4205,
615.850,2524.8652,
612.940,2555.8661,
610.029,2557.5793,
607.119,2552.0519,
604.208,2582.7406,
601.297,2555.1201,
598.387,2518.5129,
595.476,2531.0998,
592.566,2558.6472,
589.655,2569.331,
586.745,2532.5749,
583.834,2499.8234,
580.923,2568.5142,
578.013,2570.8684,
575.102,2572.0736,
572.192,2582.1467,
569.281,2611.5916,
566.371,2678.8972,
563.460,2637.5282,
560.549,2611.6527,
557.639,2592.8775,
554.728,2561.3577,
551.818,2606.6161,
548.907,2598.2176,
545.996,2597.7749,
543.086,2618.0164,
540.175,2629.6961,
537.265,2599.356,
534.354,2580.978,
531.444,2597.0713,
528.533,2652.8513,
525.622,2615.6058,
522.712,2659.6808,
519.801,2688.5356,
516.891,2685.5082,
513.980,2710.2856,
511.070,2730.1087,
508.159,2773.3175,
505.248,2821.7634,
502.338,2849.997,
499.427,2866.9773,
496.517,2900.3485,
493.606,2928.8933,
490.695,2938.5044,
487.785,2916.9503,
484.874,2944.5187,
481.964,2956.9319,
479.053,2947.3744,
476.143,2934.319,
473.232,2911.1985,
470.321,2899.094,
467.411,2899.5522,
464.500,2912.1982,
461.590,2939.7648,
458.679,2988.2218,
455.769,3033.4724,
452.858,3060.3749,
449.947,3068.7781,
447.037,3065.6459,
444.126,3075.0697,
441.216,3101.9238,
438.305,3133.163,
435.395,3121.1091,
432.484,3137.0884,
429.573,3172.0325,
426.663,3174.3129,
423.752,3133.3523,
420.842,3078.5084,
417.931,3030.837,
415.020,3017.9449,
412.110,3178.4549,
409.199,3285.9107,
406.289,3320.0194,
403.378,3269.728,
400.468,3337.0115,
397.557,3322.5095,
394.646,3322.7069,
391.736,3416.0312,
388.825,3432.6243,
385.915,3408.7615,
383.004,3393.2085,
380.094,3416.6171,
377.183,3399.3101,
374.272,3408.6123,
371.362,3434.922,
368.451,3470.503,
365.541,3487.0148,
362.630,3465.8267,
359.719,3463.4419,
356.809,3505.4643,
353.898,3455.2948,
350.988,3486.5264,
348.077,3510.8508,
345.167,3478.2568,
342.256,3493.1982,
339.345,3500.1572,
336.435,3508.8846,
333.524,3525.1007,
330.614,3512.4331,
327.703,3511.5804,
324.793,3515.2734,
321.882,3517.5811,
318.971,3551.036,
316.061,3620.1211,
313.150,3680.5,
310.240,3680.5,
307.329,3718.3758,
304.418,3755.8417,
301.508,3775.8046,
298.597,3750.6304,
295.687,3747.1455,
292.776,3768.5835,
289.866,3827.3686,
286.955,3959.6005,
284.044,3983.56,
281.134,4002.0521,
278.223,4028.0689,
275.313,4025.1215,
272.402,4031.4708,
269.492,4068.1853,
266.581,4139.4428,
263.670,4180.6129,
260.760,4243.1712,
257.849,4306.1808,
254.939,4353.8831,
252.028,4332.0608,
249.117,4318.4749,
246.207,4319.5082,
243.296,4346.5936,
240.386,4340.3581,
237.475,4308.2227,
234.565,4260.8189,
231.654,4237.4466,
228.743,4254.364,
225.833,4229.339,
222.922,4137.1987,
220.012,4173.6264,
217.101,4177.1578,
214.191,4183.5807,
211.280,4233.7756,
208.369,4234.8087,
205.459,4203.157,
202.548,4154.993,
199.638,4140.48,
196.727,4241.2189,
193.816,4311.4795,
190.906,4298.8459,
187.995,4337.2192,
185.085,4359.9571,
182.174,4393.8101,
179.264,4479.8193,
176.353,4478.6068,
173.442,4498.2416,
170.532,4543.164,
167.621,4540.2801,
164.711,4438.591,
161.800,4295.1521,
158.890,4141.8502,
155.979,3903.0674,
153.068,3584.2029,
150.158,3200.6317,
147.247,2789.963,
144.337,2298.115,
141.426,1804.0415,
138.516,1343.7974,
135.605,966.83023,
132.694,657.95982,
129.784,420.29849,
126.873,285.85408,
123.963,201.59299,
121.052,140.36949,
118.141,94.679762,
115.231,76.025171,
112.320,63.840005,
109.410,55.591026,
106.499,45.620853,
103.589,38.45771,
100.678,32.598648,
97.767,27.622085,
94.857,31.657934,
91.946,31.484446,
89.036,27.93551,
86.125,24.389484,
83.215,17.128956,
80.304,12.936596,
77.393,17.185616,
74.483,22.74108,
71.572,21.514127,
68.662,14.569267,
65.751,15.275719,
62.840,15.5,
59.930,14.563569,
57.019,11.038159,
54.109,14.680126,
51.198,17.198391,
48.288,16.443376,
45.377,9.4095949,
42.466,11.034413,
39.556,17.039526,
36.645,14.230765,
33.735,15.057745,
30.824,14.512017,
27.914,8.20144,
25.003,8.745275,
22.092,11.760332,
19.182,17.163603,
16.271,37.448817,
13.361,129.37014,
10.450,285.96547,
7.539,526.88427,
4.629,701.02619,
1.718,718.90409,
-1.192,436.56055,
-4.103,232.17555,
-7.013,86.409271,
-9.924,1.5,
