,PLD6D5~1,
Raman shift [1/cm],Intensity,
807.949,3788.3433,
805.038,3781.5697,
802.127,3791.4472,
799.217,3714.8543,
796.306,3728.105,
793.396,3765.3827,
790.485,3774.2692,
787.574,3763.7906,
784.664,3695.7213,
781.753,3699.4786,
778.843,3754.913,
775.932,3789.8691,
773.022,3762.5737,
770.111,3796.0944,
767.200,3814.3626,
764.290,3811.2847,
761.379,3792.7712,
758.469,3768.9804,
755.558,3751.8644,
752.648,3734.7578,
749.737,3711.1385,
746.826,3734.4091,
743.916,3752.7124,
741.005,3683.2349,
738.095,3540.3446,
735.184,3444.7184,
732.274,3416.5304,
729.363,3465.4386,
726.452,3574.9395,
723.542,3677.7325,
720.631,3691.7849,
717.721,3710.4147,
714.810,3703.7217,
711.899,3682.0285,
708.989,3719.147,
706.078,3693.7333,
703.168,3664.9078,
700.257,3649.1373,
697.347,3639.115,
694.436,3608.4585,
691.525,3574.6987,
688.615,3609.5121,
685.704,3620.5608,
682.794,3600.7367,
679.883,3595.8075,
676.973,3605.424,
674.062,3566.5377,
671.151,3561.7849,
668.241,3584.6603,
665.330,3582.375,
662.420,3582.375,
659.509,3622.3757,
656.598,3639.3165,
653.688,3638.7364,
650.777,3662.5109,
647.867,3637.0284,
644.956,3620.8494,
642.046,3601.9371,
639.135,3586.8903,
636.224,3596.8166,
633.314,3684.9438,
630.403,3686.0914,
627.493,3707.0939,
624.582,3754.1339,
621.672,3708.1982,
618.761,3698.0157,
615.850,3726.2303,
612.940,3785.1869,
610.029,3846.2978,
607.119,3821.8193,
604.208,3817.955,
601.297,3834.8231,
598.387,3844.0627,
595.476,3828.9459,
592.566,3887.9761,
589.655,3842.0086,
586.745,3830.4696,
583.834,3829.6837,
580.923,3738.6025,
578.013,3776.2697,
575.102,3784.0806,
572.192,3788.8061,
569.281,3803.6088,
566.371,3821.6091,
563.460,3867.8195,
560.549,3860.062,
557.639,3846.0717,
554.728,3884.1633,
551.818,3896.6484,
548.907,3948.7375,
545.996,3998.2593,
543.086,4024.8651,
540.175,4017.8573,
537.265,4037.6548,
534.354,4047.3818,
531.444,4063.5866,
528.533,4105.7277,
525.622,4180.9946,
522.712,4214.3641,
519.801,4257.8348,
516.891,4317.4177,
513.980,4352.261,
511.070,4417.3576,
508.159,4468.2085,
505.248,4523.666,
502.338,4610.4083,
499.427,4679.8732,
496.517,4743.6275,
493.606,4775.6831,
