,PLCF4F~1,
Raman shift [1/cm],Intensity,
1416.259,1360.4107,
1413.349,1397.2411,
1410.438,1364.4139,
1407.528,1389.9182,
1404.617,1380.4466,
1401.707,1369.2186,
1398.796,1401.2692,
1395.885,1411.2715,
1392.975,1370.1866,
1390.064,1303.8951,
1387.154,1227.312,
1384.243,1171.1195,
1381.332,1142.2706,
1378.422,1162.7797,
1375.511,1284.5612,
1372.601,1353.7746,
1369.690,1470.9389,
1366.780,1562.3672,
1363.869,1604.7473,
1360.958,1637.2678,
1358.048,1684.5054,
1355.137,1726.8989,
1352.227,1737.5523,
1349.316,1771.327,
1346.406,1831.3489,
1343.495,1847.1638,
1340.584,1930.0708,
1337.674,1964.5688,
1334.763,1926.217,
1331.853,1997.6138,
1328.942,2058.3152,
1326.032,2036.9533,
1323.121,2106.0784,
1320.210,2117.1838,
1317.300,2161.4404,
1314.389,2251.9733,
1311.479,2339.7619,
1308.568,2420.264,
1305.657,2481.9048,
1302.747,2496.0139,
1299.836,2551.7508,
1296.926,2655.5083,
1294.015,2698.7165,
1291.105,2798.2401,
1288.194,2886.5818,
1285.283,2927.6961,
1282.373,2992.1873,
1279.462,3040.4213,
1276.552,3084.6261,
1273.641,3104.1769,
1270.731,3087.203,
1267.820,3105.3065,
1264.909,3082.115,
1261.999,3055.1699,
1259.088,2991.3214,
1256.178,2960.0934,
1253.267,2925.5794,
1250.356,2852.1609,
1247.446,2812.1124,
1244.535,2734.6386,
1241.625,2639.8927,
1238.714,2587.8183,
1235.804,2532.738,
1232.893,2476.386,
1229.982,2424.6908,
1227.072,2371.2774,
1224.161,2316.2293,
1221.251,2254.3844,
1218.340,2199.5747,
1215.430,2143.7152,
1212.519,2094.1258,
1209.608,2088.9907,
1206.698,2118.3722,
1203.787,2103.9271,
1200.877,2127.0691,
1197.966,2200.8002,
1195.055,2265.9339,
1192.145,2287.7702,
1189.234,2375.843,
1186.324,2470.5956,
1183.413,2540.2056,
1180.503,2552.5549,
1177.592,2514.7931,
1174.681,2533.8425,
1171.771,2452.7582,
1168.860,2420.607,
1165.950,2378.7981,
1163.039,2324.1038,
1160.129,2325.1449,
1157.218,2384.6892,
1154.307,2445.7438,
1151.397,2480.8373,
1148.486,2518.0533,
1145.576,2497.6905,
1142.665,2479.0443,
1139.754,2494.5862,
1136.844,2445.9773,
1133.933,2432.8841,
1131.023,2408.8138,
1128.112,2365.2156,
1125.202,2348.7415,
1122.291,2350.252,
1119.380,2355.7598,
1116.470,2382.2357,
1113.559,2353.0235,
1110.649,2358.5614,
1107.738,2330.6002,
1104.828,2297.4195,
1101.917,2282.3693,
1099.006,2243.1601,
1096.096,2193.9087,
1093.185,2184.2507,
1090.275,2223.9635,
1087.364,2249.9669,
1084.453,2264.2496,
1081.543,2285.7142,
1078.632,2309.0072,
1075.722,2315.0642,
1072.811,2319.3616,
1069.901,2345.5594,
1066.990,2352.35,
1064.079,2352.139,
1061.169,2367.5167,
1058.258,2358.4788,
1055.348,2337.6127,
1052.437,2354.9083,
1049.527,2330.728,
1046.616,2310.7449,
1043.705,2303.1046,
1040.795,2277.8753,
1037.884,2295.35,
1034.974,2303.8995,
1032.063,2265.5924,
1029.153,2262.6159,
1026.242,2288.5646,
1023.331,2300.3326,
1020.421,2336.658,
1017.510,2386.2371,
1014.600,2436.3382,
1011.689,2478.0476,
1008.778,2507.7254,
1005.868,2526.9247,
1002.957,2574.2442,
1000.047,2621.54,
997.136,2688.1847,
994.226,2703.5311,
991.315,2649.4901,
988.404,2576.9071,
985.494,2532.4616,
982.583,2530.7485,
979.673,2493.9177,
976.762,2478.7387,
973.852,2481.4781,
970.941,2471.681,
968.030,2438.4538,
965.120,2449.5609,
962.209,2464.0541,
959.299,2496.2465,
956.388,2519.6993,
953.477,2526.8559,
950.567,2527.6371,
947.656,2538.0597,
944.746,2549.9535,
941.835,2535.9234,
938.925,2533.1581,
936.014,2556.768,
933.103,2570.6726,
930.193,2533.126,
927.282,2446.3085,
924.372,2424.3227,
921.461,2397.9352,
918.551,2365.1008,
915.640,2344.9503,
912.729,2339.3531,
909.819,2332.1655,
906.908,2322.0564,
903.998,2335.8166,
901.087,2338.227,
898.176,2364.7001,
895.266,2402.435,
892.355,2427.0389,
889.445,2467.3237,
886.534,2466.6651,
883.624,2490.0491,
880.713,2484.6583,
877.802,2478.5744,
874.892,2491.8008,
871.981,2465.6912,
869.071,2431.4392,
866.160,2439.9892,
863.250,2463.2745,
860.339,2492.103,
857.428,2503.2997,
854.518,2447.7166,
851.607,2455.2053,
848.697,2447.5584,
845.786,2423.7793,
842.875,2434.8621,
839.965,2483.9319,
837.054,2458.6396,
834.144,2471.0708,
831.233,2508.8308,
828.323,2522.5434,
825.412,2522.6855,
822.501,2524.202,
819.591,2483.7084,
816.680,2512.1475,
813.770,2495.6929,
810.859,2468.8653,
807.949,2452.1219,
805.038,2452.5819,
802.127,2486.3301,
799.217,2425.3964,
796.306,2392.7161,
793.396,2373.9884,
790.485,2357.7106,
787.574,2358.6246,
784.664,2361.905,
781.753,2367.1969,
778.843,2378.3215,
775.932,2386.2655,
773.022,2394.5314,
770.111,2465.6607,
767.200,2424.0599,
764.290,2433.7709,
761.379,2451.1061,
758.469,2433.5494,
755.558,2368.5518,
752.648,2336.7823,
749.737,2300.4717,
746.826,2247.2023,
743.916,2164.2916,
741.005,2033.3553,
738.095,1793.0398,
735.184,1455.5942,
732.274,1391.4005,
729.363,1580.0009,
726.452,1894.1306,
723.542,2152.3271,
720.631,2249.0702,
717.721,2287.6754,
714.810,2311.2045,
711.899,2324.6584,
708.989,2286.7329,
706.078,2271.2752,
703.168,2281.4661,
700.257,2267.8085,
697.347,2239.63,
694.436,2254.129,
691.525,2240.4643,
688.615,2276.4925,
685.704,2264.5328,
682.794,2230.6701,
679.883,2269.8152,
676.973,2254.5891,
674.062,2292.3373,
671.151,2299.2818,
668.241,2288.2682,
665.330,2321.9202,
662.420,2373.0391,
659.509,2357.4678,
656.598,2352.886,
653.688,2363.7395,
650.777,2354.743,
647.867,2361.91,
644.956,2346.7829,
642.046,2331.5248,
639.135,2331.8363,
636.224,2359.5875,
633.314,2377.0542,
630.403,2400.4187,
627.493,2401.5937,
624.582,2380.028,
621.672,2368.9401,
618.761,2340.3822,
615.850,2352.9885,
612.940,2366.4016,
610.029,2362.3142,
607.119,2385.2134,
604.208,2411.6405,
601.297,2399.5652,
598.387,2386.099,
595.476,2403.4889,
592.566,2360.9872,
589.655,2372.2888,
586.745,2374.2546,
583.834,2353.6187,
580.923,2318.3484,
578.013,2293.2369,
575.102,2314.6058,
572.192,2373.7294,
569.281,2446.1556,
566.371,2466.5038,
563.460,2455.0961,
560.549,2486.5332,
557.639,2518.7859,
554.728,2502.0767,
551.818,2527.0468,
548.907,2557.4859,
545.996,2558.726,
543.086,2544.3914,
540.175,2585.6596,
537.265,2577.6358,
534.354,2589.5541,
531.444,2607.1719,
528.533,2609.679,
525.622,2584.0727,
522.712,2563.3312,
519.801,2574.5034,
516.891,2613.5082,
513.980,2638.2856,
511.070,2636.9783,
508.159,2655.0802,
505.248,2673.4957,
502.338,2665.494,
499.427,2699.4547,
496.517,2686.4394,
493.606,2691.0355,
490.695,2732.4302,
487.785,2724.7322,
484.874,2745.4716,
481.964,2713.0652,
479.053,2657.1189,
476.143,2684.7655,
473.232,2723.1896,
470.321,2688.8424,
467.411,2645.0978,
464.500,2666.7824,
461.590,2638.4501,
458.679,2676.1745,
455.769,2714.1301,
452.858,2712.7958,
449.947,2686.8221,
447.037,2733.0746,
444.126,2757.6273,
441.216,2736.9439,
438.305,2704.9428,
435.395,2718.8578,
432.484,2756.4224,
429.573,2793.5475,
426.663,2785.1859,
423.752,2729.4039,
420.842,2726.9642,
417.931,2754.8702,
415.020,2763.2121,
412.110,2879.0949,
409.199,2943.0159,
406.289,2943.8538,
403.378,2877.4718,
400.468,2869.1559,
397.557,2874.7264,
394.646,2849.9092,
391.736,2759.4477,
388.825,2695.338,
385.915,2637.6499,
383.004,2624.6302,
380.094,2683.2584,
377.183,2796.1298,
374.272,2872.008,
371.362,2951.8831,
368.451,3052.5426,
365.541,3036.7813,
362.630,3029.2226,
359.719,3028.8677,
356.809,3033.322,
353.898,3013.8532,
350.988,2994.3953,
348.077,2988.889,
345.167,3006.3164,
342.256,3042.1757,
339.345,3025.9284,
336.435,3007.4967,
333.524,3021.4865,
330.614,3052.783,
327.703,3059.933,
324.793,3066.5227,
321.882,3092.5757,
318.971,3123.8003,
316.061,3177.96,
313.150,3226.9643,
310.240,3238.096,
307.329,3261.3684,
304.418,3284.6346,
301.508,3274.5215,
298.597,3173.0844,
295.687,3121.8339,
292.776,3129.8335,
289.866,3220.2551,
286.955,3461.0796,
284.044,3675.1298,
281.134,3866.5176,
278.223,4032.3916,
275.313,4154.7096,
272.402,4294.9379,
269.492,4422.1762,
266.581,4523.0194,
263.670,4586.2449,
260.760,4664.5741,
257.849,4754.9146,
254.939,4856.1904,
252.028,4882.1107,
249.117,4851.2992,
246.207,4819.0317,
243.296,4879.0587,
240.386,4777.1034,
237.475,4704.1325,
234.565,4666.6162,
231.654,4584.8132,
228.743,4541.0331,
225.833,4471.497,
222.922,4355.0539,
220.012,4302.5979,
217.101,4235.9377,
214.191,4167.8894,
211.280,4112.6022,
208.369,4082.2603,
205.459,4045.545,
202.548,4014.89,
199.638,4046.0929,
196.727,4039.247,
193.816,4027.0918,
190.906,4022.4142,
187.995,4048.4791,
185.085,4045.2058,
182.174,4032.2835,
179.264,4035.1746,
176.353,4054.0826,
173.442,4067.0379,
170.532,4070.1559,
167.621,4058.6203,
164.711,3996.1108,
161.800,3896.542,
158.890,3761.953,
