,PLE80A~1,
Wavenumbers [1/cm],Intensity,
543.086,1314.6184,
540.175,1339.5351,
537.265,1283.3077,
534.354,1267.2703,
531.444,1279.9378,
528.533,1297.25,
525.622,1297.25,
522.712,1308.1716,
519.801,1316.3956,
516.891,1325.1362,
513.980,1359.2052,
511.070,1353.7978,
508.159,1369.8302,
505.248,1387.7449,
502.338,1378.357,
499.427,1416.1768,
496.517,1426.25,
493.606,1443.4111,
490.695,1468.9052,
487.785,1408.8615,
484.874,1396.6651,
481.964,1417.2597,
479.053,1454.1335,
476.143,1478.7083,
473.232,1460.8261,
470.321,1444.005,
467.411,1428.425,
464.500,1411.9288,
461.590,1438.7297,
458.679,1466.6109,
455.769,1490.1814,
452.858,1502.5458,
449.947,1476.5721,
447.037,1479.7446,
444.126,1483.0318,
441.216,1488.3779,
438.305,1540.9512,
435.395,1522.0245,
432.484,1501.1652,
429.573,1483.2624,
426.663,1449.0561,
423.752,1294.2127,
420.842,1159.2904,
417.931,1050.5319,
415.020,956.49546,
412.110,1240.0424,
409.199,1412.2426,
406.289,1471.4269,
403.378,1438.355,
400.468,1469.3508,
397.557,1465.8821,
394.646,1494.7292,
391.736,1607.081,
388.825,1601.8014,
385.915,1575.7691,
383.004,1569.0983,
380.094,1606.4419,
377.183,1610.2043,
374.272,1619.9345,
371.362,1620.1861,
368.451,1605.9855,
365.541,1651.0176,
362.630,1675.8135,
359.719,1678.5548,
356.809,1659.2532,
353.898,1642.7796,
350.988,1662.1194,
348.077,1669.472,
345.167,1638.6663,
342.256,1646.884,
339.345,1658.2844,
336.435,1675.4105,
333.524,1699.9312,
330.614,1721.5407,
327.703,1706.1736,
324.793,1678.0318,
321.882,1657.3095,
318.971,1681.8431,
316.061,1720.0372,
313.150,1740.6262,
310.240,1706.4889,
307.329,1730.9769,
304.418,1744.4417,
301.508,1747.6592,
298.597,1745.438,
295.687,1745.25,
292.776,1768.5835,
289.866,1809.3459,
286.955,1847.7596,
284.044,1840.6,
281.134,1850.2832,
278.223,1883.669,
275.313,1913.8801,
272.402,1884.234,
269.492,1868.3893,
266.581,1889.2515,
263.670,1875.2831,
260.760,1905.2049,
257.849,1954.9838,
254.939,2008.5572,
252.028,1960.7524,
249.117,1952.3002,
246.207,1981.1076,
243.296,2046.2588,
240.386,2022.5594,
237.475,2013.5496,
234.565,2027.7808,
231.654,2043.8492,
228.743,2039.7702,
225.833,2022.6639,
222.922,1998.4243,
220.012,2045.0519,
217.101,2030.3163,
214.191,2006.0254,
211.280,2028.5767,
208.369,2057.1625,
205.459,2063.4627,
202.548,2044.6009,
199.638,1994.5312,
196.727,2051.6673,
193.816,2105.1633,
190.906,2114.5293,
187.995,2122.4936,
185.085,2139.9085,
182.174,2162.3224,
179.264,2184.7281,
176.353,2176.9975,
173.442,2175.6007,
170.532,2185.6022,
167.621,2205.7895,
164.711,2131.8893,
161.800,2016.7497,
158.890,1889.3579,
155.979,1818.8871,
153.068,1698.8421,
150.158,1535.5682,
147.247,1361.1058,
144.337,1104.213,
141.426,848.51792,
138.516,632.73366,
135.605,452.55645,
132.694,306.7776,
129.784,195.84609,
126.873,132.19954,
123.963,90.227423,
121.052,62.300926,
118.141,47.308984,
115.231,38.723156,
112.320,29.742733,
109.410,21.840934,
106.499,19.704469,
103.589,19.810254,
100.678,18.077026,
97.767,12.389526,
94.857,17.100923,
91.946,19.653111,
89.036,19.008123,
86.125,11.206865,
83.215,6.0644779,
80.304,3.9682981,
77.393,6.0928079,
74.483,12.146215,
71.572,13.800592,
68.662,11.111465,
65.751,9.6985628,
62.840,8.286596,
59.930,6.1262828,
57.019,1.8957909,
54.109,5.4301259,
51.198,8.5516093,
48.288,9.2386751,
45.377,7.831919,
42.466,10.959974,
39.556,15.329051,
36.645,9.7115297,
33.735,11.365491,
30.824,12.703791,
27.914,7.7955645,
25.003,12.2311,
22.092,18.479046,
19.182,26.096666,
16.271,51.977801,
13.361,217.34654,
10.450,540.10344,
7.539,1178.3637,
4.629,1694.3183,
1.718,1857.6109,
-1.192,1320.8096,
-4.103,790.42119,
-7.013,341.75893,
-9.924,-2.75,
