,PLFE11~1,
Wavenumbers [1/cm],Intensity,
1122.291,862.25945,
1119.380,886.62874,
1116.470,874.27335,
1113.559,891.30798,
1110.649,866.6271,
1107.738,857.71563,
1104.828,872.90419,
1101.917,879.53672,
1099.006,860.54392,
1096.096,841.44879,
1093.185,852.86283,
1090.275,856.17781,
1087.364,882.13654,
1084.453,866.18925,
1081.543,870.60504,
1078.632,888.08028,
1075.722,855.44254,
1072.811,861.94332,
1069.901,850.59093,
1066.990,896.63322,
1064.079,896.86178,
1061.169,894.51151,
1058.258,891.24469,
1055.348,891.39292,
1052.437,911.71786,
1049.527,920.94441,
1046.616,900.0925,
1043.705,919.33142,
1040.795,902.76384,
1037.884,891.77295,
1034.974,898.96392,
1032.063,904.88856,
1029.153,898.13883,
1026.242,918.03283,
1023.331,936.24888,
1020.421,943.23551,
1017.510,931.30338,
1014.600,955.85319,
1011.689,985.79057,
1008.778,946.32122,
1005.868,979.03572,
1002.957,1010.8688,
1000.047,1044.87,
997.136,1073.9571,
994.226,1072.0272,
991.315,1053.4455,
988.404,1045.4541,
985.494,1008.1911,
982.583,1027.8919,
979.673,1044.6513,
976.762,1018.6336,
973.852,1000.2861,
970.941,1000.3043,
968.030,992.30495,
965.120,1006.8073,
962.209,1020.448,
959.299,1016.3758,
956.388,1019.9096,
953.477,1020.2287,
950.567,1021.8541,
947.656,1039.8479,
944.746,1002.4675,
941.835,1033.1425,
938.925,1034.8275,
936.014,1032.7617,
933.103,1033.75,
930.193,1031.9522,
927.282,1024.2001,
924.372,1014.0528,
921.461,1002.4404,
918.551,974.93173,
915.640,943.30191,
912.729,932.3374,
909.819,955.52759,
906.908,953.84274,
903.998,921.93543,
901.087,926.48012,
898.176,952.8378,
895.266,976.60659,
892.355,981.9647,
889.445,977.76837,
886.534,971.07103,
883.624,991.95346,
880.713,1003.7707,
877.802,997.80217,
874.892,983.27923,
871.981,978.34797,
869.071,1046.0164,
866.160,1011.5227,
863.250,1002.8067,
860.339,1003.0108,
857.428,987.57618,
854.518,1003.3649,
851.607,990.05174,
848.697,983.6231,
845.786,967.21895,
842.875,983.46162,
839.965,1029.0507,
837.054,984.92677,
834.144,1000.6731,
831.233,997.08382,
828.323,1003.6414,
825.412,1009.2425,
822.501,994.53711,
819.591,965.61313,
816.680,1013.6283,
813.770,971.87077,
810.859,963.66576,
807.949,981.72556,
805.038,952.55088,
802.127,950.90463,
799.217,934.3514,
796.306,919.10128,
793.396,922.65088,
790.485,935.53839,
787.574,919.65659,
784.664,917.19625,
781.753,930.16968,
778.843,950.4723,
775.932,962.89818,
773.022,955.45326,
770.111,934.19623,
767.200,934.27262,
764.290,941.68453,
761.379,940.84199,
758.469,929.44807,
755.558,920.82294,
752.648,923.26675,
749.737,942.68089,
746.826,947.15535,
743.916,935.72395,
741.005,914.67996,
738.095,843.2348,
735.184,806.14761,
732.274,783.70615,
729.363,797.28613,
726.452,855.15185,
723.542,918.28453,
720.631,903.40106,
717.721,916.6539,
714.810,936.07951,
711.899,943.24504,
708.989,936.78964,
706.078,927.93567,
703.168,922.7139,
700.257,922.40029,
697.347,918.66368,
694.436,896.99004,
691.525,905.8319,
688.615,925.98842,
685.704,935.45492,
682.794,935.85636,
679.883,943.18252,
676.973,952.79897,
674.062,936.24562,
671.151,930.57163,
668.241,932.46153,
665.330,919.16598,
662.420,927.95203,
659.509,936.09931,
656.598,947.10675,
653.688,956.05987,
650.777,953.10194,
647.867,933.99007,
644.956,927.2734,
642.046,946.47991,
639.135,970.30016,
636.224,949.72613,
633.314,944.9625,
630.403,938.4291,
627.493,940.51112,
624.582,942.86372,
621.672,911.97594,
618.761,917.58945,
615.850,928.56581,
612.940,935.40847,
610.029,934.09239,
607.119,930.14423,
604.208,935.43011,
601.297,935.25741,
598.387,941.34897,
595.476,959.48172,
592.566,924.85071,
589.655,922.63734,
586.745,924.75,
583.834,923.65208,
580.923,919.88269,
578.013,941.85524,
575.102,942.58771,
572.192,948.0394,
569.281,966.9996,
566.371,979.52158,
563.460,980.04453,
560.549,957.33518,
557.639,940.19552,
554.728,957.65146,
551.818,956.09083,
548.907,958.79707,
545.996,961.91637,
543.086,968.11183,
540.175,988.35662,
537.265,948.46608,
534.354,932.24831,
531.444,939.27376,
528.533,958.143,
525.622,949.60758,
522.712,970.80663,
519.801,988.80504,
516.891,997.19311,
513.980,1014.2276,
511.070,1013.637,
508.159,1028.5097,
505.248,1033.983,
502.338,999.94738,
499.427,1040.8545,
496.517,1063.0631,
493.606,1082.5177,
490.695,1101.7173,
487.785,1087.0913,
484.874,1068.5944,
481.964,1073.0389,
479.053,1089.9114,
476.143,1082.2318,
473.232,1086.0664,
470.321,1085.8037,
467.411,1075.8989,
464.500,1052.6918,
461.590,1050.3946,
458.679,1097.0753,
455.769,1137.6404,
452.858,1139.2049,
449.947,1114.7591,
447.037,1101.8621,
444.126,1108.2106,
441.216,1126.5594,
438.305,1119.702,
435.395,1118.0944,
432.484,1103.1637,
429.573,1091.2701,
426.663,1127.7568,
423.752,1126.5655,
420.842,1142.1041,
417.931,1153.4848,
415.020,1120.8754,
412.110,1187.0584,
409.199,1177.0312,
406.289,1141.7339,
403.378,1145.0522,
400.468,1234.2596,
397.557,1216.4765,
394.646,1183.2545,
391.736,1209.0458,
388.825,1124.5719,
385.915,1130.085,
383.004,1153.609,
380.094,1146.2874,
377.183,1156.8221,
374.272,1179.8329,
371.362,1199.9876,
368.451,1207.1573,
365.541,1197.4003,
362.630,1213.3222,
359.719,1231.7097,
356.809,1235.9861,
353.898,1190.3095,
350.988,1210.2992,
348.077,1236.298,
345.167,1232.6365,
342.256,1230.3953,
339.345,1214.8699,
336.435,1210.0778,
333.524,1232.2198,
330.614,1247.1229,
327.703,1262.5315,
324.793,1259.6026,
321.882,1221.8077,
318.971,1245.5979,
316.061,1259.1215,
313.150,1272.6024,
310.240,1297.8343,
307.329,1278.0255,
304.418,1265.1905,
301.508,1252.8577,
298.597,1226.9431,
295.687,1228.8134,
292.776,1237.4167,
289.866,1257.6483,
286.955,1309.3591,
284.044,1307.2625,
281.134,1313.9695,
278.223,1334.75,
275.313,1334.75,
272.402,1342.3017,
269.492,1360.1073,
266.581,1389.1673,
263.670,1422.9856,
260.760,1456.2572,
257.849,1452.0873,
254.939,1378.699,
252.028,1392.9507,
249.117,1413.3685,
246.207,1426.9618,
243.296,1412.321,
240.386,1419.2389,
237.475,1406.0774,
234.565,1373.9539,
231.654,1349.8512,
228.743,1358.5588,
225.833,1352.2856,
222.922,1314.0705,
220.012,1299.4994,
217.101,1293.7686,
214.191,1290.5644,
211.280,1283.2898,
208.369,1315.7178,
205.459,1314.5822,
202.548,1282.4826,
199.638,1246.2001,
196.727,1294.0667,
193.816,1333.5459,
190.906,1332.4769,
187.995,1381.7105,
185.085,1348.6273,
182.174,1308.6166,
179.264,1367.1606,
176.353,1398.0996,
173.442,1379.4824,
170.532,1326.1943,
167.621,1355.7543,
164.711,1325.9091,
161.800,1285.8516,
158.890,1268.5782,
155.979,1218.4507,
153.068,1116.6431,
150.158,987.04667,
147.247,912.37963,
144.337,742.39919,
141.426,574.02424,
138.516,452.15273,
135.605,322.61242,
132.694,214.65402,
129.784,131.10908,
126.873,86.771026,
123.963,65.230457,
121.052,47.817902,
118.141,27.828646,
115.231,24.197148,
112.320,21.055456,
109.410,18.068224,
106.499,14.507448,
103.589,12.069237,
100.678,11.293243,
97.767,12.715119,
94.857,16.907934,
91.946,11.494004,
89.036,0.86289791,
86.125,1.5721032,
83.215,0.68815929,
80.304,2.3837595,
77.393,10.173629,
74.483,3.5435155,
71.572,0.47470423,
68.662,2.0963375,
65.751,5.6285929,
62.840,5.304894,
59.930,3.0008552,
57.019,0.18052727,
54.109,2.1386434,
51.198,2.5435629,
48.288,-0.22735023,
45.377,2.586162,
42.466,7.0477547,
39.556,10.598814,
36.645,3.5769121,
33.735,5.9039877,
30.824,6.4366954,
27.914,-4.0809333,
25.003,-6.495275,
22.092,-5.9583818,
19.182,-3.2271171,
16.271,-2.527627,
13.361,-20.794151,
10.450,-91.20097,
7.539,-352.37092,
4.629,-526.61294,
1.718,-627.31909,
-1.192,-630.80481,
-4.103,-389.39754,
-7.013,-161.50072,
-9.924,2.75,
