,PLED81~1,
Raman shift [1/cm],Intensity,
1189.234,1485.6008,
1186.324,1527.5374,
1183.413,1549.1174,
1180.503,1530.5191,
1177.592,1513.7866,
1174.681,1518.6387,
1171.771,1525.1511,
1168.860,1504.61,
1165.950,1475.2112,
1163.039,1449.0697,
1160.129,1441.8047,
1157.218,1464.7389,
1154.307,1494.1904,
1151.397,1507.2745,
1148.486,1518.9737,
1145.576,1525.854,
1142.665,1508.0958,
1139.754,1509.8795,
1136.844,1488.9156,
1133.933,1481.971,
1131.023,1477.9598,
1128.112,1478.7668,
1125.202,1482.4463,
1122.291,1453.3743,
1119.380,1451.703,
1116.470,1459.6457,
1113.559,1487.6887,
1110.649,1479.2539,
1107.738,1448.1206,
1104.828,1416.142,
1101.917,1396.8498,
1099.006,1394.2023,
1096.096,1402.0013,
1093.185,1408.1473,
1090.275,1402.1508,
1087.364,1417.7781,
1084.453,1425.0625,
1081.543,1441.2774,
1078.632,1455.4169,
1075.722,1441.8817,
1072.811,1450.1978,
1069.901,1430.1128,
1066.990,1482.7832,
1064.079,1510.5963,
1061.169,1516.5204,
1058.258,1508.4257,
1055.348,1494.2156,
1052.437,1485.2649,
1049.527,1491.7788,
1046.616,1443.9932,
1043.705,1447.8742,
1040.795,1448.7095,
1037.884,1485.5553,
1034.974,1523.7423,
1032.063,1511.5563,
1029.153,1470.2602,
1026.242,1500.5337,
1023.331,1512.4576,
1020.421,1516.7163,
1017.510,1554.6032,
1014.600,1591.2377,
1011.689,1612.1726,
1008.778,1639.2114,
1005.868,1643.1269,
1002.957,1699.05,
1000.047,1721.457,
997.136,1695.4967,
994.226,1682.1018,
991.315,1687.1448,
988.404,1663.2759,
985.494,1604.3181,
982.583,1590.6132,
979.673,1610.5744,
976.762,1619.7992,
973.852,1610.9008,
970.941,1598.0322,
968.030,1600.8332,
965.120,1624.736,
962.209,1651.1648,
959.299,1641.46,
956.388,1645.1444,
953.477,1663.7227,
950.567,1672.0437,
947.656,1648.9538,
944.746,1636.2105,
941.835,1638.0544,
938.925,1668.2373,
936.014,1673.0027,
933.103,1657.3286,
930.193,1640.6335,
927.282,1610.9752,
924.372,1580.5333,
921.461,1564.8426,
918.551,1544.9398,
915.640,1525.1261,
912.729,1515.5035,
909.819,1525.6292,
906.908,1563.5383,
903.998,1540.1733,
901.087,1545.0821,
898.176,1551.1478,
895.266,1559.8296,
892.355,1588.7345,
889.445,1637.412,
886.534,1645.1388,
883.624,1649.9892,
880.713,1638.8661,
877.802,1636.0046,
874.892,1656.9342,
871.981,1671.1121,
869.071,1649.3913,
866.160,1663.564,
863.250,1657.9957,
860.339,1648.1308,
857.428,1645.5466,
854.518,1615.9861,
851.607,1628.4671,
848.697,1642.3179,
845.786,1656.4474,
842.875,1655.5367,
839.965,1638.0861,
837.054,1636.2948,
834.144,1695.965,
831.233,1684.96,
828.323,1678.0761,
825.412,1664.2731,
822.501,1633.9656,
819.591,1680.244,
816.680,1647.1698,
813.770,1604.1674,
810.859,1600.7721,
807.949,1617.2152,
805.038,1609.3086,
802.127,1639.7644,
799.217,1597.9015,
796.306,1600.2197,
793.396,1612.457,
790.485,1605.9922,
787.574,1587.3172,
784.664,1552.8725,
781.753,1584.2001,
778.843,1614.8771,
775.932,1631.3286,
773.022,1638.1034,
770.111,1628.2925,
767.200,1631.4316,
764.290,1632.625,
761.379,1616.4764,
758.469,1592.4621,
755.558,1595.236,
752.648,1582.2023,
749.737,1561.9997,
746.826,1523.7193,
743.916,1458.2349,
741.005,1346.2882,
738.095,1095.4182,
735.184,930.47872,
732.274,897.135,
729.363,1024.8999,
726.452,1271.1761,
723.542,1440.3393,
720.631,1516.1399,
717.721,1553.8104,
714.810,1571.9545,
711.899,1579.6844,
708.989,1575.6498,
706.078,1601.2667,
703.168,1559.6545,
700.257,1547.1907,
697.347,1566.6692,
694.436,1540.9922,
691.525,1517.6818,
688.615,1547.844,
685.704,1564.3081,
682.794,1553.4761,
679.883,1537.8865,
676.973,1565.9345,
674.062,1570.3488,
671.151,1576.6383,
668.241,1581.0983,
665.330,1568.1376,
662.420,1600.0869,
659.509,1586.3072,
656.598,1598.4262,
653.688,1619.7332,
