,PLF58E~1,
Raman shift [1/cm],Intensity,
848.697,4546.1332,
845.786,4560.9966,
842.875,4560.259,
839.965,4554.2551,
837.054,4587.3106,
834.144,4681.7884,
831.233,4676.2517,
828.323,4591.5479,
825.412,4554.5977,
822.501,4614.1857,
819.591,4508.4066,
816.680,4517.2693,
813.770,4482.0333,
810.859,4435.7855,
807.949,4405.3207,
805.038,4393.281,
802.127,4335.662,
799.217,4319.8145,
796.306,4295.2498,
793.396,4300.2731,
790.485,4326.722,
787.574,4302.4991,
784.664,4309.06,
781.753,4291.4624,
778.843,4309.2045,
775.932,4339.7191,
773.022,4344.616,
770.111,4340.5281,
767.200,4381.3609,
764.290,4365.3561,
761.379,4338.342,
758.469,4325.0647,
755.558,4308.1073,
752.648,4269.8209,
749.737,4242.0135,
746.826,4213.5336,
743.916,4145.2233,
741.005,3996.6731,
738.095,3779.0901,
735.184,3543.7375,
732.274,3505.4772,
729.363,3663.5944,
726.452,3936.0335,
723.542,4161.8543,
720.631,4187.2472,
717.721,4228.485,
714.810,4244.0683,
711.899,4221.8044,
708.989,4211.3144,
706.078,4257.7256,
703.168,4246.7828,
700.257,4206.6705,
697.347,4167.6416,
694.436,4157.9445,
691.525,4146.6912,
688.615,4132.9296,
685.704,4147.8347,
682.794,4157.5268,
679.883,4097.7999,
676.973,4132.2588,
674.062,4122.0218,
671.151,4126.7149,
668.241,4160.9744,
665.330,4208.8676,
662.420,4158.5475,
659.509,4174.9171,
656.598,4199.7705,
653.688,4218.0011,
650.777,4237.682,
647.867,4250.4233,
644.956,4238.3904,
642.046,4211.0077,
639.135,4198.2458,
636.224,4247.2858,
633.314,4254.4313,
630.403,4287.5842,
627.493,4317.6996,
624.582,4339.1957,
621.672,4374.8354,
618.761,4367.1307,
615.850,4352.1283,
612.940,4348.7392,
610.029,4373.7446,
607.119,4448.7596,
604.208,4407.2591,
601.297,4394.7278,
598.387,4421.741,
595.476,4463.7877,
592.566,4395.3128,
589.655,4448.039,
586.745,4455.91,
583.834,4413.4429,
580.923,4388.9941,
578.013,4346.6185,
575.102,4362.2087,
572.192,4401.1861,
569.281,4435.5312,
566.371,4437.0964,
563.460,4499.3312,
560.549,4534.9956,
557.639,4544.4443,
554.728,4546.1424,
551.818,4607.7874,
548.907,4576.7628,
545.996,4576.6316,
543.086,4623.5987,
540.175,4634.4997,
537.265,4621.4887,
534.354,4667.9241,
531.444,4720.3646,
528.533,4725.8987,
525.622,4763.1442,
522.712,4736.6651,
519.801,4757.4025,
516.891,4846.3436,
513.980,4940.8077,
511.070,4994.3282,
508.159,5047.6348,
505.248,5089.7565,
502.338,5103.9729,
499.427,5128.6716,
496.517,5183.3308,
493.606,5237.4111,
490.695,5264.51,
487.785,5216.0132,
484.874,5298.7213,
481.964,5335.7917,
479.053,5294.7162,
476.143,5196.417,
473.232,5257.8739,
470.321,5253.1091,
467.411,5246.3358,
464.500,5321.0392,
461.590,5233.7448,
458.679,5251.0724,
455.769,5283.0446,
452.858,5277.6933,
449.947,5272.3457,
447.037,5273.0703,
444.126,5257.9833,
441.216,5223.9002,
438.305,5187.3274,
435.395,5179.6275,
432.484,5200.7546,
429.573,5230.6525,
426.663,5223.8112,
423.752,5196.0507,
420.842,5134.4712,
417.931,5085.808,
415.020,5122.9675,
412.110,5175.4629,
409.199,5240.2157,
406.289,5289.9719,
403.378,5295.2705,
400.468,5301.3184,
397.557,5272.9152,
394.646,5235.3616,
391.736,5210.0669,
388.825,5173.1096,
