,PL5C1E~1,
Raman shift [1/cm],Intensity,
1209.608,4165.3063,
1206.698,4211.266,
1203.787,4210.2286,
1200.877,4197.292,
1197.966,4274.6197,
1195.055,4364.6781,
1192.145,4454.6343,
1189.234,4554.1111,
1186.324,4674.6895,
1183.413,4715.4441,
1180.503,4689.9196,
1177.592,4684.2874,
1174.681,4611.798,
1171.771,4571.7376,
1168.860,4538.6933,
1165.950,4458.9025,
1163.039,4363.6757,
1160.129,4354.6841,
1157.218,4325.8301,
1154.307,4277.2421,
1151.397,4262.0772,
1148.486,4213.1023,
1145.576,4194.7586,
1142.665,4085.5454,
1139.754,4113.1133,
1136.844,4070.3779,
1133.933,4023.2802,
1131.023,3985.672,
1128.112,3962.0716,
1125.202,3949.5967,
1122.291,3925.5189,
1119.380,3974.6732,
1116.470,3992.3238,
1113.559,4004.5522,
1110.649,4011.4291,
1107.738,4025.288,
1104.828,4008.4535,
1101.917,3973.4587,
1099.006,3977.6959,
1096.096,3967.3489,
1093.185,4013.8831,
1090.275,3968.1345,
1087.364,3962.6751,
1084.453,3946.9387,
1081.543,3954.8493,
1078.632,3974.0982,
1075.722,3946.3537,
1072.811,3916.3687,
1069.901,3928.5944,
1066.990,3987.6999,
1064.079,4031.4426,
1061.169,4081.9519,
1058.258,4125.0515,
1055.348,4154.3765,
1052.437,4188.6994,
1049.527,4231.1378,
1046.616,4247.6455,
1043.705,4254.1246,
1040.795,4298.2798,
1037.884,4320.477,
1034.974,4334.5142,
1032.063,4356.7309,
1029.153,4343.5772,
1026.242,4360.8764,
1023.331,4360.6667,
1020.421,4400.9319,
1017.510,4435.3083,
1014.600,4487.4096,
1011.689,4561.3101,
1008.778,4618.9246,
1005.868,4652.5464,
1002.957,4880.5403,
1000.047,5008.684,
997.136,5155.0919,
994.226,5261.6073,
991.315,5291.0198,
988.404,5252.8834,
985.494,5118.6779,
982.583,5037.3051,
979.673,5034.2798,
976.762,5022.8224,
973.852,5012.058,
970.941,5029.2828,
968.030,5061.2802,
965.120,5003.6217,
962.209,5032.6082,
959.299,5027.5845,
956.388,5029.0996,
953.477,5033.911,
950.567,5029.7944,
947.656,5023.2961,
944.746,5075.119,
941.835,5066.9724,
938.925,5072.3966,
936.014,5061.831,
933.103,5055.6212,
930.193,5054.7192,
927.282,4987.1463,
924.372,4906.8136,
921.461,4869.2532,
918.551,4804.3113,
915.640,4730.0796,
912.729,4674.3759,
909.819,4649.6112,
906.908,4650.4536,
903.998,4626.6391,
901.087,4652.9618,
898.176,4699.1773,
895.266,4751.7179,
892.355,4817.876,
889.445,4916.0703,
886.534,4925.6836,
883.624,4983.3451,
880.713,5042.6524,
877.802,5055.783,
874.892,5020.11,
871.981,5008.849,
869.071,4981.2804,
866.160,4966.1506,
863.250,4950.4917,
860.339,4945.8696,
857.428,4954.7348,
854.518,4949.3335,
851.607,4874.4473,
848.697,4819.5432,
845.786,4799.981,
842.875,4818.3756,
839.965,4836.9753,
837.054,4762.3094,
834.144,4834.4109,
831.233,4813.8358,
828.323,4791.0597,
825.412,4762.9626,
822.501,4713.4148,
819.591,4701.8453,
816.680,4637.3973,
813.770,4593.3074,
810.859,4553.0355,
807.949,4511.2707,
805.038,4477.8938,
802.127,4489.4176,
799.217,4445.7765,
796.306,4439.0136,
