,PLA1DB~1,
Raman shift [1/cm],Intensity,
420.842,9236.6971,
417.931,9328.1263,
415.020,9443.3967,
412.110,9501.5144,
409.199,9566.3627,
406.289,9613.375,
403.378,9613.1675,
400.468,9551.932,
397.557,9463.9931,
394.646,9361.6666,
391.736,9252.6144,
388.825,9041.4297,
385.915,8949.04,
383.004,8951.5004,
380.094,9031.3618,
377.183,9168.3125,
374.272,9335.5567,
371.362,9484.9922,
368.451,9585.384,
365.541,9634.9194,
362.630,9646.19,
359.719,9652.9581,
356.809,9673.2391,
353.898,9670.9927,
350.988,9719.1988,
348.077,9729.5917,
345.167,9659.0295,
342.256,9750.9189,
339.345,9809.7924,
336.435,9861.1376,
333.524,9923.7573,
330.614,10031.06,
327.703,10109.041,
324.793,10176.896,
321.882,10250.737,
318.971,10400.169,
316.061,10545.62,
313.150,10676.015,
310.240,10777.685,
307.329,10815.678,
304.418,10857.644,
301.508,10873.258,
298.597,10805.14,
295.687,10745.196,
292.776,10780.625,
289.866,10980.496,
286.955,11521.982,
284.044,12021.885,
281.134,12452.889,
278.223,12818.062,
275.313,13157.752,
272.402,13519.827,
269.492,13843.125,
266.581,14114.02,
263.670,14472.788,
260.760,14791.075,
257.849,15054.355,
254.939,15245.898,
252.028,15443.813,
249.117,15542.587,
246.207,15577.436,
243.296,15600.861,
240.386,15571.378,
237.475,15514.804,
234.565,15442.402,
231.654,15385.432,
228.743,15279.59,
225.833,15189.642,
222.922,15136.599,
220.012,15012.745,
217.101,14991.022,
214.191,14988.3,
211.280,14914.827,
208.369,14885.827,
205.459,14867.987,
202.548,14847.971,
199.638,14787.742,
196.727,14872.179,
193.816,14927.722,
190.906,14892.01,
187.995,14910.11,
185.085,14980.683,
182.174,15071.18,
179.264,15140.565,
176.353,15207.327,
173.442,15208.47,
170.532,15154.979,
167.621,15177.329,
164.711,14918.489,
161.800,14493.823,
158.890,13950.428,
155.979,13052.052,
153.068,11946.081,
150.158,10657.171,
147.247,9198.2924,
144.337,7595.2657,
141.426,5977.5133,
138.516,4402.5032,
135.605,3180.165,
132.694,2193.8684,
129.784,1433.3248,
126.873,945.60629,
123.963,660.28907,
121.052,461.30071,
118.141,314.9508,
115.231,253.97652,
112.320,202.68594,
109.410,162.82976,
106.499,144.31373,
103.589,142.05576,
100.678,132.78175,
97.767,105.05519,
94.857,98.831088,
91.946,95.165667,
89.036,91.455736,
86.125,79.399246,
83.215,76.375,
80.304,73.262375,
77.393,64.056166,
74.483,64.68527,
71.572,62.113831,
68.662,56.305733,
65.751,55.599281,
62.840,51.521384,
59.930,48.311431,
57.019,51.836841,
54.109,50.583517,
51.198,48.470172,
48.288,46.341025,
45.377,42.120757,
42.466,38.313903,
39.556,34.684289,
36.645,30.471147,
33.735,33.528988,
30.824,37.816774,
27.914,39.219124,
25.003,35.016538,
22.092,37.541473,
19.182,48.85554,
16.271,63.544833,
13.361,165.46742,
10.450,391.84415,
7.539,940.72003,
4.629,1452.5474,
1.718,1705.1508,
-1.192,1401.1957,
-4.103,872.59339,
-7.013,387.64258,
-9.924,1.375,
