,PLD23C~1,
Raman shift [1/cm],Intensity,
793.396,4544.3359,
790.485,4539.7874,
787.574,4510.1832,
784.664,4541.3475,
781.753,4526.1995,
778.843,4546.3851,
775.932,4579.2345,
773.022,4581.1124,
770.111,4575.3894,
767.200,4549.8767,
764.290,4568.5824,
761.379,4580.5165,
758.469,4569.6278,
755.558,4570.6628,
752.648,4525.8596,
749.737,4496.1107,
746.826,4431.8508,
743.916,4352.5712,
741.005,4289.4102,
738.095,4151.3911,
735.184,4029.1712,
732.274,3970.1713,
729.363,4038.3852,
726.452,4220.9798,
723.542,4320.5352,
720.631,4377.9887,
717.721,4434.672,
714.810,4469.9488,
711.899,4479.8812,
708.989,4487.9504,
706.078,4453.544,
703.168,4413.4245,
700.257,4402.0766,
697.347,4397.1758,
694.436,4333.2837,
691.525,4343.7332,
688.615,4356.6915,
685.704,4349.6175,
682.794,4340.4254,
679.883,4366.2699,
676.973,4327.8041,
674.062,4367.8562,
671.151,4357.3036,
668.241,4319.4829,
665.330,4352.0546,
662.420,4332.0863,
659.509,4365.4609,
656.598,4374.4503,
653.688,4349.2584,
650.777,4318.7039,
647.867,4280.4801,
644.956,4327.7235,
642.046,4339.1971,
639.135,4322.7207,
636.224,4382.0199,
633.314,4385.9896,
630.403,4390.5473,
627.493,4424.4941,
624.582,4459.6383,
621.672,4390.7348,
618.761,4459.4343,
615.850,4522.2221,
612.940,4566.6122,
610.029,4592.1565,
607.119,4611.1077,
604.208,4610.87,
601.297,4585.5726,
598.387,4578.7712,
595.476,4621.2173,
592.566,4602.3277,
589.655,4559.4787,
586.745,4532.3584,
583.834,4514.2404,
580.923,4475.981,
578.013,4472.8421,
575.102,4506.9889,
572.192,4520.495,
569.281,4512.2006,
566.371,4591.2456,
563.460,4605.3492,
560.549,4628.4657,
557.639,4660.2054,
554.728,4691.2026,
551.818,4741.9232,
548.907,4713.3881,
545.996,4707.4395,
543.086,4741.0197,
540.175,4755.0354,
537.265,4803.8024,
534.354,4865.1454,
531.444,4913.5732,
528.533,4932.5249,
525.622,4996.1526,
522.712,5049.439,
519.801,5109.3692,
516.891,5177.8334,
513.980,5241.3257,
511.070,5294.8956,
508.159,5378.9939,
505.248,5474.7873,
502.338,5554.8918,
499.427,5653.6863,
496.517,5731.4747,
493.606,5791.526,
490.695,5835.3165,
487.785,5859.18,
484.874,5836.5048,
481.964,5845.2556,
479.053,5869.5425,
476.143,5834.2162,
473.232,5804.6627,
470.321,5796.9195,
467.411,5779.7392,
464.500,5721.4351,
461.590,5778.0999,
458.679,5833.6212,
455.769,5870.726,
452.858,5877.8186,
449.947,5847.2614,
447.037,5850.1014,
444.126,5864.503,
441.216,5883.1009,
438.305,5906.7208,
435.395,5904.0993,
432.484,5887.6639,
429.573,5884.9752,
426.663,5953.3878,
423.752,5940.1697,
420.842,5902.7721,
417.931,5887.6077,
415.020,5956.6182,
412.110,5990.4594,
409.199,6053.8337,
406.289,6125.2186,
403.378,6177.8796,
400.468,6142.3479,
397.557,6142.3113,
394.646,6143.5729,
391.736,6115.3441,
388.825,6032.3786,
385.915,6024.498,
383.004,6065.8411,
380.094,6137.0692,
377.183,6216.8317,
374.272,6339.4144,
371.362,6440.4823,
368.451,6481.4589,
365.541,6505.4761,
362.630,6509.2688,
359.719,6534.821,
356.809,6603.7185,
353.898,6648.6464,
350.988,6643.0979,
348.077,6618.9973,
345.167,6598.7407,
342.256,6633.1059,
339.345,6674.3545,
336.435,6691.4515,
333.524,6664.4228,
330.614,6677.8356,
327.703,6766.1985,
324.793,6833.3682,
321.882,6797.0973,
318.971,6837.2433,
316.061,6919.8523,
313.150,7007.2428,
310.240,7056.2225,
307.329,7140.1832,
304.418,7148.8345,
301.508,7138.5108,
298.597,7208.11,
295.687,7266.8248,
292.776,7347.0003,
289.866,7473.5096,
286.955,7708.4243,
284.044,7989.9397,
281.134,8210.2793,
278.223,8381.7112,
275.313,8666.8742,
272.402,8842.0188,
269.492,9003.2626,
266.581,9185.7683,
263.670,9378.3855,
260.760,9561.9839,
257.849,9683.8759,
254.939,9697.8197,
252.028,9793.5475,
249.117,9922.2792,
246.207,10035.978,
243.296,10051.35,
240.386,9960.9282,
237.475,9903.1637,
234.565,9860.0114,
231.654,9675.9547,
228.743,9567.9558,
225.833,9504.1944,
222.922,9469.4623,
220.012,9350.7078,
217.101,9268.3263,
214.191,9192.8387,
211.280,9092.4488,
208.369,9046.6496,
205.459,9040.3768,
202.548,9058.7493,
199.638,9057.298,
196.727,9092.1492,
193.816,9106.5611,
190.906,9079.6445,
187.995,9069.5081,
185.085,9084.4414,
182.174,9094.4223,
179.264,9055.3929,
176.353,9104.1846,
173.442,9172.0686,
170.532,9225.8109,
167.621,9112.6177,
164.711,8971.1052,
161.800,8772.4484,
158.890,8483.8376,
155.979,7879.0937,
153.068,7226.3988,
150.158,6513.6365,
147.247,5629.8373,
144.337,4680.1869,
141.426,3705.6208,
138.516,2721.3291,
135.605,1929.1395,
132.694,1324.7391,
129.784,882.46471,
126.873,582.11018,
123.963,394.09736,
121.052,270.80423,
118.141,202.26964,
115.231,147.99665,
112.320,117.10365,
109.410,101.59112,
106.499,83.787238,
103.589,84.482036,
100.678,80.937836,
97.767,62.453459,
94.857,63.385978,
91.946,57.550226,
89.036,47.887102,
86.125,47.177897,
83.215,44.876319,
80.304,40.605673,
77.393,33.523974,
74.483,41.516754,
71.572,43.101183,
68.662,36.683918,
65.751,23.261347,
62.840,27.188934,
59.930,36.374572,
57.019,37.784736,
54.109,29.639748,
51.198,22.491954,
48.288,19.02265,
45.377,21.836162,
42.466,25.061097,
39.556,28,
36.645,28,
33.735,20.211273,
30.824,15.650644,
27.914,24.064747,
25.003,23.754725,
22.092,25.260332,
19.182,30.32036,
16.271,40.113222,
13.361,174.23051,
10.450,445.06536,
7.539,979.97492,
4.629,1273.3812,
1.718,1256.5681,
-1.192,730.22399,
-4.103,406.56348,
-7.013,167.73061,
-9.924,-8.1191178E-17,
