,PLABEE~1,
Wavenumbers [1/cm],Intensity,
1553.057,823.17283,
1550.146,798.77091,
1547.235,825.74534,
1544.325,813.33022,
1541.414,808.44206,
1538.504,820.88958,
1535.593,792.16736,
1532.683,794.02305,
1529.772,799.83167,
1526.861,747.1022,
1523.951,745.10868,
1521.040,774.06545,
1518.130,751.26096,
1515.219,744.3999,
1512.309,744.53152,
1509.398,730.99245,
1506.487,731.95212,
1503.577,780.12187,
1500.666,741.85878,
1497.756,711.82239,
1494.845,745.19956,
1491.934,726.0378,
1489.024,737.58771,
1486.113,747.27216,
1483.203,724.90764,
1480.292,716.06042,
1477.382,700.45153,
1474.471,707.74331,
1471.560,712.45133,
1468.650,702.06762,
1465.739,715.57421,
1462.829,723.61273,
1459.918,733.60231,
1457.008,705.43029,
1454.097,667.61353,
1451.186,681.38685,
1448.276,688.24123,
1445.365,664.60742,
1442.455,682.21262,
1439.544,709.00722,
1436.633,679.03971,
1433.723,719.7417,
1430.812,737.96564,
1427.902,724.36861,
1424.991,697.83126,
1422.081,727.27674,
1419.170,738.6406,
1416.259,719.74842,
1413.349,707.44759,
1410.438,746.287,
1407.528,753.70013,
1404.617,734.49605,
1401.707,704.86226,
1398.796,709.65728,
1395.885,737.89373,
1392.975,736.3331,
1390.064,734.82928,
1387.154,736.13883,
1384.243,692.21083,
1381.332,790.68004,
1378.422,764.48305,
1375.511,773.85086,
1372.601,753.72545,
1369.690,769.14445,
1366.780,742.6947,
1363.869,777.13567,
1360.958,800.9226,
1358.048,830.51241,
1355.137,855.88526,
1352.227,846.98683,
1349.316,853.66271,
1346.406,890.16826,
1343.495,879.5087,
1340.584,874.14271,
1337.674,884.64321,
1334.763,890.67042,
1331.853,908.28781,
1328.942,896.5475,
1326.032,920.28424,
1323.121,963.78919,
1320.210,986.32289,
1317.300,972.11257,
1314.389,969.27798,
1311.479,995.60182,
1308.568,1023.1062,
1305.657,1051.4194,
1302.747,1101.6613,
1299.836,1122.0344,
1296.926,1106.3763,
1294.015,1071.442,
1291.105,1105.2217,
1288.194,1171.5032,
1285.283,1187.716,
1282.373,1171.5469,
1279.462,1177.9213,
1276.552,1222.5907,
1273.641,1244.575,
1270.731,1230.703,
1267.820,1256.4929,
1264.909,1271.0774,
1261.999,1307.0347,
1259.088,1280.5831,
1256.178,1259.3015,
1253.267,1206.8995,
1250.356,1192,
1247.446,1203.7345,
1244.535,1202.0893,
1241.625,1177.4667,
1238.714,1142.6114,
1235.804,1105.136,
1232.893,1080.7442,
1229.982,1105.0069,
1227.072,1046.1616,
1224.161,1063.8531,
1221.251,1043.4312,
1218.340,1042.1259,
1215.430,1044.8989,
1212.519,1048.5276,
1209.608,1039.825,
1206.698,1022.6811,
1203.787,1048.7789,
1200.877,1051.4398,
1197.966,1026.2634,
1195.055,1068.5157,
1192.145,1092.5296,
1189.234,1089.5657,
1186.324,1115.5484,
1183.413,1115.3858,
1180.503,1097.8392,
1177.592,1125.606,
1174.681,1118.7192,
1171.771,1103.0618,
1168.860,1105.7411,
1165.950,1101.9686,
1163.039,1110.7776,
1160.129,1123.8478,
1157.218,1101.6366,
1154.307,1075.4523,
1151.397,1081.9573,
1148.486,1086.0433,
1145.576,1123.4559,
1142.665,1064.8536,
1139.754,1073.0181,
1136.844,1063.3945,
1133.933,1039.2318,
1131.023,1052.4374,
1128.112,1086.9993,
1125.202,1091.4106,
1122.291,1083.8936,
1119.380,1131.7315,
1116.470,1104.3731,
1113.559,1098.6803,
1110.649,1115.026,
1107.738,1106.8538,
1104.828,1111.9728,
1101.917,1127.5734,
1099.006,1095.897,
1096.096,1087.3438,
1093.185,1109.2939,
1090.275,1094.0053,
1087.364,1118.131,
1084.453,1110.1888,
1081.543,1108.8995,
1078.632,1129.8804,
1075.722,1137.009,
1072.811,1147.4559,
1069.901,1111.6522,
1066.990,1132.4416,
1064.079,1142.7636,
1061.169,1136.1632,
1058.258,1131.9644,
1055.348,1153.6375,
1052.437,1193.5402,
1049.527,1179.9594,
1046.616,1153.0257,
1043.705,1186.9967,
1040.795,1191.615,
1037.884,1172.3221,
1034.974,1163.7036,
1032.063,1169.5156,
1029.153,1152.5193,
1026.242,1156.8441,
1023.331,1232.8285,
1020.421,1224.9957,
1017.510,1212.1986,
1014.600,1222.6879,
1011.689,1234.8687,
1008.778,1223.7593,
1005.868,1233.861,
1002.957,1218.3746,
1000.047,1298.264,
997.136,1346.6198,
994.226,1334.9081,
991.315,1308.9579,
988.404,1306.3266,
985.494,1246.7097,
982.583,1278.4022,
979.673,1291.7798,
