,PLA276~1,
Wavenumbers [1/cm],Intensity,
848.697,1203.316,
845.786,1202.0793,
842.875,1222.5679,
839.965,1262.643,
837.054,1234.75,
834.144,1234.75,
831.233,1259.4149,
828.323,1276.6957,
825.412,1271.1252,
822.501,1249.0479,
819.591,1250.7007,
816.680,1257.9616,
813.770,1240.3284,
810.859,1219.7252,
807.949,1209.3012,
805.038,1211.2478,
802.127,1215.3634,
799.217,1188.9159,
796.306,1174.6419,
793.396,1180.4829,
790.485,1194.6971,
787.574,1189.2243,
784.664,1149.0388,
781.753,1169.2603,
778.843,1186.1806,
775.932,1193.4536,
773.022,1200.7356,
770.111,1194.195,
767.200,1193.75,
764.290,1193.75,
761.379,1197.6887,
758.469,1200.8203,
755.558,1189.9688,
752.648,1197.3002,
749.737,1203.9723,
746.826,1217.4731,
743.916,1211.3212,
741.005,1170.6279,
738.095,1231.5186,
735.184,1172.2494,
732.274,1131.0249,
729.363,1113.7152,
726.452,1114.0821,
723.542,1160.2175,
720.631,1155.1046,
717.721,1169.9354,
714.810,1176.6591,
711.899,1169.5718,
708.989,1181.6757,
706.078,1206.5904,
703.168,1192.7117,
700.257,1185.526,
697.347,1179.1863,
694.436,1127.8193,
691.525,1167.2057,
688.615,1183.9258,
685.704,1165.4385,
682.794,1143.1754,
679.883,1172.4801,
676.973,1210.9459,
674.062,1194.5029,
671.151,1189.5166,
668.241,1192.6496,
665.330,1166.7122,
662.420,1165.9135,
659.509,1177.1788,
656.598,1199.7617,
653.688,1222.1303,
650.777,1226.507,
647.867,1219.34,
644.956,1201.0329,
642.046,1184.531,
639.135,1168.4137,
636.224,1140.8534,
633.314,1161.4958,
630.403,1175.6182,
627.493,1190.1996,
624.582,1207.2814,
621.672,1223.1213,
618.761,1235.909,
615.850,1210.5476,
612.940,1208.6082,
610.029,1246.8043,
607.119,1223.1154,
604.208,1229.9802,
601.297,1220.29,
598.387,1218.2153,
595.476,1244.6702,
592.566,1222.6323,
589.655,1207.088,
586.745,1196.4103,
583.834,1194.9221,
580.923,1209.7026,
578.013,1201.8553,
575.102,1209.501,
572.192,1206.0315,
569.281,1201.7942,
566.371,1285.5349,
563.460,1245.0727,
560.549,1224.75,
557.639,1225.8243,
554.728,1229.6862,
551.818,1244.5122,
548.907,1236.7806,
545.996,1228.1948,
543.086,1226.5888,
540.175,1230.482,
537.265,1209.7459,
534.354,1215.2956,
531.444,1233.7658,
528.533,1248.3503,
525.622,1270.8528,
522.712,1270.2892,
519.801,1273.242,
516.891,1285.4716,
513.980,1293.9888,
511.070,1277.1413,
508.159,1296.0162,
505.248,1323.7486,
502.338,1322.0829,
499.427,1367.621,
496.517,1353.7298,
493.606,1352.5935,
490.695,1388.5732,
487.785,1380.1055,
484.874,1367.118,
481.964,1376.5306,
479.053,1393.602,
