,PLB8BC~1,
Wavenumbers [1/cm],Intensity,
615.850,1343.2286,
612.940,1357.6161,
610.029,1354.2,
607.119,1317.877,
604.208,1343.3605,
601.297,1353.2559,
598.387,1350.9634,
595.476,1351.0671,
592.566,1359.7248,
589.655,1356.7148,
586.745,1339.4951,
583.834,1331.4488,
580.923,1371.2642,
578.013,1373.6184,
575.102,1347.2913,
572.192,1330.1083,
569.281,1348.1852,
566.371,1420.1866,
563.460,1384.2164,
560.549,1360.8899,
557.639,1353.9072,
554.728,1350.6934,
551.818,1357.7163,
548.907,1350.7182,
545.996,1362.3567,
543.086,1385.727,
540.175,1369.3754,
537.265,1376.9414,
534.354,1388.2771,
531.444,1389.8409,
528.533,1374.2985,
525.622,1389.0415,
522.712,1373.4406,
519.801,1376.1433,
516.891,1404.3191,
513.980,1424.4508,
511.070,1429.7717,
508.159,1456.0835,
505.248,1470.2312,
502.338,1432.3118,
499.427,1468.5879,
496.517,1478.25,
493.606,1479.596,
490.695,1484.7106,
487.785,1502.4158,
484.874,1498.1415,
481.964,1501.725,
479.053,1506.3665,
476.143,1481.7917,
473.232,1506.8679,
470.321,1503.6259,
467.411,1492.7956,
464.500,1502.61,
461.590,1477.3406,
458.679,1522.528,
455.769,1560.524,
452.858,1548.4207,
449.947,1530.8503,
447.037,1546.0596,
444.126,1559.3591,
441.216,1561.25,
438.305,1561.25,
435.395,1565.1838,
432.484,1556.8312,
429.573,1535.8599,
426.663,1508.4949,
423.752,1368.161,
420.842,1252.5343,
417.931,1189.2666,
415.020,1199.8836,
412.110,1344.3778,
409.199,1475.9785,
406.289,1544.9671,
403.378,1504.3192,
400.468,1524.731,
397.557,1520.4529,
394.646,1540.1474,
391.736,1621.0086,
388.825,1613.4662,
385.915,1609.6534,
383.004,1628.5236,
380.094,1676.2173,
377.183,1616.7716,
374.272,1608.9345,
371.362,1625.6685,
368.451,1646.1984,
365.541,1612.4243,
362.630,1650.7729,
359.719,1669.8282,
356.809,1622.6999,
353.898,1646.6614,
350.988,1680.3743,
348.077,1693.0857,
345.167,1667.6445,
342.256,1655.6914,
339.345,1659.1586,
336.435,1676.0761,
333.524,1704.5553,
330.614,1714.2424,
327.703,1704.4149,
324.793,1678.5871,
321.882,1639.3023,
318.971,1660.8621,
316.061,1675.5747,
313.150,1686.0214,
310.240,1694.9268,
307.329,1723.8355,
304.418,1742.0893,
301.508,1744.7361,
298.597,1724.0045,
295.687,1768.9796,
292.776,1767.9165,
289.866,1744.1244,
286.955,1786.2317,
284.044,1822.61,
281.134,1838.3986,
278.223,1837.729,
275.313,1854.6766,
272.402,1837.9184,
269.492,1808.6748,
266.581,1778.4061,
263.670,1794.5801,
260.760,1834.2497,
257.849,1875.232,
254.939,1900.9178,
252.028,1862.1624,
249.117,1838.5703,
246.207,1843.4029,
243.296,1901.9658,
240.386,1897.8021,
237.475,1896.8602,
234.565,1904.135,
231.654,1903.4046,
228.743,1899.7978,
225.833,1887.4933,
222.922,1866.7448,
220.012,1898.8013,
217.101,1886.6771,
214.191,1878.1121,
211.280,1927.5796,
208.369,1907.7015,
205.459,1886.668,
202.548,1865.2305,
199.638,1824.5941,
196.727,1879.6338,
193.816,1922.0357,
190.906,1912.8087,
187.995,1928.7372,
185.085,1924.7929,
182.174,1924.2401,
179.264,1961.1011,
176.353,1959.483,
173.442,1952.6244,
170.532,1944.5699,
167.621,1930.1503,
164.711,1884.2046,
161.800,1819.7074,
158.890,1741.9768,
155.979,1656.0846,
153.068,1499.9932,
150.158,1301.7977,
147.247,1163.9509,
144.337,962.61237,
141.426,751.38936,
138.516,553.52737,
135.605,408.24563,
132.694,281.43957,
129.784,176.28861,
126.873,109.78154,
123.963,74.056265,
121.052,49.601191,
118.141,30.325837,
115.231,33.802852,
112.320,31.437277,
109.410,24.750092,
106.499,16.916385,
103.589,14.689746,
100.678,13.435135,
97.767,11.302322,
94.857,18.17989,
91.946,14.800226,
89.036,5.3628979,
86.125,6.0721032,
83.215,6.25,
80.304,9.1231922,
77.393,17.621231,
74.483,13.00892,
71.572,7.7135352,
68.662,3.52707,
65.751,6.3528743,
62.840,8.695106,
59.930,10.25,
57.019,10.25,
54.109,11.444322,
51.198,11.646781,
48.288,10.2047,
45.377,4.5776759,
42.466,6.3721934,
39.556,12.019763,
36.645,10.615382,
33.735,7.1345092,
30.824,4.470887,
27.914,5.1720622,
25.003,7.1179124,
22.092,10.833236,
19.182,16.822072,
16.271,34.309325,
13.361,104.4687,
10.450,218.65326,
7.539,377.86917,
4.629,518.90072,
1.718,508.12109,
-1.192,168.6117,
-4.103,43.822289,
-7.013,-6.9258658,
-9.924,-2.75,
