,PL77CF~1,
Raman shift [1/cm],Intensity,
1235.804,3123.357,
1232.893,3009.0004,
1229.982,3006.9127,
1227.072,2996.9543,
1224.161,2937.4147,
1221.251,2866.6893,
1218.340,2830.7025,
1215.430,2783.162,
1212.519,2729.9703,
1209.608,2702.1237,
1206.698,2696.4627,
1203.787,2692.0289,
1200.877,2700.039,
1197.966,2761.1819,
1195.055,2815.4449,
1192.145,2904.6437,
1189.234,2942.2795,
1186.324,3003.3462,
1183.413,3058.9657,
1180.503,3067.5402,
1177.592,3056.7651,
1174.681,3037.6473,
1171.771,2984.1991,
1168.860,2938.6516,
1165.950,2898.7733,
1163.039,2859.5203,
1160.129,2832.6833,
1157.218,2802.0976,
1154.307,2776.6528,
1151.397,2769.6432,
1148.486,2752.6592,
1145.576,2698.1729,
1142.665,2696.3971,
1139.754,2682.4183,
1136.844,2651.2379,
1133.933,2615.7898,
1131.023,2592.1686,
1128.112,2579.9649,
1125.202,2579.7379,
1122.291,2601.8713,
1119.380,2592.6224,
1116.470,2630.5712,
1113.559,2658.4475,
1110.649,2648.224,
1107.738,2636.0351,
1104.828,2633.6661,
1101.917,2619.7523,
1099.006,2582.6212,
1096.096,2572.4539,
1093.185,2608.452,
1090.275,2583.7348,
1087.364,2597.8337,
1084.453,2608.3749,
1081.543,2636.4197,
1078.632,2642.1043,
1075.722,2590.662,
1072.811,2645.3049,
1069.901,2660.1503,
1066.990,2603.0501,
1064.079,2641.6496,
1061.169,2679.5052,
1058.258,2710.1538,
1055.348,2744.8929,
1052.437,2763.578,
1049.527,2766.1899,
1046.616,2790.5171,
1043.705,2804.8115,
1040.795,2801.2264,
1037.884,2828.6057,
1034.974,2854.4085,
1032.063,2847.2038,
1029.153,2845.0569,
1026.242,2801.8091,
1023.331,2873.5786,
1020.421,2878.4906,
1017.510,2903.9446,
1014.600,2943.7443,
1011.689,2962.8292,
1008.778,2970.084,
1005.868,3063.3079,
1002.957,3181.1765,
1000.047,3290.25,
997.136,3366.5375,
994.226,3427.9264,
991.315,3450.2005,
988.404,3402.8192,
985.494,3357.9074,
982.583,3297.9485,
979.673,3299.4931,
976.762,3308.5339,
973.852,3320.6482,
970.941,3319.6912,
968.030,3291.3483,
965.120,3286.2643,
962.209,3289.6745,
959.299,3281.751,
956.388,3284.9696,
953.477,3288.1949,
950.567,3296.4912,
947.656,3331.2581,
944.746,3354.1961,
941.835,3402.2192,
938.925,3355.9996,
936.014,3321.1917,
933.103,3315.1907,
930.193,3301.6641,
927.282,3254.3793,
924.372,3238.3127,
921.461,3174.3924,
918.551,3130.1745,
915.640,3090.0282,
912.729,3060.7386,
909.819,3063.0217,
906.908,3008.2641,
903.998,3047.4043,
901.087,3107.261,
898.176,3144.3167,
895.266,3167.5808,
892.355,3202.5324,
889.445,3236.1031,
886.534,3288.0121,
883.624,3308.3425,
880.713,3303.5532,
877.802,3316.1357,
874.892,3339.4169,
871.981,3260.0724,
869.071,3252.5537,
866.160,3267.809,
863.250,3250.6125,
860.339,3237.5573,
857.428,3247.7455,
854.518,3219.2871,
851.607,3186.0044,
848.697,3141.0444,
845.786,3125.8448,
842.875,3129.9977,
839.965,3134.8666,
837.054,3143.0408,
834.144,3213.4847,
831.233,3160.5882,
828.323,3134.174,
825.412,3128.6934,
822.501,3095.2498,
819.591,3056.4091,
816.680,3037.6218,
813.770,2969.3467,
810.859,2951.5558,
807.949,2973.2183,
805.038,2963.0597,
802.127,2944.9509,
799.217,2897.7811,
796.306,2903.8177,
793.396,2924.1432,
790.485,2930.6712,
787.574,2931.6272,
784.664,2915.225,
781.753,2924.3277,
778.843,2928.2897,
775.932,2933.3486,
773.022,2951.5324,
770.111,2966.2488,
767.200,2995.4186,
764.290,2993.8482,
761.379,2966.5566,
758.469,2936.0407,
755.558,2933.9614,
752.648,2890.7874,
749.737,2863.3191,
746.826,2891.4801,
743.916,2919.6134,
741.005,2876.5906,
738.095,2853.0461,
735.184,2715.1037,
732.274,2677.5528,
729.363,2707.7166,
726.452,2751.1136,
723.542,2822.3402,
720.631,2878.2387,
717.721,2881.6474,
714.810,2870.3466,
711.899,2862.7351,
708.989,2843.3689,
706.078,2864.8852,
703.168,2858.1056,
700.257,2818.8945,
697.347,2776.8584,
694.436,2786.0972,
691.525,2780.4706,
688.615,2808.1799,
685.704,2807.9823,
682.794,2786.1862,
679.883,2789.9348,
676.973,2805.1609,
674.062,2782.7267,
671.151,2759.4834,
668.241,2772.0748,
665.330,2848.25,
662.420,2848.25,
659.509,2835.5514,
656.598,2817.4313,
653.688,2810.1513,
650.777,2831.9539,
647.867,2793.7301,
644.956,2776.5819,
642.046,2779.9566,
639.135,2788.6866,
636.224,2775.2301,
633.314,2771.2604,
630.403,2821.0941,
627.493,2857.7863,
624.582,2863.2517,
621.672,2876.7156,
618.761,2873.4503,
615.850,2891.5346,
612.940,2917.1545,
610.029,2944.5359,
607.119,2994.2826,
604.208,2978.6596,
601.297,2968.2559,
598.387,2960.804,
595.476,2947.25,
592.566,2947.25,
589.655,2931.0527,
