,PL0AF2~1,
Wavenumbers [1/cm],Intensity,
455.769,4282.5891,
452.858,4268.4665,
449.947,4224.9224,
447.037,4226.3149,
444.126,4258.5091,
441.216,4309.6727,
438.305,4353.8648,
435.395,4334.4302,
432.484,4357.6742,
429.573,4401.3674,
426.663,4368.6814,
423.752,4287.1916,
420.842,4179.0169,
417.931,4095.7403,
415.020,4112.4242,
412.110,4309.0723,
409.199,4420.1198,
406.289,4461.7379,
403.378,4464.0845,
400.468,4489.0323,
397.557,4483.6321,
394.646,4515.442,
391.736,4634.9376,
388.825,4601.7514,
385.915,4595.7254,
383.004,4597.5723,
380.094,4595.9578,
377.183,4634.3341,
374.272,4660.1979,
371.362,4685.9504,
368.451,4718.4133,
365.541,4741.6799,
362.630,4764.3872,
359.719,4759.946,
356.809,4720.1716,
353.898,4772.5875,
350.988,4769.0979,
348.077,4734.5426,
345.167,4690.6328,
342.256,4762.3513,
339.345,4746.8626,
336.435,4722.495,
333.524,4743.5502,
330.614,4792.7305,
327.703,4789.004,
324.793,4765.5864,
321.882,4750.1604,
318.971,4816.3269,
316.061,4844.3715,
313.150,4855.7738,
310.240,4874.3267,
307.329,4967.1882,
304.418,4988.4976,
301.508,4961.5323,
298.597,4929.6944,
295.687,4979.8248,
292.776,5055.4169,
289.866,5145.7727,
286.955,5239.5908,
284.044,5237.1875,
281.134,5226.1486,
278.223,5232.5925,
275.313,5298.1726,
272.402,5291.0875,
269.492,5275.6831,
266.581,5277.8377,
263.670,5317.5375,
260.760,5345.1939,
257.849,5392.335,
254.939,5484.8042,
252.028,5470.7993,
249.117,5470.9388,
246.207,5483.4929,
243.296,5504.722,
240.386,5489.3692,
237.475,5473.0846,
234.565,5458.779,
231.654,5438.3283,
228.743,5375.3125,
225.833,5332.9147,
222.922,5335.7134,
220.012,5351.0131,
217.101,5345.695,
214.191,5339.3712,
211.280,5353.9205,
208.369,5378.5485,
205.459,5369.239,
202.548,5348.9053,
199.638,5412.0368,
196.727,5410.0184,
193.816,5408.6327,
190.906,5432.0158,
187.995,5460.9768,
185.085,5473.3643,
182.174,5481.8765,
179.264,5503.5595,
176.353,5498.3107,
173.442,5527.7179,
170.532,5585.8239,
167.621,5575.7302,
164.711,5412.7018,
161.800,5187.3892,
158.890,4951.3186,
155.979,4682.5483,
153.068,4294.3907,
150.158,3810.7411,
147.247,3309.6104,
144.337,2754.1191,
141.426,2188.1609,
138.516,1630.4196,
135.605,1144.723,
132.694,772.81195,
129.784,505.6174,
126.873,349.71909,
123.963,236.62297,
121.052,158.28594,
118.141,116.16572,
115.231,91.840608,
112.320,79.458184,
109.410,73.40925,
106.499,59.878301,
103.589,55.319237,
100.678,49.382431,
97.767,37.296492,
94.857,37.692989,
91.946,33.16267,
89.036,27.128979,
86.125,34.221032,
83.215,29.628956,
80.304,24.239433,
77.393,24.947603,
74.483,23.034595,
71.572,22.362352,
68.662,23,
65.751,23,
62.840,17.219576,
59.930,12.311003,
57.019,17.246577,
54.109,19.791483,
51.198,19.491954,
48.288,15.994338,
45.377,15.290959,
42.466,15,
39.556,14.539526,
36.645,11.730765,
