,PL4AB2~1,
Raman shift [1/cm],Intensity,
438.305,4713.3171,
435.395,4726.8958,
432.484,4741.085,
429.573,4760.2051,
426.663,4792.131,
423.752,4749.4178,
420.842,4736.1436,
417.931,4757.7555,
415.020,4807.0487,
412.110,5015.7965,
409.199,5069.7451,
406.289,5026.5797,
403.378,4964.7526,
400.468,4965.5086,
397.557,4937.9859,
394.646,4896.3973,
391.736,4852.6735,
388.825,4787.8097,
385.915,4675.6161,
383.004,4644.5767,
380.094,4775.205,
377.183,4842.9279,
374.272,5000.159,
371.362,5124.1082,
368.451,5142.4795,
365.541,5154.488,
362.630,5192.7094,
359.719,5217.3105,
356.809,5204.7564,
353.898,5171.8093,
350.988,5131.8283,
348.077,5110.1061,
345.167,5121.3555,
342.256,5133.3086,
339.345,5122.9328,
336.435,5137.9541,
333.524,5208.3742,
330.614,5196.4517,
327.703,5234.3358,
324.793,5277.8747,
321.882,5289.8095,
318.971,5314.3431,
316.061,5359.3736,
313.150,5403.9857,
310.240,5424.0228,
307.329,5534.0895,
304.418,5586.8691,
301.508,5557.7745,
298.597,5407.4699,
295.687,5369.0149,
292.776,5435.0838,
289.866,5600.7986,
286.955,5866.7398,
284.044,6133.7148,
281.134,6401.1645,
278.223,6656.9108,
275.313,6842.5983,
272.402,7034.5275,
269.492,7193.2285,
266.581,7308.3127,
263.670,7456.0839,
260.760,7580.7642,
257.849,7676.0235,
254.939,7734.0003,
252.028,7798.4483,
249.117,7809.0452,
246.207,7789.7194,
243.296,7778.0068,
240.386,7648.1106,
237.475,7502.1442,
234.565,7376.8297,
231.654,7370.9867,
228.743,7263.8823,
225.833,7165.9317,
222.922,7115.7898,
220.012,7009.4208,
217.101,6946.7792,
214.191,6876.6606,
211.280,6739.8977,
208.369,6696.7822,
205.459,6691.929,
202.548,6705.4909,
199.638,6686.6241,
196.727,6666.0397,
193.816,6651.9439,
190.906,6645.3883,
187.995,6578.054,
185.085,6633.2441,
182.174,6723.8841,
179.264,6735.4484,
176.353,6720.0897,
173.442,6711.1126,
170.532,6701.5011,
167.621,6613.5421,
164.711,6516.6961,
161.800,6337.2068,
158.890,6004.6926,
155.979,5664.8813,
153.068,5253.4056,
150.158,4759.1153,
147.247,4132.343,
144.337,3385.4808,
141.426,2650.8812,
138.516,1991.3412,
135.605,1420.9358,
132.694,972.18044,
129.784,635.79971,
126.873,420.54563,
123.963,285.12971,
121.052,193.93673,
118.141,138.96628,
115.231,121.69631,
112.320,95.686383,
109.410,70.159066,
106.499,72.295531,
103.589,64.346183,
100.678,56.935135,
97.767,54.802322,
94.857,54.057011,
91.946,48.91267,
89.036,40.959715,
86.125,35.995278,
83.215,35.28092,
80.304,34.073971,
77.393,29.116782,
74.483,28.094865,
71.572,28.474704,
68.662,29.611465,
65.751,28.198563,
62.840,26.786596,
59.930,25.562714,
57.019,24.857632,
54.109,25.347161,
51.198,26.353219,
48.288,27.72735,
45.377,24.913838,
42.466,23.337781,
39.556,23.210474,
36.645,26.019235,
33.735,27.788497,
30.824,29.633548,
27.914,32.438249,
25.003,38.976375,
22.092,45.656141,
19.182,52.688197,
16.271,81.367293,
13.361,322.02314,
10.450,854.53384,
7.539,2119.8813,
4.629,3238.2109,
1.718,3822.9464,
-1.192,3318.2138,
-4.103,2035.3727,
-7.013,870.24215,
-9.924,3.75,
