,PL4FB6~1,
Raman shift [1/cm],Intensity,
1395.885,2657.9991,
1392.975,2671.2919,
1390.064,2666.6152,
1387.154,2599.5481,
1384.243,2505.5575,
1381.332,2545.949,
1378.422,2571.0496,
1375.511,2695.6414,
1372.601,2861.6645,
1369.690,2919.3433,
1366.780,2983.6515,
1363.869,3072.7257,
1360.958,3076.8572,
1358.048,3121.5829,
1355.137,3209.5136,
1352.227,3262.3179,
1349.316,3341.8366,
1346.406,3457.6499,
1343.495,3485.0815,
1340.584,3519.7681,
1337.674,3525.814,
1334.763,3683.8607,
1331.853,3637.4992,
1328.942,3661.4195,
1326.032,3694.803,
1323.121,3803.8781,
1320.210,3866.2618,
1317.300,3893.7906,
1314.389,3922.1254,
1311.479,3959.7219,
1308.568,4041.2996,
1305.657,4132.7582,
1302.747,4133.4506,
1299.836,4225.576,
1296.926,4303.718,
1294.015,4456.3257,
1291.105,4474.9526,
1288.194,4600.4302,
1285.283,4681.0292,
1282.373,4769.6013,
1279.462,4839.8205,
1276.552,4870.6644,
1273.641,4899.2626,
1270.731,4926.0981,
1267.820,4916.012,
1264.909,4935.9197,
1261.999,4794.2561,
1259.088,4838.95,
1256.178,4807.3667,
1253.267,4724.9055,
1250.356,4689.4344,
1247.446,4582.1212,
1244.535,4493.7768,
1241.625,4418.8955,
1238.714,4307.782,
1235.804,4235.1154,
1232.893,4179.3754,
1229.982,4173.6387,
1227.072,4055.9481,
1224.161,4031.6554,
1221.251,3921.4157,
1218.340,3856.1213,
1215.430,3797.6832,
1212.519,3738.176,
1209.608,3714.295,
1206.698,3718.7525,
1203.787,3696.1727,
1200.877,3672.3643,
1197.966,3764.9777,
1195.055,3878.8408,
1192.145,3962.2405,
1189.234,4034.8796,
1186.324,4101.9015,
1183.413,4157.5895,
1180.503,4175.8328,
1177.592,4159.2716,
1174.681,4170.1901,
1171.771,4135.6688,
1168.860,3964.1956,
1165.950,3907.3105,
1163.039,3882.9585,
1160.129,3842.4134,
1157.218,3811.414,
1154.307,3788.0419,
1151.397,3739.728,
1148.486,3679.723,
1145.576,3689.4663,
1142.665,3639.7432,
1139.754,3633.1841,
1136.844,3592.0074,
1133.933,3585.1821,
1131.023,3571.8528,
1128.112,3558.2665,
1125.202,3573.4511,
1122.291,3574.5213,
1119.380,3629.4691,
1116.470,3613.5836,
1113.559,3613.1715,
1110.649,3622.138,
1107.738,3682.3501,
1104.828,3697.7531,
1101.917,3651.3291,
1099.006,3654.3053,
1096.096,3670.3887,
1093.185,3650.1946,
1090.275,3629.2025,
1087.364,3643.1503,
1084.453,3665.6866,
1081.543,3635.4322,
1078.632,3592.3402,
1075.722,3620.3952,
1072.811,3650.2455,
1069.901,3658.9781,
1066.990,3702.4666,
1064.079,3733.7209,
1061.169,3759.0894,
1058.258,3804.6569,
1055.348,3847.8612,
1052.437,3851.4964,
1049.527,3892.1621,
1046.616,3906.0633,
1043.705,3887.5851,
1040.795,3878.4325,
1037.884,3875.1078,
1034.974,3888.8943,
1032.063,3918.9172,
1029.153,3929.0937,
1026.242,3899.6852,
1023.331,3967.7872,
1020.421,3985.8076,
1017.510,3985.9442,
1014.600,4010.4237,
1011.689,4069.856,
1008.778,4144.2598,
1005.868,4224.3972,
1002.957,4310.4326,
1000.047,4486.6971,
997.136,4639.2478,
994.226,4680.8715,
991.315,4617.6127,
988.404,4529.8427,
985.494,4487.4193,
982.583,4388.9153,
979.673,4341.7009,
976.762,4267.3922,
973.852,4244.3995,
970.941,4264.9938,
968.030,4247.4168,
965.120,4223.668,
962.209,4233.8985,
959.299,4254.7477,
956.388,4278.304,
953.477,4283.2265,
950.567,4283.0819,
947.656,4314.8532,
944.746,4331.8443,
941.835,4326.9563,
938.925,4342.7343,
936.014,4368.3173,
933.103,4379.3286,
930.193,4359.4374,
927.282,4314.6379,
924.372,4241.0701,
921.461,4249.2986,
918.551,4178.3609,
915.640,4107.327,
912.729,4088.2351,
909.819,4084.2846,
906.908,4021.1028,
903.998,4074.0959,
901.087,4123.6328,
898.176,4139.3302,
895.266,4151.1297,
892.355,4198.0904,
889.445,4259.3569,
886.534,4249.6065,
883.624,4310.8712,
880.713,4346.2182,
877.802,4379.4585,
874.892,4415.4242,
871.981,4333.6189,
869.071,4291.0128,
866.160,4298.1142,
863.250,4296.2378,
860.339,4305.0918,
857.428,4312.2419,
854.518,4218.9971,
851.607,4266.425,
848.697,4294.5717,
845.786,4276.1198,
842.875,4255.8682,
839.965,4279.4555,
837.054,4342.318,
834.144,4314.9692,
831.233,4319.6243,
828.323,4320.1739,
825.412,4291.7997,
822.501,4247.7315,
819.591,4281.6139,
816.680,4160.0286,
813.770,4131.5045,
810.859,4112.7704,
807.949,4091.6567,
805.038,4103.2091,
802.127,4132.8417,
799.217,4081.2115,
796.306,4047.3006,
793.396,4031.3425,
790.485,4022.9404,
787.574,4017.2789,
784.664,4034.5012,
781.753,3993.3401,
778.843,4001.0299,
775.932,4039.6496,
773.022,4063.7113,
770.111,4102.955,
767.200,4051.5718,
764.290,4046.7604,
761.379,4069.0165,
758.469,4082.5099,
755.558,4054.4094,
752.648,4013.6792,
749.737,3988.6525,
746.826,3957.7126,
743.916,3887.6698,
741.005,3746.2227,
738.095,3521.3328,
735.184,3309.4245,
732.274,3278.7486,
729.363,3438.668,
726.452,3707.299,
723.542,3871.6059,
720.631,3915.7938,
717.721,3923.7608,
714.810,3948.6532,
711.899,4000.7141,
708.989,4035.4119,
706.078,4034.0224,
